actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-01-26T00:46:10.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-26T00:46:10Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-01-26T00:46:13.6Z,1,REGULAR,jumpball,recovered,[],1628401,,,1610612738,0,0,2024-01-26T00:46:13Z,40000,False,,,0,,Jump Ball K. Porzingis vs. B. Adebayo: Tip to D. White,"[1628401, 204001, 1628389]",1610612738.0,BOS,startperiod,D. White,1628401.0,White,D. White,Porzingis,204001.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M56.00S,2024-01-26T00:46:20.3Z,1,REGULAR,turnover,backcourt,[],201950,,,1610612738,0,0,2024-01-26T00:46:27Z,70000,False,,,0,,J. Holiday backcourt TURNOVER (1 TO),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Center,1662.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2024-01-26T00:46:48.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626179,9.592641261498029,53.59604779411765,1610612748,2,0,2024-01-26T00:47:59Z,80000,False,-18.0,38.0,1,left,T. Rozier driving finger roll Layup (2 PTS) (J. Butler 1 AST),"[1626179, 202710]",1610612748.0,MIA,driving finger roll,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,,,4.18,Made,2.0,J. Butler,202710.0,1.0,,,,,,,,,,,,
10,PT11M18.00S,2024-01-26T00:47:04.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628401,92.24704336399473,61.19408700980392,1610612738,2,2,2024-01-26T00:47:55Z,100000,False,56.0,20.0,1,right,D. White driving finger roll Layup (2 PTS),[1628401],1610612738.0,BOS,driving finger roll,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,,,5.96,Made,2.0,,,,,,,,,,,,,,,
11,PT11M03.00S,2024-01-26T00:47:19.6Z,1,REGULAR,3pt,Jump Shot,[],202710,10.64388961892247,97.32689950980392,1610612748,2,2,2024-01-26T00:47:30Z,110000,False,-237.0,48.0,1,left,MISS J. Butler 24' 3PT,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Left Corner 3,24+ Left,,,24.13,Missed,,,,,,,,,,,,,,,,
12,PT10M59.00S,2024-01-26T00:47:23.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,2,2,2024-01-26T00:47:30Z,120000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Left Corner 3,24+ Left,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT10M53.00S,2024-01-26T00:47:30.3Z,1,REGULAR,3pt,Jump Shot,[],204001,67.36202365308804,51.470588235294116,1610612738,2,2,2024-01-26T00:47:34Z,130000,False,7.0,254.0,1,right,MISS K. Porzingis 25' 3PT,[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Center,,,25.44,Missed,,,,,,,,,,,,,,,,
14,PT10M49.00S,2024-01-26T00:47:33.7Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,2,2,2024-01-26T00:47:33Z,140000,False,,,0,,J. Brown REBOUND (Off:1 Def:0),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,,,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,
15,PT10M43.00S,2024-01-26T00:47:43.7Z,1,REGULAR,foul,personal,['2freethrow'],1629312,,,1610612738,2,2,2024-01-26T00:47:49Z,150000,False,,,0,,H. Highsmith shooting personal FOUL (1 PF) (Tatum 2 FT),"[1629312, 1628369]",1610612748.0,MIA,shooting,,,Highsmith,H. Highsmith,,,,,Restricted Area,0-8 Center,204059.0,,,,,,,,,,,,1.0,0.0,Tatum,1628369.0,,,,
