actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-02-07T00:42:32.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-07T00:42:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-02-07T00:42:35.5Z,1,REGULAR,jumpball,recovered,[],1630591,,,1610612753,0,0,2024-02-07T00:42:35Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. B. Adebayo: Tip to J. Suggs,"[1630591, 1628976, 1628389]",1610612753.0,ORL,startperiod,J. Suggs,1630591.0,Suggs,J. Suggs,Carter Jr.,1628976.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2024-02-07T00:42:57.8Z,1,REGULAR,turnover,out-of-bounds,[],1630532,,,1610612753,0,0,2024-02-07T00:43:12Z,70000,False,,,0,,F. Wagner bad pass out-of-bounds TURNOVER (1 TO),[1630532],1610612753.0,ORL,bad pass,,,Wagner,F. Wagner,,,,,Mid-Range,8-16 Left,1151.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M12.00S,2024-02-07T00:43:23.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628997,4.155716162943495,96.07843137254902,1610612748,3,0,2024-02-07T00:43:33Z,80000,False,-230.0,-13.0,1,left,C. Martin 3PT step back (3 PTS) (T. Rozier 1 AST),"[1628997, 1626179]",1610612748.0,MIA,step back,,,Martin,C. Martin,,,,,Left Corner 3,24+ Left,,,23.08,Made,3.0,T. Rozier,1626179.0,1.0,,,,,,,,,,,,
10,PT10M57.00S,2024-02-07T00:43:38.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628365,88.38699080157687,50.98039215686274,1610612753,3,0,2024-02-07T00:43:45Z,100000,False,5.0,57.0,1,right,MISS M. Fultz Hook,[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,In The Paint (Non-RA),0-8 Center,,,5.69,Missed,,,,,,,,,,,,,,,,
11,PT10M56.00S,2024-02-07T00:43:39.4Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,3,0,2024-02-07T00:43:45Z,110000,False,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,
12,PT10M43.00S,2024-02-07T00:43:53.0Z,1,REGULAR,2pt,Jump Shot,[],1629639,7.30946123521682,24.019607843137255,1610612748,3,0,2024-02-07T00:43:59Z,120000,False,130.0,16.0,1,left,MISS T. Herro 13' pullup Shot,[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,Mid-Range,8-16 Right,,,13.09,Missed,,,,,,,,,,,,,,,,
13,PT10M39.00S,2024-02-07T00:43:57.0Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,3,0,2024-02-07T00:43:59Z,130000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:0),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Right,,,,,,,,,12.0,1.0,0.0,1.0,,,,,,,,
14,PT10M33.00S,2024-02-07T00:44:03.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1628389,8.886333771353483,43.872549019607845,1610612748,5,0,2024-02-07T00:44:09Z,140000,False,31.0,31.0,1,left,B. Adebayo driving DUNK (2 PTS) (T. Herro 1 AST),"[1628389, 1629639]",1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,4.36,Made,2.0,T. Herro,1629639.0,1.0,,,,,,,,,,,,
16,PT10M15.00S,2024-02-07T00:44:21.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630591,91.93495400788436,45.34313725490196,1610612753,5,0,2024-02-07T00:44:29Z,160000,False,-23.0,23.0,1,right,MISS J. Suggs driving Layup,[1630591],1610612753.0,ORL,driving,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,,,3.3,Missed,,,,,,,,,,,,,,,,
18,PT10M11.00S,2024-02-07T00:44:25.0Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,5,0,2024-02-07T00:44:29Z,180000,False,,,0,,J. Butler REBOUND (Off:0 Def:2),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,,,,,,,,,16.0,2.0,2.0,0.0,,,,,,,,
19,PT10M09.00S,2024-02-07T00:44:27.2Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1628997,12.040078843626807,10.294117647058822,1610612748,7,0,2024-02-07T00:44:50Z,190000,False,199.0,61.0,1,left,C. Martin 20' running Jump Shot (5 PTS) (J. Butler 1 AST),"[1628997, 202710]",1610612748.0,MIA,running,,,Martin,C. Martin,,,,,Mid-Range,16-24 Right,,,20.76,Made,5.0,J. Butler,202710.0,1.0,,,,,,,,,,,,
21,PT09M48.00S,2024-02-07T00:44:48.1Z,1,REGULAR,turnover,bad pass,[],1630532,,,1610612753,7,0,2024-02-07T00:44:56Z,210000,False,,,0,,F. Wagner bad pass TURNOVER (2 TO),"[1630532, 202710]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Center,,2.0,,,,,,,,,,,Butler,202710.0,,,,,,
22,PT09M48.00S,2024-02-07T00:44:48.1Z,1,REGULAR,steal,,[],202710,,,1610612748,7,0,2024-02-07T00:44:49Z,220000,False,,,0,,J. Butler STEAL (1 STL),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
24,PT09M43.00S,2024-02-07T00:45:13.0Z,1,REGULAR,turnover,bad pass,[],202710,,,1610612748,7,0,2024-02-07T00:45:16Z,240000,False,,,0,,J. Butler bad pass TURNOVER (1 TO),"[202710, 1631094]",1610612748.0,MIA,,,,Butler,J. Butler,,,,,Right Corner 3,24+ Right,,1.0,,,,,,,,,,,Banchero,1631094.0,,,,,,
25,PT09M43.00S,2024-02-07T00:45:13.0Z,1,REGULAR,steal,,[],1631094,,,1610612753,7,0,2024-02-07T00:45:14Z,250000,False,,,0,,P. Banchero STEAL (1 STL),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,,,,,,
26,PT09M39.00S,2024-02-07T00:45:17.1Z,1,REGULAR,turnover,lost ball,[],1631094,,,1610612753,7,0,2024-02-07T00:45:22Z,260000,False,,,0,,P. Banchero lost ball TURNOVER (1 TO),"[1631094, 1628997]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Right Center,,1.0,,,,,,,,,,,Martin,1628997.0,,,,,,
