actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-12-17T01:12:22.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-17T01:12:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-12-17T01:12:26.9Z,1,REGULAR,jumpball,recovered,[],1629632,,,1610612741,0,0,2023-12-17T01:12:27Z,40000,False,,,0,,Jump Ball N. Vucevic vs. O. Robinson: Tip to C. White,"[1629632, 202696, 1631115]",1610612741.0,CHI,startperiod,C. White,1629632.0,White,C. White,Vucevic,202696.0,Robinson,1631115.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2023-12-17T01:12:35.3Z,1,REGULAR,3pt,Jump Shot,[],202696,26.231931668856767,86.76470588235294,1610612741,0,0,2023-12-17T01:12:42Z,70000,False,-184.0,194.0,1,left,MISS N. Vucevic 26' 3PT,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Left Center,26.73,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2023-12-17T01:12:39.7Z,1,REGULAR,rebound,offensive,[],1630245,,,1610612741,0,0,2023-12-17T01:12:39Z,80000,False,,,0,,A. Dosunmu REBOUND (Off:1 Def:0),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M41.00S,2023-12-17T01:12:41.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629632,14.931011826544022,95.09803921568627,1610612741,0,0,2023-12-17T01:12:44Z,90000,False,-225.0,88.0,1,left,MISS C. White 24' 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Left Corner 3,24+ Left,24.2,Missed,,,,,,,,,,,,,,,,,,
10,PT11M41.00S,2023-12-17T01:12:41.3Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,0,0,2023-12-17T01:12:44Z,100000,False,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Left Corner 3,24+ Left,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M32.00S,2023-12-17T01:12:50.2Z,1,REGULAR,3pt,Jump Shot,[],202710,91.80354796320631,95.83333333333334,1610612748,0,0,2023-12-17T01:13:04Z,110000,False,229.0,25.0,1,right,MISS J. Butler 3PT,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Right Corner 3,24+ Right,23.05,Missed,,,,,,,,,,,,,,,,,,
12,PT11M31.00S,2023-12-17T01:13:00.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,0,0,2023-12-17T01:13:00Z,120000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Right Corner 3,24+ Right,,,11.0,,,,,,,,,,,,,,,,,
13,PT11M31.00S,2023-12-17T01:13:06.1Z,1,REGULAR,foul,personal,[],1630172,,,1610612748,0,0,2023-12-17T01:14:29Z,130000,False,,,0,,P. Williams loose ball personal FOUL (1 PF),"[1630172, 1631115]",1610612741.0,CHI,loose ball,,,Williams,P. Williams,,,,,Right Corner 3,24+ Right,,,,,,,2003.0,1.0,0.0,Robinson,1631115.0,,,,,,,,,
15,PT11M17.00S,2023-12-17T01:13:25.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202710,92.59198423127464,50.245098039215684,1610612748,2,0,2023-12-17T01:13:30Z,150000,False,1.0,17.0,1,right,J. Butler Layup (2 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,1.71,Made,,,,,,,,,,2.0,,,,,,,,
