actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-01-25T00:42:22.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-25T00:42:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2024-01-25T00:42:26.6Z,1,REGULAR,jumpball,recovered,[],1629723,,,1610612763,0,0,2024-01-25T00:42:26Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. B. Adebayo: Tip to J. Konchar,"[1629723, 1628991, 1628389]",1610612763.0,MEM,startperiod,J. Konchar,1629723.0,Konchar,J. Konchar,Jackson Jr.,1628991.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2024-01-25T00:42:46.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628991,7.703679369250986,38.72549019607843,1610612763,0,0,2024-01-25T00:43:02Z,70000,False,56.0,20.0,1,left,MISS J. Jackson Jr. turnaround Hook - blocked,"[1628991, 1628389]",1610612763.0,MEM,turnaround,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,5.98,Missed,Adebayo,1628389.0,,,,,,,,,,,,,,,,
8,PT11M35.00S,2024-01-25T00:42:46.3Z,1,REGULAR,block,,[],1628389,,,1610612763,0,0,2024-01-25T00:42:49Z,80000,False,,,0,,B. Adebayo BLOCK (1 BLK),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M31.00S,2024-01-25T00:42:50.3Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,0,0,2024-01-25T00:42:52Z,90000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
20,PT11M24.00S,2024-01-25T00:42:52.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,89.17542706964521,44.6078431372549,1610612748,0,0,2024-01-25T00:44:38Z,95000,False,-27.0,49.0,1,right,MISS J. Butler driving Layup - blocked,"[202710, 1629723]",1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,In The Paint (Non-RA),0-8 Center,5.62,Missed,Konchar,1629723.0,,,,,,,,,,,,,,,,
21,PT11M24.00S,2024-01-25T00:42:52.7Z,1,REGULAR,block,,[],1629723,,,1610612748,0,0,2024-01-25T00:46:16Z,97500,False,,,0,,J. Konchar BLOCK (1 BLK),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT11M23.00S,2024-01-25T00:42:53.7Z,1,REGULAR,rebound,offensive,[],202710,,,1610612748,0,0,2024-01-25T00:44:38Z,98750,False,,,0,,J. Butler REBOUND (Off:1 Def:0),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,In The Paint (Non-RA),0-8 Center,,,,,20.0,1.0,0.0,1.0,,,,,,,,,,,,
10,PT11M22.00S,2024-01-25T00:42:59.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202710,93.11760840998686,51.71568627450981,1610612748,2,0,2024-01-25T00:46:56Z,100000,False,9.0,12.0,1,right,J. Butler putback Layup (2 PTS),[202710],1610612748.0,MIA,putback,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,1.49,Made,,,,,,,2.0,,,,,,,,,,,
11,PT11M08.00S,2024-01-25T00:43:13.6Z,1,REGULAR,2pt,Jump Shot,[],1631246,15.325229960578188,31.127450980392158,1610612763,2,0,2024-01-25T00:43:18Z,110000,False,94.0,92.0,1,left,MISS V. Williams Jr. 13' pullup Shot,[1631246],1610612763.0,MEM,pullup,,,Williams Jr.,V. Williams Jr.,,,,,Mid-Range,8-16 Right,13.15,Missed,,,,,,,,,,,,,,,,,,
