actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-01-14T23:13:33.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-14T23:13:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-01-14T23:13:37.9Z,1,REGULAR,jumpball,recovered,[],1631107,,,1610612748,0,0,2024-01-14T23:13:37Z,40000,False,,,0,,Jump Ball B. Adebayo vs. N. Richards: Tip to N. Jovic,"[1631107, 1628389, 1630208]",1610612748.0,MIA,startperiod,N. Jovic,1631107.0,Jovic,N. Jovic,Adebayo,1628389.0,Richards,1630208.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2024-01-14T23:13:53.5Z,1,REGULAR,3pt,Jump Shot,[],1631107,66.96780551905388,56.61764705882353,1610612748,0,0,2024-01-14T23:13:58Z,70000,False,33.0,258.0,1,right,MISS N. Jovic 26' 3PT,[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Above the Break 3,24+ Center,26.01,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2024-01-14T23:13:56.5Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,0,0,2024-01-14T23:13:58Z,80000,False,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M26.00S,2024-01-14T23:14:06.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628998,7.440867279894875,42.64705882352941,1610612766,0,0,2024-01-14T23:14:12Z,90000,False,37.0,17.0,1,left,MISS C. Martin driving Layup,[1628998],1610612766.0,CHA,driving,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,4.07,Missed,,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2024-01-14T23:14:09.4Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,0,0,2024-01-14T23:14:09Z,100000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M13.00S,2024-01-14T23:14:18.9Z,1,REGULAR,3pt,Jump Shot,[],1628389,67.49342969776609,48.529411764705884,1610612748,0,0,2024-01-14T23:14:23Z,110000,False,-7.0,253.0,1,right,MISS B. Adebayo 25' 3PT,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,25.32,Missed,,,,,,,,,,,,,,,,,,
12,PT11M10.00S,2024-01-14T23:14:21.9Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,0,0,2024-01-14T23:14:23Z,120000,False,,,0,,N. Richards REBOUND (Off:0 Def:1),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M00.00S,2024-01-14T23:14:32.6Z,1,REGULAR,3pt,Jump Shot,[],1630163,27.414586070959263,18.137254901960784,1610612766,0,0,2024-01-14T23:14:40Z,130000,False,159.0,205.0,1,left,MISS L. Ball 25' step back 3PT,[1630163],1610612766.0,CHA,step back,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,25.98,Missed,,,,,,,,,,,,,,,,,,
14,PT10M55.00S,2024-01-14T23:14:37.6Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,0,0,2024-01-14T23:14:40Z,140000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Right Center,,,13.0,2.0,2.0,0.0,,,,,,,,,,,,,,
15,PT10M51.00S,2024-01-14T23:14:40.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631170,92.85479632063075,46.07843137254902,1610612748,0,0,2024-01-14T23:14:51Z,150000,False,-20.0,15.0,1,right,MISS J. Jaquez Jr. running Layup - blocked,"[1631170, 1628998]",1610612748.0,MIA,running,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Restricted Area,0-8 Center,2.45,Missed,,,,,Martin,1628998.0,,,,,,,,,,,,
