actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
579,PT00M42.70S,2024-02-11T21:26:08.9Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,79.97700394218134,50.73529411764706,1610612748,104,108,2024-02-11T21:26:13Z,5660000,False,4.0,136.0,1,right,MISS B. Adebayo 13' pullup Shot,[1628389],1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,13.58,Missed,,,,,,,,,,,,,,,,,,
580,PT00M40.40S,2024-02-11T21:26:11.2Z,4,REGULAR,rebound,defensive,[],1628369,,,1610612738,104,108,2024-02-11T21:26:11Z,5670000,False,,,0,,J. Tatum REBOUND (Off:1 Def:9),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,579.0,10.0,9.0,1.0,,,,,,,,,,
581,PT00M20.90S,2024-02-11T21:26:30.6Z,4,REGULAR,3pt,Jump Shot,[],1627759,8.409986859395532,96.83670343137256,1610612738,104,108,2024-02-11T21:27:20Z,5680000,False,-234.0,27.0,1,left,MISS J. Brown 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Left Corner 3,24+ Left,23.57,Missed,,,,,,,,,,,,,,,,,,
582,PT00M15.70S,2024-02-11T21:26:35.8Z,4,REGULAR,rebound,offensive,[],1627759,,,1610612738,104,108,2024-02-11T21:26:40Z,5690000,False,,,0,,J. Brown REBOUND (Off:3 Def:6),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Left Corner 3,24+ Left,,,,,,,581.0,9.0,6.0,3.0,,,,,,,,,,
583,PT00M15.70S,2024-02-11T21:26:48.9Z,4,REGULAR,timeout,full,['team'],0,,,1610612738,104,108,2024-02-11T21:26:48Z,5700000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,PT00M14.60S,2024-02-11T21:28:30.4Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629130,,,1610612738,104,108,2024-02-11T21:28:43Z,5710000,False,,,0,,D. Robinson personal FOUL (5 PF) (Tatum 2 FT),"[1629130, 1628369]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1626302.0,,5.0,0.0,Tatum,1628369.0,,,,
586,PT00M14.60S,2024-02-11T21:29:00.6Z,4,REGULAR,freethrow,1 of 2,['2ndchance'],1628369,,,1610612738,104,109,2024-02-11T21:29:00Z,5730000,False,,,0,,J. Tatum Free Throw 1 of 2 (25 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,25.0,,,,,,,,,,,,,,,,,
587,PT00M14.60S,2024-02-11T21:29:01.4Z,4,REGULAR,substitution,out,[],1629312,,,1610612738,104,109,2024-02-11T21:29:09Z,5740000,False,,,0,,SUB out: H. Highsmith,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,,,,,,,,,,
588,PT00M14.60S,2024-02-11T21:29:01.4Z,4,REGULAR,substitution,out,[],204001,,,1610612738,104,109,2024-02-11T21:29:09Z,5750000,False,,,0,,SUB out: K. Porzingis,[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,,
589,PT00M14.60S,2024-02-11T21:29:01.4Z,4,REGULAR,substitution,in,[],201567,,,1610612738,104,109,2024-02-11T21:29:09Z,5760000,False,,,0,,SUB in: K. Love,[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,,
590,PT00M14.60S,2024-02-11T21:29:01.4Z,4,REGULAR,substitution,in,[],201143,,,1610612738,104,109,2024-02-11T21:29:09Z,5770000,False,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
591,PT00M14.60S,2024-02-11T21:29:22.6Z,4,REGULAR,freethrow,2 of 2,['2ndchance'],1628369,,,1610612738,104,110,2024-02-11T21:29:22Z,5780000,False,,,0,,J. Tatum Free Throw 2 of 2 (26 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,26.0,,,,,,,,,,,,,,,,,
