actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-03-10T22:11:17.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-10T22:11:17Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-03-10T22:11:19.6Z,1,REGULAR,jumpball,recovered,[],202710,,,1610612748,0,0,2024-03-10T22:11:19Z,40000,False,,,0,,Jump Ball B. Adebayo vs. K. Kuzma: Tip to J. Butler,"[202710, 1628389, 1628398]",1610612748.0,MIA,startperiod,J. Butler,202710.0,Butler,J. Butler,Adebayo,1628389.0,Kuzma,1628398.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2024-03-10T22:11:35.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,7.440867279894875,45.34313725490196,1610612748,0,0,2024-03-10T22:11:40Z,70000,False,23.0,17.0,1,left,MISS J. Butler Layup,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,2.91,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2024-03-10T22:11:37.8Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,0,0,2024-03-10T22:11:40Z,80000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M30.00S,2024-03-10T22:11:46.7Z,1,REGULAR,3pt,Jump Shot,[],1630557,73.14388961892247,15.686274509803921,1610612764,0,0,2024-03-10T22:11:51Z,90000,False,-172.0,200.0,1,right,MISS C. Kispert 26' 3PT,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Left Center,26.35,Missed,,,,,,,,,,,,,,,,,,
10,PT11M27.00S,2024-03-10T22:11:49.7Z,1,REGULAR,rebound,defensive,[],1631107,,,1610612748,0,0,2024-03-10T22:11:51Z,100000,False,,,0,,N. Jovic REBOUND (Off:0 Def:1),[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M17.00S,2024-03-10T22:11:59.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626179,17.296320630749015,50.49019607843137,1610612748,2,0,2024-03-10T22:12:07Z,110000,False,-2.0,110.0,1,left,T. Rozier 11' driving floating Jump Shot (2 PTS) (B. Adebayo 1 AST),"[1626179, 1628389]",1610612748.0,MIA,driving floating,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),8-16 Center,11.01,Made,,,,,2.0,B. Adebayo,1628389.0,1.0,,,,,,,,,,
13,PT11M02.00S,2024-03-10T22:12:14.9Z,1,REGULAR,turnover,lost ball,[],1630557,,,1610612764,2,0,2024-03-10T22:12:21Z,130000,False,,,0,,C. Kispert lost ball TURNOVER (1 TO),"[1630557, 1626179]",1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1.0,Rozier,1626179.0,,,,,,,
14,PT11M02.00S,2024-03-10T22:12:14.9Z,1,REGULAR,steal,,[],1626179,,,1610612748,2,0,2024-03-10T22:12:16Z,140000,False,,,0,,T. Rozier STEAL (1 STL),[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
16,PT10M52.00S,2024-03-10T22:12:41.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629130,10.988830486202366,49.50980392156863,1610612748,2,0,2024-03-10T22:12:50Z,160000,False,2.0,51.0,1,left,MISS D. Robinson driving floating Shot,[1629130],1610612748.0,MIA,driving floating,,,Robinson,D. Robinson,,,,,In The Paint (Non-RA),0-8 Center,5.09,Missed,,,,,,,,,,,,,,,,,,
