actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-04-13T00:11:04.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-13T00:11:04Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-04-13T00:11:07.6Z,1,REGULAR,jumpball,recovered,[],1629639,,,1610612748,0,0,2024-04-13T00:11:07Z,40000,False,,,0,,Jump Ball B. Adebayo vs. K. Olynyk: Tip to T. Herro,"[1629639, 1628389, 203482]",1610612748.0,MIA,startperiod,T. Herro,1629639.0,Herro,T. Herro,Adebayo,1628389.0,Olynyk,203482.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2024-04-13T00:11:24.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,94.69448094612353,46.32352941176471,1610612748,2,0,2024-04-13T00:11:29Z,70000,False,-18.0,-3.0,1,right,B. Adebayo driving Layup (2 PTS),[1628389],1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,1.86,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M28.00S,2024-04-13T00:11:43.3Z,1,REGULAR,violation,kicked ball,[],1628389,,,1610612761,2,0,2024-04-13T00:11:50Z,80000,False,,,0,,B. Adebayo kicked ball VIOLATION,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,1193.0,,,,,,,,,,,,,,,,
9,PT11M16.00S,2024-04-13T00:12:06.0Z,1,REGULAR,2pt,Jump Shot,[],1629018,9.411957950065702,82.1078431372549,1610612761,2,2,2024-04-13T00:12:10Z,90000,False,-161.0,36.0,1,left,G. Trent Jr. 16' turnaround fadeaway Jump Shot (2 PTS),[1629018],1610612761.0,TOR,turnaround fadeaway,,,Trent Jr.,G. Trent Jr.,,,,,Mid-Range,16-24 Left,16.45,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M04.00S,2024-04-13T00:12:20.7Z,1,REGULAR,turnover,out-of-bounds,[],1629639,,,1610612748,2,2,2024-04-13T00:12:26Z,100000,False,,,0,,T. Herro bad pass out-of-bounds TURNOVER (1 TO),[1629639],1610612748.0,MIA,bad pass,,,Herro,T. Herro,,,,,Above the Break 3,24+ Left Center,,,,1155.0,1.0,,,,,,,,,,,,,,,
11,PT10M54.00S,2024-04-13T00:12:31.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630193,7.5722733245729295,2.450980392156863,1610612761,2,2,2024-04-13T00:12:47Z,110000,False,238.0,19.0,1,left,MISS I. Quickley step back 3PT,[1630193],1610612761.0,TOR,step back,,,Quickley,I. Quickley,,,,,Right Corner 3,24+ Right,23.84,Missed,,,,,,,,,,,,,,,,,,
12,PT10M51.00S,2024-04-13T00:12:34.9Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612748,2,2,2024-04-13T00:12:36Z,120000,False,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Right Corner 3,24+ Right,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT10M46.00S,2024-04-13T00:12:40.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631107,89.83245729303549,52.450980392156865,1610612748,2,2,2024-04-13T00:13:08Z,130000,False,12.0,43.0,1,right,MISS N. Jovic running Layup,[1631107],1610612748.0,MIA,running,,,Jovic,N. Jovic,,,,,In The Paint (Non-RA),0-8 Center,4.48,Missed,,,,,,,,,,,,,,,,,,
14,PT10M44.00S,2024-04-13T00:12:42.2Z,1,REGULAR,rebound,defensive,[],203482,,,1610612761,2,2,2024-04-13T00:12:54Z,140000,False,,,0,,K. Olynyk REBOUND (Off:0 Def:1),[203482],1610612761.0,TOR,,,,Olynyk,K. Olynyk,,,,,In The Paint (Non-RA),0-8 Center,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,
