actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-03-30T00:11:53.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-30T00:11:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-03-30T00:11:55.7Z,1,REGULAR,jumpball,recovered,[],1631133,,,1610612757,0,0,2024-03-30T00:11:55Z,40000,False,,,0,,Jump Ball D. Ayton vs. B. Adebayo: Tip to J. Walker,"[1631133, 1629028, 1628389]",1610612757.0,POR,startperiod,J. Walker,1631133.0,Walker,J. Walker,Ayton,1629028.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2024-03-30T00:12:14.2Z,1,REGULAR,2pt,Jump Shot,[],1629028,89.70105124835742,79.16666666666666,1610612757,0,0,2024-03-30T00:12:21Z,70000,False,146.0,44.0,1,right,MISS D. Ayton 15' fadeaway Shot - blocked,"[1629028, 1628389]",1610612757.0,POR,fadeaway,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Right,15.24,Missed,Adebayo,1628389.0,,,,,,,,,,,,,,,,
8,PT11M38.00S,2024-03-30T00:12:14.2Z,1,REGULAR,block,,[],1628389,,,1610612757,0,0,2024-03-30T00:12:17Z,80000,False,,,0,,B. Adebayo BLOCK (1 BLK),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2024-03-30T00:12:18.2Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612748,0,0,2024-03-30T00:12:21Z,90000,False,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,Mid-Range,8-16 Right,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M27.00S,2024-03-30T00:12:25.4Z,1,REGULAR,turnover,bad pass,[],1626179,,,1610612748,0,0,2024-03-30T00:12:32Z,100000,False,,,0,,T. Rozier bad pass TURNOVER (1 TO),"[1626179, 1630703]",1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Right Center,,,,,,,,,1.0,Henderson,1630703.0,,,,,,,,,
11,PT11M27.00S,2024-03-30T00:12:25.4Z,1,REGULAR,steal,,[],1630703,,,1610612757,0,0,2024-03-30T00:12:28Z,110000,False,,,0,,S. Henderson STEAL (1 STL),[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
12,PT11M22.00S,2024-03-30T00:12:30.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1631200,67.49342969776609,52.94117647058824,1610612757,0,3,2024-03-30T00:12:38Z,120000,False,15.0,253.0,1,right,K. Murray 25' 3PT running pullup (3 PTS),[1631200],1610612757.0,POR,running pullup,,,Murray,K. Murray,,,,,Above the Break 3,24+ Center,25.35,Made,,,,,,,,,,3.0,,,,,,,,
13,PT11M01.00S,2024-03-30T00:12:50.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626179,17.95335085413929,41.66666666666667,1610612748,0,3,2024-03-30T00:13:46Z,130000,False,42.0,116.0,1,left,MISS T. Rozier 12' floating Shot,[1626179],1610612748.0,MIA,floating,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),8-16 Center,12.35,Missed,,,,,,,,,,,,,,,,,,
14,PT11M01.00S,2024-03-30T00:12:50.7Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612757,0,3,2024-03-30T00:13:46Z,140000,False,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Center,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,
