actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,blockPlayerName,blockPersonId,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-01-11T00:41:41.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-11T00:41:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-01-11T00:41:45.2Z,1,REGULAR,jumpball,recovered,[],1629312,,,1610612748,0,0,2024-01-11T00:41:45Z,40000,False,,,0,,Jump Ball B. Adebayo vs. C. Holmgren: Tip to H. Highsmith,"[1629312, 1628389, 1631096]",1610612748.0,MIA,startperiod,H. Highsmith,1629312.0,Highsmith,H. Highsmith,Adebayo,1628389.0,Holmgren,1631096.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2024-01-11T00:42:06.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,11.251642575558476,43.627450980392155,1610612748,0,0,2024-01-11T00:42:16Z,70000,False,32.0,53.0,1,left,MISS T. Herro 6' driving Layup,[1629639],1610612748.0,MIA,driving,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,6.21,Missed,,,,,,,,,,,,,,,,,,
8,PT11M29.00S,2024-01-11T00:42:11.8Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,0,0,2024-01-11T00:42:11Z,80000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:0),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M29.00S,2024-01-11T00:42:11.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628389,5.590000152587891,50.0,1610612748,0,0,2024-01-11T00:42:11Z,90000,False,0.0,0.0,1,left,MISS B. Adebayo tip Layup,[1628389],1610612748.0,MIA,tip,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
10,PT11M28.00S,2024-01-11T00:42:12.8Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,0,0,2024-01-11T00:42:12Z,100000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Left,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M26.00S,2024-01-11T00:42:14.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631096,95.31865965834429,96.81372549019608,1610612760,0,0,2024-01-11T00:44:30Z,110000,False,234.0,-8.0,1,right,MISS C. Holmgren running 3PT,[1631096],1610612760.0,OKC,running,,,Holmgren,C. Holmgren,,,,,Right Corner 3,24+ Right,23.43,Missed,,,,,,,,,,,,,,,,,,
12,PT11M26.00S,2024-01-11T00:42:14.9Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,0,0,2024-01-11T00:42:27Z,120000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,16-24 Right,,,11.0,2.0,1.0,1.0,,,,,,,,,,,,,,
13,PT11M09.00S,2024-01-11T00:42:31.8Z,1,REGULAR,3pt,Jump Shot,[],1629312,7.178055190538765,95.34313725490196,1610612748,3,0,2024-01-11T00:42:42Z,130000,False,-227.0,15.0,1,left,H. Highsmith 3PT  (3 PTS) (T. Herro 1 AST),"[1629312, 1629639]",1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Left Corner 3,24+ Left,22.72,Made,,,,,3.0,T. Herro,1629639.0,1.0,,,,,,,,,,
15,PT10M53.00S,2024-01-11T00:42:48.3Z,1,REGULAR,2pt,Jump Shot,[],1631096,75.50919842312747,39.705882352941174,1610612760,3,0,2024-01-11T00:42:57Z,150000,False,-51.0,178.0,1,right,MISS C. Holmgren 18' pullup bank Shot,[1631096],1610612760.0,OKC,pullup bank,,,Holmgren,C. Holmgren,,,,,Mid-Range,16-24 Center,18.5,Missed,,,,,,,,,,,,,,,,,,
