actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-12-14T00:42:06.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-14T00:42:06Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-12-14T00:42:08.7Z,1,REGULAR,jumpball,recovered,[],1626179,,,1610612766,0,0,2023-12-14T00:42:08Z,40000,False,,,0,,Jump Ball N. Richards vs. O. Robinson: Tip to T. Rozier,"[1626179, 1630208, 1631115]",1610612766.0,CHA,startperiod,T. Rozier,1626179.0,Rozier,T. Rozier,Richards,1630208.0,Robinson,1631115.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2023-12-14T00:42:18.9Z,1,REGULAR,foul,personal,['2freethrow'],1628997,,,1610612766,0,0,2023-12-14T00:42:28Z,70000,False,,,0,,C. Martin shooting personal FOUL (1 PF) (Rozier 2 FT),"[1628997, 1626179]",1610612748.0,MIA,shooting,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,202058.0,1.0,0.0,Rozier,1626179.0,,,,,,,,,,,,,,,
9,PT11M48.00S,2023-12-14T00:42:50.5Z,1,REGULAR,freethrow,1 of 2,[],1626179,,,1610612766,0,1,2023-12-14T00:42:50Z,90000,False,,,0,,T. Rozier Free Throw 1 of 2 (1 PTS),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M48.00S,2023-12-14T00:43:08.1Z,1,REGULAR,freethrow,2 of 2,[],1626179,,,1610612766,0,2,2023-12-14T00:43:08Z,100000,False,,,0,,T. Rozier Free Throw 2 of 2 (2 PTS),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M47.00S,2023-12-14T00:43:13.0Z,1,REGULAR,turnover,bad pass,[],1628997,,,1610612748,0,2,2023-12-14T00:43:22Z,110000,False,,,0,,C. Martin bad pass TURNOVER (1 TO),"[1628997, 1626179]",1610612748.0,MIA,,,,Martin,C. Martin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,Rozier,1626179.0,,,,,,,,,,
12,PT11M47.00S,2023-12-14T00:43:13.0Z,1,REGULAR,steal,,[],1626179,,,1610612766,0,2,2023-12-14T00:43:15Z,120000,False,,,0,,T. Rozier STEAL (1 STL),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M43.00S,2023-12-14T00:43:16.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626179,5.338370565045992,52.20588235294118,1610612766,0,4,2023-12-14T00:43:50Z,130000,False,-11.0,-2.0,1,left,T. Rozier driving finger roll Layup (4 PTS),[1626179],1610612766.0,CHA,driving finger roll,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,,,,,,Made,4.0,,,,1.12,,,,,,,,,
14,PT11M30.00S,2023-12-14T00:43:34.6Z,1,REGULAR,foul,technical,['1freethrow'],1630208,,,1610612748,0,4,2023-12-14T00:43:44Z,140000,False,,,0,,N. Richards defensive-3-second technical FOUL (1 Tech),[1630208],1610612766.0,CHA,defensive-3-second,,,Richards,N. Richards,,,,,,,202058.0,0.0,1.0,,,,,,,,,,,,,,,,,
15,PT11M30.00S,2023-12-14T00:43:52.5Z,1,REGULAR,freethrow,1 of 1,[],202710,,,1610612748,1,4,2023-12-14T00:43:52Z,150000,False,,,0,,J. Butler technical Free Throw 1 of 1 (1 PTS),[202710],1610612748.0,MIA,technical,,,Butler,J. Butler,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
