actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-03-28T23:32:40.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-28T23:32:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-03-28T23:32:42.3Z,1,REGULAR,jumpball,recovered,[],1629216,,,1610612748,0,0,2023-03-28T23:32:42Z,40000,False,,,0,,Jump Ball B. Adebayo vs. J. Poeltl: Tip to G. Vincent,"[1629216, 1628389, 1627751]",1610612748.0,MIA,startperiod,G. Vincent,1629216.0,Vincent,G. Vincent,Adebayo,1628389.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-03-28T23:32:55.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,13.748357424441524,37.745098039215684,1610612748,0,2,2023-03-28T23:33:02Z,70000,False,61.0,77.0,1,left,B. Adebayo 9' pullup Jump Shot (2 PTS),[1628389],1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Right,9.82,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M25.00S,2023-03-28T23:33:14.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,94.03745072273325,52.450980392156865,1610612761,0,2,2023-03-28T23:33:18Z,80000,False,12.0,4.0,1,right,MISS J. Poeltl Layup - blocked,"[1627751, 201567]",1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,1.28,Missed,,Love,201567.0,,,,,,,,,,,,,,,
9,PT11M25.00S,2023-03-28T23:33:14.4Z,1,REGULAR,block,,[],201567,,,1610612761,0,2,2023-03-28T23:33:17Z,90000,False,,,0,,K. Love BLOCK (1 BLK),[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2023-03-28T23:33:17.4Z,1,REGULAR,rebound,defensive,[],201567,,,1610612748,0,2,2023-03-28T23:33:18Z,100000,False,,,0,,K. Love REBOUND (Off:0 Def:1),[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,Restricted Area,0-8 Center,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M02.00S,2023-03-28T23:33:38.1Z,1,REGULAR,3pt,Jump Shot,[],201567,26.363337713534822,16.666666666666664,1610612748,0,5,2023-03-28T23:33:45Z,110000,False,167.0,195.0,1,left,K. Love 25' 3PT step back (3 PTS) (T. Herro 1 AST),"[201567, 1629639]",1610612748.0,MIA,step back,,,Love,K. Love,,,,,Above the Break 3,24+ Right Center,25.68,Made,3.0,,,,,,,T. Herro,1629639.0,1.0,,,,,,,,
13,PT10M47.00S,2023-03-28T23:33:51.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630567,92.32917214191852,57.59803921568627,1610612761,2,5,2023-03-28T23:33:57Z,130000,False,38.0,20.0,1,right,S. Barnes turnaround bank Hook (2 PTS) (F. VanVleet 1 AST),"[1630567, 1627832]",1610612761.0,TOR,turnaround bank,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,4.28,Made,2.0,,,,,,,F. VanVleet,1627832.0,1.0,,,,,,,,
15,PT10M39.00S,2023-03-28T23:34:00.5Z,1,REGULAR,turnover,lost ball,[],1629639,,,1610612748,2,5,2023-03-28T23:34:08Z,150000,False,,,0,,T. Herro lost ball TURNOVER (1 TO),"[1629639, 1627832]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,1.0,VanVleet,1627832.0,,,,,
16,PT10M39.00S,2023-03-28T23:34:00.5Z,1,REGULAR,steal,,[],1627832,,,1610612761,2,5,2023-03-28T23:34:30Z,160000,False,,,0,,F. VanVleet STEAL (1 STL),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
17,PT10M33.00S,2023-03-28T23:34:06.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627783,68.28186596583443,65.93137254901961,1610612761,2,5,2023-03-28T23:34:12Z,170000,False,80.0,246.0,1,right,MISS P. Siakam 25' 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Center,25.83,Missed,,,,,,,,,,,,,,,,,,
18,PT10M28.00S,2023-03-28T23:34:11.6Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,2,5,2023-03-28T23:34:12Z,180000,False,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Center,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,
