actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-02-12T20:10:25.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-12T20:10:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-02-12T20:10:27.8Z,1,REGULAR,jumpball,recovered,[],1627783,,,1610612761,0,0,2023-02-12T20:10:27Z,40000,False,,,0,,Jump Ball J. Poeltl vs. J. Duren: Tip to P. Siakam,"[1627783, 1627751, 1631105]",1610612761.0,TOR,startperiod,P. Siakam,1627783.0,Siakam,P. Siakam,Poeltl,1627751.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2023-02-12T20:10:46.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630567,7.5722733245729295,48.77450980392157,1610612761,2,0,2023-02-12T20:10:50Z,70000,False,6.0,19.0,1,left,S. Barnes DUNK (2 PTS) (J. Poeltl 1 AST),"[1630567, 1627751]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,1.97,Made,2.0,J. Poeltl,1627751.0,1.0,,,,,,,,,,,,,,
9,PT11M20.00S,2023-02-12T20:11:06.5Z,1,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612765,2,0,2023-02-12T20:11:15Z,90000,False,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Duren 2 FT),"[1627751, 1631105]",1610612761.0,TOR,shooting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,1627962.0,1.0,0.0,Duren,1631105.0,,,,,,,,,
11,PT11M20.00S,2023-02-12T20:11:33.9Z,1,REGULAR,freethrow,1 of 2,[],1631105,,,1610612765,2,0,2023-02-12T20:11:33Z,110000,False,,,0,,MISS J. Duren Free Throw 1 of 2,[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
12,PT11M20.00S,2023-02-12T20:11:33.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612765,2,0,2023-02-12T20:11:33Z,120000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,
13,PT11M20.00S,2023-02-12T20:11:48.0Z,1,REGULAR,freethrow,2 of 2,[],1631105,,,1610612765,2,1,2023-02-12T20:11:48Z,130000,False,,,0,,J. Duren Free Throw 2 of 2 (1 PTS),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
14,PT11M11.00S,2023-02-12T20:12:01.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630173,8.492115637319317,45.34313725490196,1610612761,2,1,2023-02-12T20:20:57Z,140000,False,23.0,27.0,1,left,MISS P. Achiuwa driving Layup,[1630173],1610612761.0,TOR,driving,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,3.59,Missed,,,,,,,,,,,,,,,,,,
15,PT11M10.00S,2023-02-12T20:12:02.8Z,1,REGULAR,rebound,offensive,[],1630173,,,1610612761,2,1,2023-02-12T20:20:57Z,150000,False,,,0,,P. Achiuwa REBOUND (Off:1 Def:0),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,14.0,1.0,0.0,1.0,,,,,
16,PT11M10.00S,2023-02-12T20:12:04.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630173,5.590000152587891,50.0,1610612761,2,1,2023-02-12T20:21:23Z,160000,False,0.0,0.0,1,left,MISS P. Achiuwa tip Layup,[1630173],1610612761.0,TOR,tip,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
