actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-03-01T00:40:54.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-01T00:40:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-03-01T00:40:57.1Z,1,REGULAR,jumpball,recovered,[],1627832,,,1610612761,0,0,2023-03-01T00:40:57Z,40000,False,,,0,,Jump Ball J. Poeltl vs. N. Vucevic: Tip to F. VanVleet,"[1627832, 1627751, 202696]",1610612761.0,TOR,startperiod,F. VanVleet,1627832.0,VanVleet,F. VanVleet,Poeltl,1627751.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2023-03-01T00:41:08.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628384,6.915243101182654,48.28431372549019,1610612761,2,0,2023-03-01T00:41:13Z,70000,False,9.0,13.0,1,left,O. Anunoby reverse Layup (2 PTS) (J. Poeltl 1 AST),"[1628384, 1627751]",1610612761.0,TOR,reverse,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,1.52,Made,2.0,J. Poeltl,1627751.0,1.0,,,,,,,,,,,,,,
9,PT11M25.00S,2023-03-01T00:41:28.2Z,1,REGULAR,turnover,lost ball,[],203897,,,1610612741,2,0,2023-03-01T00:41:32Z,90000,False,,,0,,Z. LaVine lost ball TURNOVER (1 TO),"[203897, 1627832]",1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1.0,VanVleet,1627832.0,,,,,,,,,,,
10,PT11M25.00S,2023-03-01T00:41:28.2Z,1,REGULAR,steal,,[],1627832,,,1610612761,2,0,2023-03-01T00:41:30Z,100000,False,,,0,,F. VanVleet STEAL (1 STL),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M20.00S,2023-03-01T00:41:33.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628384,6.521024967148489,46.568627450980394,1610612761,2,0,2023-03-01T00:41:38Z,110000,False,17.0,9.0,1,left,MISS O. Anunoby running Layup - blocked,"[1628384, 1627936]",1610612761.0,TOR,running,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,1.93,Missed,,,,,,,,Caruso,1627936.0,,,,,,,,,
12,PT11M20.00S,2023-03-01T00:41:33.0Z,1,REGULAR,block,,[],1627936,,,1610612761,2,0,2023-03-01T00:41:35Z,120000,False,,,0,,A. Caruso BLOCK (1 BLK),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M17.00S,2023-03-01T00:41:36.0Z,1,REGULAR,rebound,defensive,[],1627936,,,1610612741,2,0,2023-03-01T00:41:38Z,130000,False,,,0,,A. Caruso REBOUND (Off:0 Def:1),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,
14,PT11M07.00S,2023-03-01T00:41:45.6Z,1,REGULAR,turnover,bad pass,[],201942,,,1610612741,2,0,2023-03-01T00:41:49Z,140000,False,,,0,,D. DeRozan bad pass TURNOVER (1 TO),"[201942, 1628384]",1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Center,,,,,,,1.0,Anunoby,1628384.0,,,,,,,,,,,
15,PT11M07.00S,2023-03-01T00:41:45.6Z,1,REGULAR,steal,,[],1628384,,,1610612761,2,0,2023-03-01T00:41:47Z,150000,False,,,0,,O. Anunoby STEAL (1 STL),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
16,PT10M57.00S,2023-03-01T00:41:56.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627751,7.046649145860711,42.15686274509804,1610612761,2,0,2023-03-01T00:42:03Z,160000,False,39.0,14.0,1,left,MISS J. Poeltl cutting finger roll Layup,[1627751],1610612761.0,TOR,cutting finger roll,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,4.15,Missed,,,,,,,,,,,,,,,,,,
17,PT10M54.00S,2023-03-01T00:41:59.5Z,1,REGULAR,rebound,defensive,[],201976,,,1610612741,2,0,2023-03-01T00:42:03Z,170000,False,,,0,,P. Beverley REBOUND (Off:0 Def:1),[201976],1610612741.0,CHI,,,,Beverley,P. Beverley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,
18,PT10M44.00S,2023-03-01T00:42:08.5Z,1,REGULAR,2pt,Jump Shot,[],201942,72.88107752956637,31.61764705882353,1610612741,2,2,2023-03-01T00:42:23Z,180000,False,-92.0,202.0,1,right,D. DeRozan 22' Jump Shot (2 PTS) (P. Beverley 1 AST),"[201942, 201976]",1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Left Center,22.23,Made,2.0,P. Beverley,201976.0,1.0,,,,,,,,,,,,,,
20,PT10M20.00S,2023-03-01T00:42:33.2Z,1,REGULAR,2pt,Jump Shot,[],1627783,10.200394218134035,72.05882352941177,1610612761,4,2,2023-03-01T00:42:37Z,200000,False,-110.0,43.0,1,left,P. Siakam 11' turnaround fadeaway Jump Shot (2 PTS),[1627783],1610612761.0,TOR,turnaround fadeaway,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Left,11.85,Made,2.0,,,,,,,,,,,,,,,,,
21,PT09M58.00S,2023-03-01T00:42:54.8Z,1,REGULAR,2pt,Jump Shot,[],202696,77.7431011826544,29.901960784313726,1610612741,4,2,2023-03-01T00:42:59Z,210000,False,-100.0,157.0,1,right,MISS N. Vucevic 18' Jump Shot,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,16-24 Left Center,18.62,Missed,,,,,,,,,,,,,,,,,,
22,PT09M55.00S,2023-03-01T00:42:57.8Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,4,2,2023-03-01T00:42:59Z,220000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,
23,PT09M48.00S,2023-03-01T00:43:04.3Z,1,REGULAR,3pt,Jump Shot,[],1628384,17.69053876478318,4.901960784313726,1610612761,7,2,2023-03-01T00:43:08Z,230000,False,225.0,114.0,1,left,O. Anunoby 25' 3PT  (5 PTS) (P. Siakam 1 AST),"[1628384, 1627783]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Right Center,25.26,Made,5.0,P. Siakam,1627783.0,1.0,,,,,,,,,,,,,,
25,PT09M30.00S,2023-03-01T00:43:22.1Z,1,REGULAR,turnover,lost ball,[],202696,,,1610612741,7,2,2023-03-01T00:44:21Z,250000,False,,,0,,N. Vucevic lost ball TURNOVER (1 TO),"[202696, 1630567]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,,,,,1.0,Barnes,1630567.0,,,,,,,,,,,
26,PT09M30.00S,2023-03-01T00:43:22.1Z,1,REGULAR,steal,,[],1630567,,,1610612761,7,2,2023-03-01T00:43:26Z,260000,False,,,0,,S. Barnes STEAL (1 STL),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
27,PT09M24.00S,2023-03-01T00:43:29.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628384,8.623521681997373,54.90196078431373,1610612761,7,2,2023-03-01T00:43:39Z,270000,False,-25.0,29.0,1,left,MISS O. Anunoby driving Layup - blocked,"[1628384, 201942]",1610612761.0,TOR,driving,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,3.77,Missed,,,,,,,,DeRozan,201942.0,,,,,,,,,
28,PT09M24.00S,2023-03-01T00:43:29.4Z,1,REGULAR,block,,[],201942,,,1610612761,7,2,2023-03-01T00:43:32Z,280000,False,,,0,,D. DeRozan BLOCK (1 BLK),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
29,PT09M24.00S,2023-03-01T00:43:29.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612741,7,2,2023-03-01T00:43:39Z,290000,False,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,27.0,,,,,,,,
31,PT09M09.00S,2023-03-01T00:43:56.3Z,1,REGULAR,3pt,Jump Shot,[],1627936,94.1688567674113,96.32352941176471,1610612741,7,2,2023-03-01T00:44:00Z,310000,False,232.0,2.0,1,right,MISS A. Caruso 3PT,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Right Corner 3,24+ Right,23.16,Missed,,,,,,,,,,,,,,,,,,
32,PT09M06.00S,2023-03-01T00:43:59.3Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612761,7,2,2023-03-01T00:44:00Z,320000,False,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,
33,PT08M58.00S,2023-03-01T00:44:07.8Z,1,REGULAR,3pt,Jump Shot,[],1627783,6.258212877792378,96.81372549019608,1610612761,7,2,2023-03-01T00:44:12Z,330000,False,-234.0,6.0,1,left,MISS P. Siakam 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Left Corner 3,24+ Left,23.42,Missed,,,,,,,,,,,,,,,,,,
34,PT08M57.00S,2023-03-01T00:44:11.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612741,7,2,2023-03-01T00:44:11Z,340000,False,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,33.0,,,,,,,,
36,PT08M45.00S,2023-03-01T00:44:31.1Z,1,REGULAR,3pt,Jump Shot,[],1627936,93.77463863337714,96.32352941176471,1610612741,7,2,2023-03-01T00:44:38Z,360000,False,232.0,6.0,1,right,MISS A. Caruso 3PT,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Right Corner 3,24+ Right,23.17,Missed,,,,,,,,,,,,,,,,,,
37,PT08M43.00S,2023-03-01T00:44:33.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,7,2,2023-03-01T00:44:38Z,370000,False,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,36.0,,,,,,,,
39,PT08M26.00S,2023-03-01T00:45:00.6Z,1,REGULAR,3pt,Jump Shot,[],1627783,29.122864651773984,23.52941176470588,1610612761,7,2,2023-03-01T00:45:05Z,390000,False,132.0,221.0,1,left,MISS P. Siakam 25' 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Right Center,25.79,Missed,,,,,,,,,,,,,,,,,,
40,PT08M22.00S,2023-03-01T00:45:04.6Z,1,REGULAR,rebound,defensive,[],201976,,,1610612741,7,2,2023-03-01T00:45:05Z,400000,False,,,0,,P. Beverley REBOUND (Off:0 Def:2),[201976],1610612741.0,CHI,,,,Beverley,P. Beverley,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,39.0,2.0,2.0,0.0,,,,,
41,PT08M03.00S,2023-03-01T00:45:23.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,88.12417871222075,50.49019607843137,1610612741,7,4,2023-03-01T00:45:26Z,410000,False,2.0,59.0,1,right,N. Vucevic Hook (2 PTS) (D. DeRozan 1 AST),"[202696, 201942]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,5.92,Made,2.0,D. DeRozan,201942.0,1.0,,,,,,,,,,,,,,
43,PT07M52.00S,2023-03-01T00:45:34.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,7.30946123521682,49.01960784313725,1610612761,9,4,2023-03-01T00:45:39Z,430000,False,5.0,16.0,1,left,J. Poeltl reverse Layup (2 PTS) (F. VanVleet 1 AST),"[1627751, 1627832]",1610612761.0,TOR,reverse,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,1.69,Made,2.0,F. VanVleet,1627832.0,1.0,,,,,,,,,,,,,,
45,PT07M36.00S,2023-03-01T00:45:51.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201976,93.64323258869908,50.245098039215684,1610612741,9,6,2023-03-01T00:45:56Z,450000,False,1.0,7.0,1,right,P. Beverley driving reverse Layup (2 PTS),[201976],1610612741.0,CHI,driving reverse,,,Beverley,P. Beverley,,,,,Restricted Area,0-8 Center,0.74,Made,2.0,,,,,,,,,,,,,,,,,
46,PT07M29.00S,2023-03-01T00:46:01.5Z,1,REGULAR,foul,personal,[],1627936,,,1610612761,9,6,2023-03-01T00:46:10Z,460000,False,,,0,,A. Caruso personal FOUL (1 PF),"[1627936, 1627783]",1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,2005.0,1.0,0.0,Siakam,1627783.0
48,PT07M24.00S,2023-03-01T00:46:27.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,9.937582128777924,40.44117647058824,1610612761,11,6,2023-03-01T00:46:33Z,480000,False,48.0,41.0,1,left,P. Siakam 6' turnaround bank Jump Shot (4 PTS) (J. Poeltl 2 AST),"[1627783, 1627751]",1610612761.0,TOR,turnaround bank,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,6.29,Made,4.0,J. Poeltl,1627751.0,2.0,,,,,,,,,,,,,,
50,PT07M10.00S,2023-03-01T00:46:40.8Z,1,REGULAR,3pt,Jump Shot,[],203897,75.3777923784494,9.803921568627452,1610612741,11,6,2023-03-01T00:46:45Z,500000,False,-201.0,179.0,1,right,MISS Z. LaVine 26' pullup 3PT,[203897],1610612741.0,CHI,pullup,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Left Center,26.91,Missed,,,,,,,,,,,,,,,,,,
