actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-12-04T01:11:06.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-04T01:11:06Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-12-04T01:11:09.9Z,1,REGULAR,jumpball,recovered,[],1628365,,,1610612753,0,0,2022-12-04T01:11:10Z,40000,False,,,0,,Jump Ball B. Bol vs. C. Koloko: Tip to M. Fultz,"[1628365, 1629626, 1631132]",1610612753.0,ORL,startperiod,M. Fultz,1628365.0,Fultz,M. Fultz,Bol,1629626.0,Koloko,1631132.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-12-04T01:11:26.6Z,1,REGULAR,turnover,bad pass,[],1629626,,,1610612753,0,0,2022-12-04T01:11:33Z,70000,False,,,0,,B. Bol bad pass TURNOVER (1 TO),"[1629626, 1627832]",1610612753.0,ORL,,,,Bol,B. Bol,,,,,Mid-Range,16-24 Right,1.0,VanVleet,1627832.0,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2022-12-04T01:11:26.6Z,1,REGULAR,steal,,[],1627832,,,1610612761,0,0,2022-12-04T01:11:29Z,80000,False,,,0,,F. VanVleet STEAL (1 STL),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
9,PT11M33.00S,2022-12-04T01:11:33.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1631132,93.77463863337714,47.549019607843135,1610612761,2,0,2022-12-04T01:11:42Z,90000,False,-12.0,6.0,1,right,C. Koloko cutting DUNK (2 PTS) (O. Anunoby 1 AST),"[1631132, 1628384]",1610612761.0,TOR,cutting,,,Koloko,C. Koloko,,,,,Restricted Area,0-8 Center,,,,1.37,Made,2.0,O. Anunoby,1628384.0,1.0,,,,,,,,,,,
11,PT11M15.00S,2022-12-04T01:11:50.1Z,1,REGULAR,foul,personal,['2freethrow'],1631132,,,1610612753,2,0,2022-12-04T01:12:05Z,110000,False,,,0,,C. Koloko shooting personal FOUL (1 PF) (Wagner 2 FT),"[1631132, 1629021]",1610612761.0,TOR,shooting,,,Koloko,C. Koloko,,,,,Restricted Area,0-8 Center,,,,,,,,,,203177.0,1.0,0.0,Wagner,1629021.0,,,,,,
13,PT11M15.00S,2022-12-04T01:12:20.9Z,1,REGULAR,freethrow,1 of 2,[],1629021,,,1610612753,2,0,2022-12-04T01:12:20Z,130000,False,,,0,,MISS M. Wagner Free Throw 1 of 2,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
14,PT11M15.00S,2022-12-04T01:12:20.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612753,2,0,2022-12-04T01:12:21Z,140000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,
15,PT11M15.00S,2022-12-04T01:12:35.7Z,1,REGULAR,freethrow,2 of 2,[],1629021,,,1610612753,2,1,2022-12-04T01:12:35Z,150000,False,,,0,,M. Wagner Free Throw 2 of 2 (1 PTS),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
16,PT10M58.00S,2022-12-04T01:12:57.8Z,1,REGULAR,turnover,out-of-bounds,[],1628384,,,1610612761,2,1,2022-12-04T01:13:04Z,160000,False,,,0,,O. Anunoby bad pass out-of-bounds TURNOVER (1 TO),[1628384],1610612761.0,TOR,bad pass,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),8-16 Center,1.0,,,,,,,,,2003.0,,,,,,,,,,
