actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-29T00:41:10.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-29T00:41:10Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-29T00:41:12.6Z,1,REGULAR,jumpball,recovered,[],1630171,,,1610612739,0,0,2022-11-29T00:41:12Z,40000,False,,,0,,Jump Ball E. Mobley vs. T. Young: Tip to I. Okoro,"[1630171, 1630596, 201152]",1610612739.0,CLE,startperiod,I. Okoro,1630171.0,Okoro,I. Okoro,Mobley,1630596.0,Young,201152.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-11-29T00:41:24.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,12.171484888304862,59.31372549019608,1610612739,0,2,2022-11-29T00:41:30Z,70000,False,-47.0,62.0,1,left,D. Mitchell 7' driving floating Jump Shot (2 PTS),[1628378],1610612739.0,CLE,driving floating,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,7.75,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M27.00S,2022-11-29T00:41:42.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627832,88.12417871222075,49.50980392156863,1610612761,0,2,2022-11-29T00:41:52Z,80000,False,-2.0,59.0,1,right,MISS F. VanVleet driving floating bank Shot,[1627832],1610612761.0,TOR,driving floating bank,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),0-8 Center,5.92,Missed,,,,,,,,,,,,,,,,,,
9,PT11M26.00S,2022-11-29T00:41:43.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612739,0,2,2022-11-29T00:41:52Z,90000,False,,,0,,TEAM defensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,8.0,,,,,,,,,,,,,,,,
11,PT11M07.00S,2022-11-29T00:42:11.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629731,17.559132720105126,42.8921568627451,1610612739,0,2,2022-11-29T00:42:16Z,110000,False,36.0,113.0,1,left,MISS D. Wade 11' fadeaway Shot,[1629731],1610612739.0,CLE,fadeaway,,,Wade,D. Wade,,,,,In The Paint (Non-RA),8-16 Center,11.81,Missed,,,,,,,,,,,,,,,,,,
12,PT11M03.00S,2022-11-29T00:42:15.5Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,0,2,2022-11-29T00:42:16Z,120000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT10M49.00S,2022-11-29T00:42:28.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,85.89027595269383,53.67647058823529,1610612761,2,2,2022-11-29T00:42:32Z,130000,False,18.0,80.0,1,right,P. Siakam 8' driving floating Jump Shot (2 PTS),[1627783],1610612761.0,TOR,driving floating,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,8.22,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M40.00S,2022-11-29T00:42:39.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630171,8.09789750328515,55.14705882352941,1610612739,2,2,2022-11-29T00:42:44Z,140000,False,-26.0,24.0,1,left,MISS I. Okoro driving reverse Layup,[1630171],1610612739.0,CLE,driving reverse,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,3.49,Missed,,,,,,,,,,,,,,,,,,
15,PT10M38.00S,2022-11-29T00:42:41.2Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,2,2,2022-11-29T00:42:44Z,150000,False,,,0,,P. Siakam REBOUND (Off:0 Def:2),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,14.0,2.0,2.0,0.0,,,,,,,,,,,,,
16,PT10M32.00S,2022-11-29T00:42:45.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1627783,86.81011826544021,49.01960784313725,1610612761,4,2,2022-11-29T00:42:55Z,160000,False,-5.0,71.0,1,right,P. Siakam 7' running Jump Shot (4 PTS),[1627783],1610612761.0,TOR,running,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,7.17,Made,4.0,,,,,,,,,,,,,,,,,
17,PT10M11.00S,2022-11-29T00:43:07.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,7.30946123521682,44.11764705882353,1610612739,4,4,2022-11-29T00:43:14Z,170000,False,29.0,16.0,1,left,D. Garland driving Layup (2 PTS) (D. Mitchell 1 AST),"[1629636, 1628378]",1610612739.0,CLE,driving,,,Garland,D. Garland,,,,,Restricted Area,0-8 Center,3.36,Made,2.0,,,,,D. Mitchell,1628378.0,1.0,,,,,,,,,,
19,PT09M59.00S,2022-11-29T00:43:19.0Z,1,REGULAR,turnover,bad pass,[],1627832,,,1610612761,4,4,2022-11-29T00:43:23Z,190000,False,,,0,,F. VanVleet bad pass TURNOVER (1 TO),"[1627832, 1629636]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1.0,Garland,1629636.0,,,,,,,
20,PT09M59.00S,2022-11-29T00:43:19.0Z,1,REGULAR,steal,,[],1629636,,,1610612739,4,4,2022-11-29T00:43:20Z,200000,False,,,0,,D. Garland STEAL (1 STL),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
21,PT09M55.00S,2022-11-29T00:43:23.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630171,7.835085413929041,51.225490196078425,1610612739,4,6,2022-11-29T00:43:31Z,210000,False,-6.0,21.0,1,left,I. Okoro running DUNK (2 PTS) (D. Garland 1 AST),"[1630171, 1629636]",1610612739.0,CLE,running,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,2.2,Made,2.0,,,,,D. Garland,1629636.0,1.0,,,,,,,,,,
23,PT09M36.00S,2022-11-29T00:43:42.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201152,89.30683311432325,48.77450980392157,1610612761,6,6,2022-11-29T00:43:46Z,230000,False,-6.0,48.0,1,right,T. Young Hook (2 PTS) (O. Anunoby 1 AST),"[201152, 1628384]",1610612761.0,TOR,,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,4.84,Made,2.0,,,,,O. Anunoby,1628384.0,1.0,,,,,,,,,,
25,PT09M23.00S,2022-11-29T00:43:55.0Z,1,REGULAR,3pt,Jump Shot,[],1630596,32.933639947437584,63.725490196078425,1610612739,6,6,2022-11-29T00:43:59Z,250000,False,-69.0,257.0,1,left,MISS E. Mobley 26' 3PT,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Center,26.61,Missed,,,,,,,,,,,,,,,,,,
26,PT09M21.00S,2022-11-29T00:43:57.0Z,1,REGULAR,rebound,offensive,[],1630171,,,1610612739,6,6,2022-11-29T00:43:59Z,260000,False,,,0,,I. Okoro REBOUND (Off:1 Def:0),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Above the Break 3,24+ Center,,,,25.0,1.0,0.0,1.0,,,,,,,,,,,,,
27,PT09M15.00S,2022-11-29T00:44:03.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628378,33.85348226018397,41.42156862745098,1610612739,6,9,2022-11-29T00:44:09Z,270000,False,43.0,266.0,1,left,D. Mitchell 26' 3PT step back (5 PTS) (D. Garland 2 AST),"[1628378, 1629636]",1610612739.0,CLE,step back,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,26.91,Made,5.0,,,,,D. Garland,1629636.0,2.0,,,,,,,,,,
28,PT08M48.00S,2022-11-29T00:44:30.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627832,92.19776609724047,46.07843137254902,1610612761,6,9,2022-11-29T00:46:32Z,280000,False,-20.0,21.0,1,right,MISS F. VanVleet driving finger roll Layup,[1627832],1610612761.0,TOR,driving finger roll,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,2.86,Missed,,,,,,,,,,,,,,,,,,
29,PT08M45.00S,2022-11-29T00:44:33.5Z,1,REGULAR,rebound,defensive,[],1629731,,,1610612739,6,9,2022-11-29T00:44:36Z,290000,False,,,0,,D. Wade REBOUND (Off:0 Def:1),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,Restricted Area,0-8 Center,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,
30,PT08M37.00S,2022-11-29T00:44:40.8Z,1,REGULAR,3pt,Jump Shot,[],1630596,31.61957950065703,69.11764705882352,1610612739,6,9,2022-11-29T00:44:46Z,300000,False,-96.0,245.0,1,left,MISS E. Mobley 26' 3PT,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Left Center,26.27,Missed,,,,,,,,,,,,,,,,,,
31,PT08M34.00S,2022-11-29T00:44:43.8Z,1,REGULAR,rebound,defensive,[],201152,,,1610612761,6,9,2022-11-29T00:44:46Z,310000,False,,,0,,T. Young REBOUND (Off:0 Def:1),[201152],1610612761.0,TOR,,,,Young,T. Young,,,,,Above the Break 3,24+ Left Center,,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,
