actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-04-09T17:10:54.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-09T17:10:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-04-09T17:10:57.0Z,1,REGULAR,jumpball,recovered,[],203109,,,1610612749,0,0,2023-04-09T17:10:57Z,40000,False,,,0,,Jump Ball M. Leonard vs. J. Poeltl: Tip to J. Crowder,"[203109, 203086, 1627751]",1610612749.0,MIL,startperiod,J. Crowder,203109.0,Crowder,J. Crowder,Leonard,203086.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2023-04-09T17:11:11.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630699,92.9862023653088,51.225490196078425,1610612749,0,2,2023-04-09T17:11:16Z,70000,False,6.0,13.0,1,right,M. Beauchamp driving reverse Layup (2 PTS),[1630699],1610612749.0,MIL,driving reverse,,,Beauchamp,M. Beauchamp,,,,,Restricted Area,0-8 Center,1.47,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M16.00S,2023-04-09T17:11:37.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630173,10.5946123521682,44.11764705882353,1610612761,2,2,2023-04-09T17:11:42Z,80000,False,29.0,47.0,1,left,P. Achiuwa driving finger roll Layup (2 PTS),[1630173],1610612761.0,TOR,driving finger roll,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),0-8 Center,5.55,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M14.00S,2023-04-09T17:11:46.7Z,1,REGULAR,turnover,inbound,[],1626171,,,1610612749,2,2,2023-04-09T17:11:58Z,90000,False,,,0,,B. Portis inbound TURNOVER (1 TO),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Mid-Range,8-16 Left,,,,101284.0,1.0,,,,,,,,,,,,,,,
10,PT11M11.00S,2023-04-09T17:12:04.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627751,12.828515111695138,51.9607843137255,1610612761,2,2,2023-04-09T17:12:11Z,100000,False,-10.0,68.0,1,left,MISS J. Poeltl 6' floating Shot,[1627751],1610612761.0,TOR,floating,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,6.88,Missed,,,,,,,,,,,,,,,,,,
11,PT11M09.00S,2023-04-09T17:12:07.1Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,2,2,2023-04-09T17:12:07Z,110000,False,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,
12,PT11M00.00S,2023-04-09T17:12:16.1Z,1,REGULAR,2pt,Jump Shot,[],1626171,92.46057818659659,15.196078431372548,1610612749,2,4,2023-04-09T17:12:43Z,120000,False,-174.0,18.0,1,right,B. Portis 17' Jump Shot (2 PTS) (J. Crowder 1 AST),"[1626171, 203109]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,Mid-Range,16-24 Left,17.5,Made,2.0,,,,,,,J. Crowder,203109.0,1.0,,,,,,,,
14,PT10M44.00S,2023-04-09T17:12:31.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630173,18.084756898817346,38.72549019607843,1610612761,2,4,2023-04-09T17:12:42Z,140000,False,56.0,117.0,1,left,MISS P. Achiuwa 13' Jump Shot,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),8-16 Center,13.03,Missed,,,,,,,,,,,,,,,,,,
15,PT10M42.00S,2023-04-09T17:12:33.1Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,2,4,2023-04-09T17:12:42Z,150000,False,,,0,,B. Portis REBOUND (Off:0 Def:2),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,14.0,2.0,2.0,0.0,,,,,,,,,,,
