actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
16,PT10M30.00S,2022-12-31T00:42:41.7Z,1,REGULAR,turnover,out-of-bounds,[],1628969,,,1610612756,3,2,2022-12-31T00:42:56Z,160000,False,,,0,,M. Bridges bad pass out-of-bounds TURNOVER (1 TO),[1628969],1610612756.0,PHX,bad pass,,,Bridges,M. Bridges,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,1628480.0,1.0,,,,,,
17,PT10M14.00S,2022-12-31T00:43:03.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627783,16.63929040735874,54.41176470588235,1610612761,5,2,2022-12-31T00:44:18Z,170000,False,-22.0,104.0,1,left,P. Siakam 10' floating Jump Shot (5 PTS),[1627783],1610612761.0,TOR,floating,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,10.62,Made,,,,,,,5.0,,,,,,,,,,,
18,PT09M53.00S,2022-12-31T00:43:24.8Z,1,REGULAR,3pt,Jump Shot,[],1628470,70.51576872536137,16.911764705882355,1610612756,5,5,2022-12-31T00:43:30Z,180000,False,-165.0,225.0,1,right,T. Craig 27' 3PT  (3 PTS) (C. Paul 1 AST),"[1628470, 101108]",1610612756.0,PHX,,,,Craig,T. Craig,,,,,Above the Break 3,24+ Left Center,27.9,Made,,,,,,,3.0,C. Paul,101108.0,1.0,,,,,,,,
20,PT09M42.00S,2022-12-31T00:43:35.3Z,1,REGULAR,3pt,Jump Shot,[],1629018,27.94021024967148,84.06862745098039,1610612761,5,5,2022-12-31T00:43:41Z,200000,False,-170.0,210.0,1,left,MISS G. Trent Jr. 27' 3PT,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Left Center,27.05,Missed,,,,,,,,,,,,,,,,,,
21,PT09M39.00S,2022-12-31T00:43:38.8Z,1,REGULAR,rebound,offensive,[],1627783,,,1610612761,5,5,2022-12-31T00:43:38Z,210000,False,,,0,,P. Siakam REBOUND (Off:1 Def:0),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Left Center,,,,,20.0,1.0,0.0,1.0,,,,,,,,,,,,
22,PT09M37.00S,2022-12-31T00:43:41.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628384,29.38567674113009,21.323529411764707,1610612761,8,5,2022-12-31T00:43:47Z,220000,False,143.0,224.0,1,left,O. Anunoby 26' 3PT  (3 PTS) (P. Siakam 1 AST),"[1628384, 1627783]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Right Center,26.57,Made,,,,,,,3.0,P. Siakam,1627783.0,1.0,,,,,,,,
24,PT09M26.00S,2022-12-31T00:43:51.2Z,1,REGULAR,turnover,bad pass,[],101108,,,1610612756,8,5,2022-12-31T00:43:55Z,240000,False,,,0,,C. Paul bad pass TURNOVER (1 TO),"[101108, 1628384]",1610612756.0,PHX,,,,Paul,C. Paul,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,1.0,Anunoby,1628384.0,,,,
25,PT09M26.00S,2022-12-31T00:43:51.2Z,1,REGULAR,steal,,[],1628384,,,1610612761,8,5,2022-12-31T00:50:54Z,250000,False,,,0,,O. Anunoby STEAL (1 STL),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
26,PT09M25.00S,2022-12-31T00:43:55.4Z,1,REGULAR,foul,personal,['2freethrow'],1629006,,,1610612761,8,5,2022-12-31T00:44:10Z,260000,False,,,0,,J. Okogie shooting personal FOUL (1 PF) (Trent Jr. 2 FT),"[1629006, 1629018]",1610612756.0,PHX,shooting,,,Okogie,J. Okogie,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1628480.0,,,,1.0,0.0,Trent Jr.,1629018.0
28,PT09M25.00S,2022-12-31T00:44:21.8Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1629018,,,1610612761,9,5,2022-12-31T00:44:21Z,280000,False,,,0,,G. Trent Jr. Free Throw 1 of 2 (1 PTS),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
