actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-22T23:10:42.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-22T23:10:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-01-22T23:10:45.8Z,1,REGULAR,jumpball,recovered,[],1628973,,,1610612752,0,0,2023-01-22T23:10:45Z,40000,False,,,0,,Jump Ball J. Sims vs. S. Barnes: Tip to J. Brunson,"[1628973, 1630579, 1630567]",1610612752.0,NYK,startperiod,J. Brunson,1628973.0,Brunson,J. Brunson,Sims,1630579.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2023-01-22T23:11:04.5Z,1,REGULAR,foul,personal,['2freethrow'],1630173,,,1610612752,0,0,2023-01-22T23:11:29Z,70000,False,,,0,,P. Achiuwa shooting personal FOUL (1 PF) (Barrett 2 FT),"[1630173, 1629628]",1610612761.0,TOR,shooting,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),8-16 Left,1628954.0,1.0,0.0,Barrett,1629628.0,,,,,,,,,,,,,,,
9,PT11M39.00S,2023-01-22T23:11:33.8Z,1,REGULAR,freethrow,1 of 2,[],1629628,,,1610612752,0,1,2023-01-22T23:11:33Z,90000,False,,,0,,R. Barrett Free Throw 1 of 2 (1 PTS),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M39.00S,2023-01-22T23:11:35.9Z,1,REGULAR,freethrow,2 of 2,[],1629628,,,1610612752,0,2,2023-01-22T23:11:35Z,100000,False,,,0,,R. Barrett Free Throw 2 of 2 (2 PTS),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M21.00S,2023-01-22T23:11:56.1Z,1,REGULAR,2pt,Jump Shot,[],1627783,73.01248357424441,35.049019607843135,1610612761,0,2,2023-01-22T23:12:02Z,110000,False,-75.0,201.0,1,right,MISS P. Siakam 21' step back Shot,[1627783],1610612761.0,TOR,step back,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Left Center,,,,,,Missed,,21.47,,,,,,,,,,,,
12,PT11M17.00S,2023-01-22T23:12:00.1Z,1,REGULAR,rebound,offensive,[],1630173,,,1610612761,0,2,2023-01-22T23:12:02Z,120000,False,,,0,,P. Achiuwa REBOUND (Off:1 Def:0),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,Mid-Range,16-24 Left Center,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,
13,PT11M14.00S,2023-01-22T23:12:03.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627832,68.15045992115637,34.80392156862745,1610612761,3,2,2023-01-22T23:12:09Z,130000,False,-76.0,247.0,1,right,F. VanVleet 25' 3PT pullup (3 PTS),[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Center,,,,,,Made,3.0,25.83,,,,,,,,,,,,
14,PT10M52.00S,2023-01-22T23:12:25.4Z,1,REGULAR,3pt,Jump Shot,[],203944,21.895532194480946,5.147058823529411,1610612752,3,5,2023-01-22T23:12:33Z,140000,False,224.0,153.0,1,left,J. Randle 27' 3PT pullup (3 PTS) (R. Barrett 1 AST),"[203944, 1629628]",1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,,,,,,Made,3.0,27.17,,,,,R. Barrett,1629628.0,1.0,,,,,
16,PT10M36.00S,2023-01-22T23:12:41.6Z,1,REGULAR,3pt,Jump Shot,[],1629018,80.3712220762155,92.8921568627451,1610612761,6,5,2023-01-22T23:12:48Z,160000,False,214.0,132.0,1,right,G. Trent Jr. 25' 3PT  (3 PTS) (S. Barnes 1 AST),"[1629018, 1630567]",1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,Made,3.0,25.19,,,,,S. Barnes,1630567.0,1.0,,,,,
18,PT10M08.00S,2023-01-22T23:13:08.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,8.360709592641262,53.67647058823529,1610612752,6,7,2023-01-22T23:13:15Z,180000,False,-18.0,26.0,1,left,R. Barrett driving Layup (4 PTS) (J. Randle 1 AST),"[1629628, 203944]",1610612752.0,NYK,driving,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,,,,,,Made,4.0,3.19,,,,,J. Randle,203944.0,1.0,,,,,
20,PT09M55.00S,2023-01-22T23:13:21.8Z,1,REGULAR,3pt,Jump Shot,[],1627783,72.09264126149803,20.34313725490196,1610612761,9,7,2023-01-22T23:13:27Z,200000,False,-148.0,210.0,1,right,P. Siakam 25' 3PT  (3 PTS) (P. Achiuwa 1 AST),"[1627783, 1630173]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,25.69,,,,,P. Achiuwa,1630173.0,1.0,,,,,
22,PT09M40.00S,2023-01-22T23:13:36.9Z,1,REGULAR,3pt,Jump Shot,[],1629628,20.05584756898817,96.56862745098039,1610612752,9,10,2023-01-22T23:13:43Z,220000,False,-233.0,136.0,1,left,R. Barrett 26' 3PT  (7 PTS) (Q. Grimes 1 AST),"[1629628, 1629656]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Left Center,,,,,,Made,7.0,26.96,,,,,Q. Grimes,1629656.0,1.0,,,,,
24,PT09M23.00S,2023-01-22T23:13:58.3Z,1,REGULAR,foul,personal,[],1629656,,,1610612761,9,10,2023-01-22T23:14:22Z,240000,False,,,0,,Q. Grimes personal FOUL (1 PF),"[1629656, 1627783]",1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Mid-Range,16-24 Right Center,200834.0,1.0,0.0,Siakam,1627783.0,,,,,,,,,,,,,,,
26,PT09M14.00S,2023-01-22T23:14:19.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,85.3646517739816,37.254901960784316,1610612761,9,10,2023-01-22T23:14:29Z,260000,False,-64.0,85.0,1,right,MISS P. Siakam 10' driving floating Shot,[1627783],1610612761.0,TOR,driving floating,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Left,,,,,,Missed,,10.63,,,,,,,,,,,,
27,PT09M11.00S,2023-01-22T23:14:22.1Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,9,10,2023-01-22T23:14:22Z,270000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,
28,PT09M04.00S,2023-01-22T23:14:29.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,18.610381077529567,37.00980392156863,1610612752,9,10,2023-01-22T23:14:35Z,280000,False,65.0,122.0,1,left,MISS J. Randle 13' turnaround fadeaway Shot,[203944],1610612752.0,NYK,turnaround fadeaway,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,13.86,,,,,,,,,,,,
29,PT09M02.00S,2023-01-22T23:14:31.2Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612761,9,10,2023-01-22T23:14:35Z,290000,False,,,0,,P. Achiuwa REBOUND (Off:1 Def:1),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,28.0,2.0,1.0,1.0,,,,,,,,
30,PT08M55.00S,2023-01-22T23:14:37.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627832,93.11760840998686,53.92156862745098,1610612761,11,10,2023-01-22T23:14:43Z,300000,False,20.0,12.0,1,right,F. VanVleet running Layup (5 PTS),[1627832],1610612761.0,TOR,running,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,,,,,,Made,5.0,2.31,,,,,,,,,,,,
31,PT08M43.00S,2023-01-22T23:14:50.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,6.783837056504599,54.41176470588235,1610612752,11,10,2023-01-22T23:14:56Z,310000,False,-22.0,11.0,1,left,MISS J. Brunson driving finger roll Layup,[1628973],1610612752.0,NYK,driving finger roll,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,,,,,,Missed,,2.48,,,,,,,,,,,,
32,PT08M41.00S,2023-01-22T23:14:52.5Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612761,11,10,2023-01-22T23:14:56Z,320000,False,,,0,,P. Achiuwa REBOUND (Off:1 Def:2),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,,,,,,,,,31.0,3.0,2.0,1.0,,,,,,,,
33,PT08M37.00S,2023-01-22T23:14:56.6Z,1,REGULAR,3pt,Jump Shot,[],1629018,86.41590013140605,3.6764705882352944,1610612761,14,10,2023-01-22T23:15:58Z,330000,False,-232.0,75.0,1,right,G. Trent Jr. 24' 3PT step back (6 PTS) (P. Siakam 1 AST),"[1629018, 1627783]",1610612761.0,TOR,step back,,,Trent Jr.,G. Trent Jr.,,,,,Left Corner 3,24+ Left,,,,,,Made,6.0,24.35,,,,,P. Siakam,1627783.0,1.0,,,,,
35,PT08M26.00S,2023-01-22T23:15:10.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,14,10,2023-01-22T23:15:10Z,350000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT08M16.00S,2023-01-22T23:18:15.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628973,16.63929040735874,52.450980392156865,1610612752,14,10,2023-01-22T23:18:20Z,360000,False,-12.0,104.0,1,left,MISS J. Brunson 10' driving Hook,[1628973],1610612752.0,NYK,driving,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,10.46,,,,,,,,,,,,
37,PT08M14.00S,2023-01-22T23:18:17.5Z,1,REGULAR,rebound,offensive,[],203944,,,1610612752,14,10,2023-01-22T23:18:17Z,370000,False,,,0,,J. Randle REBOUND (Off:1 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,36.0,2.0,1.0,1.0,,,,,,,,
38,PT08M12.00S,2023-01-22T23:18:19.2Z,1,REGULAR,turnover,lost ball,[],203944,,,1610612752,14,10,2023-01-22T23:18:29Z,380000,False,,,0,,J. Randle lost ball TURNOVER (1 TO),"[203944, 1630567]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,1.0,Barnes,1630567.0,,
39,PT08M12.00S,2023-01-22T23:18:19.2Z,1,REGULAR,steal,,[],1630567,,,1610612761,14,10,2023-01-22T23:19:22Z,390000,False,,,0,,S. Barnes STEAL (1 STL),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
40,PT08M08.00S,2023-01-22T23:18:23.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629018,93.11760840998686,52.69607843137255,1610612761,14,10,2023-01-22T23:18:35Z,400000,False,13.0,12.0,1,right,MISS G. Trent Jr. running Layup,[1629018],1610612761.0,TOR,running,,,Trent Jr.,G. Trent Jr.,,,,,Restricted Area,0-8 Center,,,,,,Missed,,1.82,,,,,,,,,,,,
41,PT08M04.00S,2023-01-22T23:18:26.5Z,1,REGULAR,rebound,defensive,[],1629656,,,1610612752,14,10,2023-01-22T23:18:26Z,410000,False,,,0,,Q. Grimes REBOUND (Off:0 Def:1),[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Restricted Area,0-8 Center,,,,,,,,,40.0,1.0,1.0,0.0,,,,,,,,
42,PT08M01.00S,2023-01-22T23:18:29.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629628,20.45006570302234,8.088235294117647,1610612752,14,10,2023-01-22T23:18:41Z,420000,False,210.0,140.0,1,left,MISS R. Barrett 25' running 3PT,[1629628],1610612752.0,NYK,running,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,25.19,,,,,,,,,,,,
43,PT07M57.00S,2023-01-22T23:18:33.9Z,1,REGULAR,rebound,defensive,[],1629018,,,1610612761,14,10,2023-01-22T23:18:41Z,430000,False,,,0,,G. Trent Jr. REBOUND (Off:0 Def:1),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,,42.0,1.0,1.0,0.0,,,,,,,,
44,PT07M50.00S,2023-01-22T23:18:44.4Z,1,REGULAR,foul,offensive,[],1630173,,,1610612761,14,10,2023-01-22T23:18:52Z,440000,False,,,0,,P. Achiuwa charge offensive FOUL (2 PF),"[1630173, 1628973]",1610612761.0,TOR,charge,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),0-8 Center,200834.0,2.0,0.0,Brunson,1628973.0,,,,,,,,,,,,,,,
46,PT07M50.00S,2023-01-22T23:18:44.4Z,1,REGULAR,turnover,offensive foul,[],1630173,,,1610612761,14,10,2023-01-22T23:18:44Z,460000,False,,,0,,P. Achiuwa offensive foul TURNOVER (1 TO),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),0-8 Center,200834.0,,,,,,,,,,,,,,,1.0,,,,
47,PT07M50.00S,2023-01-22T23:19:01.6Z,1,REGULAR,substitution,out,[],1630173,,,1610612752,14,10,2023-01-22T23:19:06Z,470000,False,,,0,,SUB out: P. Achiuwa,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,,
