actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-02-24T00:41:25.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-24T00:41:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-02-24T00:41:27.4Z,1,REGULAR,jumpball,recovered,[],1630529,,,1610612740,0,0,2023-02-24T00:41:27Z,40000,False,,,0,,Jump Ball J. Valanciunas vs. J. Poeltl: Tip to H. Jones,"[1630529, 202685, 1627751]",1610612740.0,NOP,startperiod,H. Jones,1630529.0,Jones,H. Jones,Valanciunas,202685.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2023-02-24T00:41:47.2Z,1,REGULAR,turnover,bad pass,[],203468,,,1610612740,0,0,2023-02-24T00:41:53Z,70000,False,,,0,,C. McCollum bad pass TURNOVER (1 TO),"[203468, 1630567]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Mid-Range,8-16 Left,1.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2023-02-24T00:41:47.2Z,1,REGULAR,steal,,[],1630567,,,1610612761,0,0,2023-02-24T00:43:11Z,80000,False,,,0,,S. Barnes STEAL (1 STL),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
9,PT11M21.00S,2023-02-24T00:42:03.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627783,20.18725361366623,48.529411764705884,1610612761,2,0,2023-02-24T00:42:09Z,90000,False,7.0,137.0,1,left,P. Siakam 13' pullup Jump Shot (2 PTS),[1627783],1610612761.0,TOR,pullup,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,,,,13.75,Made,2.0,,,,,,,,,,,,,,
10,PT11M07.00S,2023-02-24T00:42:17.3Z,1,REGULAR,3pt,Jump Shot,[],1630529,93.38042049934296,3.1862745098039214,1610612740,2,0,2023-02-24T00:42:21Z,100000,False,-234.0,10.0,1,right,MISS H. Jones 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Left Corner 3,24+ Left,,,,23.43,Missed,,,,,,,,,,,,,,,
11,PT11M05.00S,2023-02-24T00:42:19.3Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,2,0,2023-02-24T00:42:21Z,110000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Left Corner 3,24+ Left,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT10M53.00S,2023-02-24T00:42:31.3Z,1,REGULAR,2pt,Jump Shot,[],1629018,25.57490144546649,63.970588235294116,1610612761,2,0,2023-02-24T00:42:37Z,120000,False,-70.0,188.0,1,left,MISS G. Trent Jr. 20' step back Shot,[1629018],1610612761.0,TOR,step back,,,Trent Jr.,G. Trent Jr.,,,,,Mid-Range,16-24 Left Center,,,,20.05,Missed,,,,,,,,,,,,,,,
13,PT10M50.00S,2023-02-24T00:42:34.3Z,1,REGULAR,rebound,defensive,[],1630529,,,1610612740,2,0,2023-02-24T00:42:37Z,130000,False,,,0,,H. Jones REBOUND (Off:0 Def:1),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Mid-Range,16-24 Left Center,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT10M41.00S,2023-02-24T00:42:42.8Z,1,REGULAR,3pt,Jump Shot,[],1626196,91.67214191852825,3.6764705882352944,1610612740,2,0,2023-02-24T00:42:47Z,140000,False,-232.0,26.0,1,right,MISS J. Richardson 3PT,[1626196],1610612740.0,NOP,,,,Richardson,J. Richardson,,,,,Left Corner 3,24+ Left,,,,23.3,Missed,,,,,,,,,,,,,,,
