actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-02-09T00:40:55.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-09T00:40:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-02-09T00:40:57.0Z,1,REGULAR,jumpball,recovered,[],1629640,,,1610612759,0,0,2023-02-09T00:40:57Z,40000,False,,,0,,Jump Ball J. Poeltl vs. S. Barnes: Tip to K. Johnson,"[1629640, 1627751, 1630567]",1610612759.0,SAS,startperiod,K. Johnson,1629640.0,Johnson,K. Johnson,Poeltl,1627751.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-02-09T00:41:13.3Z,1,REGULAR,3pt,Jump Shot,[],1631103,6.1268068331143235,96.56862745098039,1610612759,0,0,2023-02-09T00:41:19Z,70000,False,-233.0,5.0,1,left,MISS M. Branham 3PT,[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,Left Corner 3,24+ Left,23.29,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2023-02-09T00:41:17.3Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,0,0,2023-02-09T00:41:19Z,80000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Left Corner 3,24+ Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M34.00S,2023-02-09T00:41:21.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627832,90.88370565045992,55.63725490196079,1610612761,0,0,2023-02-09T00:41:27Z,90000,False,28.0,33.0,1,right,MISS F. VanVleet running Layup - blocked,"[1627832, 1631103]",1610612761.0,TOR,running,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,4.36,Missed,,,,,Branham,1631103.0,,,,,,,,,,,,
10,PT11M34.00S,2023-02-09T00:41:21.0Z,1,REGULAR,block,,[],1631103,,,1610612761,0,0,2023-02-09T00:41:23Z,100000,False,,,0,,M. Branham BLOCK (1 BLK),[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M30.00S,2023-02-09T00:41:25.0Z,1,REGULAR,rebound,defensive,[],1626196,,,1610612759,0,0,2023-02-09T00:41:27Z,110000,False,,,0,,J. Richardson REBOUND (Off:0 Def:1),[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M28.00S,2023-02-09T00:41:26.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626196,32.14520367936925,61.029411764705884,1610612759,0,3,2023-02-09T00:41:34Z,120000,False,-55.0,250.0,1,left,J. Richardson 25' 3PT running pullup (3 PTS),[1626196],1610612759.0,SAS,running pullup,,,Richardson,J. Richardson,,,,,Above the Break 3,24+ Center,25.57,Made,,,,,,,3.0,,,,,,,,,,,
13,PT11M11.00S,2023-02-09T00:41:43.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,94.03745072273325,50.0,1610612761,2,3,2023-02-09T00:41:51Z,130000,False,0.0,4.0,1,right,P. Siakam cutting Layup (2 PTS) (S. Barnes 1 AST),"[1627783, 1630567]",1610612761.0,TOR,cutting,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,0.35,Made,,,,,,,2.0,S. Barnes,1630567.0,1.0,,,,,,,,
15,PT10M54.00S,2023-02-09T00:41:59.7Z,1,REGULAR,2pt,Jump Shot,[],1626196,12.040078843626807,73.52941176470588,1610612759,2,3,2023-02-09T00:42:06Z,150000,False,-118.0,61.0,1,left,MISS J. Richardson 13' pullup Shot,[1626196],1610612759.0,SAS,pullup,,,Richardson,J. Richardson,,,,,Mid-Range,8-16 Left,13.23,Missed,,,,,,,,,,,,,,,,,,
