actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-11-17T00:40:52.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-17T00:40:52Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-11-17T00:40:55.5Z,1,REGULAR,jumpball,recovered,[],1630625,,,1610612761,0,0,2022-11-17T00:40:55Z,40000,False,,,0,,Jump Ball S. Barnes vs. N. Jovic: Tip to D. Banton,"[1630625, 1630567, 1631107]",1610612761.0,TOR,startperiod,D. Banton,1630625.0,Banton,D. Banton,Barnes,1630567.0,Jovic,1631107.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2022-11-17T00:41:14.8Z,1,REGULAR,2pt,Jump Shot,[],1630625,92.06636005256242,27.205882352941174,1610612761,0,0,2022-11-17T00:41:21Z,70000,False,-114.0,22.0,1,right,MISS D. Banton 11' driving floating bank Shot,[1630625],1610612761.0,TOR,driving floating bank,,,Banton,D. Banton,,,,,Mid-Range,8-16 Left,11.61,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2022-11-17T00:41:17.8Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612748,0,0,2022-11-17T00:41:21Z,80000,False,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Mid-Range,8-16 Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M32.00S,2022-11-17T00:41:19.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],200768,28.07161629434954,23.03921568627451,1610612748,0,3,2022-11-17T00:41:29Z,90000,False,135.0,211.0,1,left,K. Lowry 25' 3PT running pullup (3 PTS),[200768],1610612748.0,MIA,running pullup,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Right Center,25.07,Made,,,,,3.0,,,,,,,,,,,,,
10,PT11M20.00S,2022-11-17T00:41:31.0Z,1,REGULAR,2pt,Jump Shot,[],1630567,76.5604467805519,51.71568627450981,1610612761,2,3,2022-11-17T00:41:36Z,100000,False,9.0,168.0,1,right,S. Barnes 16' step back Jump Shot (2 PTS),[1630567],1610612761.0,TOR,step back,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Center,16.8,Made,,,,,2.0,,,,,,,,,,,,,
11,PT10M54.00S,2022-11-17T00:41:58.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631107,8.886333771353483,46.07843137254902,1610612748,2,5,2022-11-17T00:42:03Z,110000,False,20.0,31.0,1,left,N. Jovic cutting Layup (2 PTS) (J. Butler 1 AST),"[1631107, 202710]",1610612748.0,MIA,cutting,,,Jovic,N. Jovic,,,,,Restricted Area,0-8 Center,3.67,Made,,,,,2.0,J. Butler,202710.0,1.0,,,,,,,,,,
13,PT10M43.00S,2022-11-17T00:42:08.1Z,1,REGULAR,2pt,Jump Shot,[],1630567,79.97700394218134,76.9607843137255,1610612761,4,5,2022-11-17T00:42:13Z,130000,False,135.0,136.0,1,right,S. Barnes 19' pullup Jump Shot (4 PTS),[1630567],1610612761.0,TOR,pullup,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Right Center,19.13,Made,,,,,4.0,,,,,,,,,,,,,
14,PT10M32.00S,2022-11-17T00:42:19.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628997,12.697109067017081,56.86274509803921,1610612748,4,5,2022-11-17T00:45:36Z,140000,False,-34.0,67.0,1,left,MISS C. Martin 7' floating Shot,[1628997],1610612748.0,MIA,floating,,,Martin,C. Martin,,,,,In The Paint (Non-RA),0-8 Center,7.52,Missed,,,,,,,,,,,,,,,,,,
15,PT10M30.00S,2022-11-17T00:42:21.3Z,1,REGULAR,rebound,offensive,[],1628997,,,1610612748,4,5,2022-11-17T00:45:36Z,150000,False,,,0,,C. Martin REBOUND (Off:1 Def:1),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,In The Paint (Non-RA),0-8 Center,,,14.0,2.0,1.0,1.0,,,,,,,,,,,,,,
