shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
12:00,2,PT12M00.00S,2022-12-08T00:41:06.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-08T00:41:06Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:57,4,PT11M57.00S,2022-12-08T00:41:08.7Z,1,REGULAR,jumpball,recovered,[],1627783,,,1610612761,0,0,2022-12-08T00:41:08Z,40000,False,,,0,,Jump Ball C. Koloko vs. T. Bryant: Tip to P. Siakam,"[1627783, 1631132, 1628418]",43,1610612761.0,TOR,startperiod,P. Siakam,1627783.0,Siakam,P. Siakam,Koloko,1631132.0,Bryant,1628418.0,,,,,,,,,,,,,,,,,,,,,,
11:44,7,PT11M44.00S,2022-12-08T00:41:20.5Z,1,REGULAR,3pt,Jump Shot,[],1627832,33.196452036793694,68.62745098039215,1610612761,3,0,2022-12-08T00:41:27Z,70000,False,-93.0,260.0,1,left,F. VanVleet 27' 3PT pullup (3 PTS),[1627832],23,1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,27.57,Made,3.0,,,,,,,,,,,,,,,,,
11:20,8,PT11M20.00S,2022-12-08T00:41:45.9Z,1,REGULAR,3pt,Jump Shot,[],1630559,65.91655716162943,66.66666666666666,1610612747,3,0,2022-12-08T00:41:51Z,80000,False,83.0,268.0,1,right,MISS A. Reaves 28' 3PT,[1630559],15,1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Center,28.06,Missed,,,,,,,,,,,,,,,,,,
11:16,9,PT11M16.00S,2022-12-08T00:41:49.9Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,3,0,2022-12-08T00:41:51Z,90000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],4,1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
11:11,10,PT11M11.00S,2022-12-08T00:41:53.9Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1628384,8.09789750328515,55.392156862745104,1610612761,3,0,2022-12-08T01:06:04Z,100000,False,-27.0,24.0,1,left,MISS O. Anunoby running DUNK - blocked,"[1628384, 1628418]",3,1610612761.0,TOR,running,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,3.59,Missed,,,,,,Bryant,1628418.0,,,,,,,,,,,
11:11,11,PT11M11.00S,2022-12-08T00:41:53.9Z,1,REGULAR,block,,[],1628418,,,1610612761,3,0,2022-12-08T00:41:58Z,110000,False,,,0,,T. Bryant BLOCK (1 BLK),[1628418],31,1610612747.0,LAL,,,,Bryant,T. Bryant,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11:06,12,PT11M06.00S,2022-12-08T00:41:58.9Z,1,REGULAR,rebound,offensive,[],1631132,,,1610612761,3,0,2022-12-08T00:42:03Z,120000,False,,,0,,C. Koloko REBOUND (Off:1 Def:0),[1631132],35,1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,Restricted Area,0-8 Center,,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,
11:05,13,PT11M05.00S,2022-12-08T00:42:00.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627832,19.92444152431012,95.34313725490196,1610612761,3,0,2022-12-08T00:42:06Z,130000,False,-227.0,135.0,1,left,MISS F. VanVleet 26' 3PT,[1627832],23,1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,26.37,Missed,,,,,,,,,,,,,,,,,,
11:02,14,PT11M02.00S,2022-12-08T00:42:02.9Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,3,0,2022-12-08T00:42:02Z,140000,False,,,0,,S. Barnes REBOUND (Off:1 Def:1),[1630567],4,1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Left Center,,,,13.0,2.0,1.0,1.0,,,,,,,,,,,,,
10:57,15,PT10M57.00S,2022-12-08T00:42:08.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627783,32.933639947437584,64.4607843137255,1610612761,6,0,2022-12-08T00:42:14Z,150000,False,-72.0,257.0,1,left,P. Siakam 26' 3PT  (3 PTS) (F. VanVleet 1 AST),"[1627783, 1627832]",43,1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Center,26.71,Made,3.0,,,,,,,F. VanVleet,1627832.0,1.0,,,,,,,,
10:40,17,PT10M40.00S,2022-12-08T00:42:27.3Z,1,REGULAR,foul,personal,[],1627832,,,1610612747,6,0,2022-12-08T00:42:50Z,170000,False,,,0,,F. VanVleet personal FOUL (1 PF),"[1627832, 203471]",23,1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,202037.0,1.0,0.0,Schroder,203471.0,,,
