actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-11-06T23:10:33.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-06T23:10:33Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-11-06T23:10:38.7Z,1,REGULAR,jumpball,recovered,[],1627832,,,1610612761,0,0,2022-11-06T23:10:38Z,40000,,,0,,Jump Ball C. Koloko vs. N. Vucevic: Tip to F. VanVleet,"[1627832, 1631132, 202696]",1610612761.0,TOR,startperiod,F. VanVleet,1627832.0,VanVleet,F. VanVleet,Koloko,1631132.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-11-06T23:10:50.2Z,1,REGULAR,2pt,Jump Shot,[],1627832,23.078186596583443,48.529411764705884,1610612761,2,0,2022-11-06T23:10:57Z,70000,7.0,164.0,1,left,F. VanVleet 16' driving floating Jump Shot (2 PTS) (S. Barnes 1 AST),"[1627832, 1630567]",1610612761.0,TOR,driving floating,,,VanVleet,F. VanVleet,,,,,Mid-Range,16-24 Center,16.46,Made,2.0,S. Barnes,1630567.0,1.0,,,,,,,,,,,,,,
9,PT11M21.00S,2022-11-06T23:11:12.0Z,1,REGULAR,turnover,lost ball,[],202696,,,1610612741,2,0,2022-11-06T23:11:23Z,90000,,,0,,N. Vucevic lost ball TURNOVER (1 TO),"[202696, 1629018]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,8-16 Left,,,,,,,1.0,Trent Jr.,1629018.0,,,,,,,,,,,
10,PT11M21.00S,2022-11-06T23:11:12.0Z,1,REGULAR,steal,,[],1629018,,,1610612761,2,0,2022-11-06T23:11:14Z,100000,,,0,,G. Trent Jr. STEAL (1 STL),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
11,PT11M16.00S,2022-11-06T23:11:17.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629018,9.149145860709593,42.40196078431372,1610612761,2,0,2022-11-06T23:11:31Z,110000,38.0,34.0,1,left,MISS G. Trent Jr. running Layup - blocked,"[1629018, 1627936]",1610612761.0,TOR,running,,,Trent Jr.,G. Trent Jr.,,,,,In The Paint (Non-RA),0-8 Center,5.07,Missed,,,,,,,,Caruso,1627936.0,,,,,,,,,
12,PT11M16.00S,2022-11-06T23:11:17.1Z,1,REGULAR,block,,[],1627936,,,1610612761,2,0,2022-11-06T23:11:20Z,120000,,,0,,A. Caruso BLOCK (1 BLK),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M15.00S,2022-11-06T23:11:18.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,2,0,2022-11-06T23:11:31Z,130000,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,11.0,,,,,,,,
15,PT11M09.00S,2022-11-06T23:11:37.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1631132,8.754927726675426,52.450980392156865,1610612761,2,0,2022-11-06T23:11:43Z,150000,-12.0,30.0,1,left,MISS C. Koloko cutting Layup - blocked,"[1631132, 1630172]",1610612761.0,TOR,cutting,,,Koloko,C. Koloko,,,,,Restricted Area,0-8 Center,3.22,Missed,,,,,,,,Williams,1630172.0,,,,,,,,,
16,PT11M09.00S,2022-11-06T23:11:37.6Z,1,REGULAR,block,,[],1630172,,,1610612761,2,0,2022-11-06T23:11:40Z,160000,,,0,,P. Williams BLOCK (1 BLK),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
