actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-10-31T23:41:01.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-31T23:41:01Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-10-31T23:41:04.2Z,1,REGULAR,jumpball,recovered,[],1630567,,,1610612761,0,0,2022-10-31T23:41:04Z,40000,,,0,,Jump Ball C. Koloko vs. C. Capela: Tip to S. Barnes,"[1630567, 1631132, 203991]",1610612761.0,TOR,startperiod,S. Barnes,1630567.0,Barnes,S. Barnes,Koloko,1631132.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-10-31T23:41:19.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627783,86.15308804204993,60.049019607843135,1610612761,0,0,2022-10-31T23:41:25Z,70000,50.0,78.0,1,right,MISS P. Siakam 9' turnaround Hook,[1627783],1610612761.0,TOR,turnaround,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Right,9.25,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2022-10-31T23:41:23.2Z,1,REGULAR,rebound,offensive,[],1631132,,,1610612761,0,0,2022-10-31T23:41:25Z,80000,,,0,,C. Koloko REBOUND (Off:1 Def:0),[1631132],1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,In The Paint (Non-RA),8-16 Right,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M37.00S,2022-10-31T23:41:22.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631132,94.40999984741211,50.0,1610612761,0,0,2022-10-31T23:41:22Z,90000,0.0,0.0,1,right,MISS C. Koloko tip Layup,[1631132],1610612761.0,TOR,tip,,,Koloko,C. Koloko,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
10,PT11M36.00S,2022-10-31T23:41:23.7Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,0,0,2022-10-31T23:41:23Z,100000,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Mid-Range,8-16 Left,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M20.00S,2022-10-31T23:41:39.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629631,15.850854139290407,39.46078431372549,1610612737,0,0,2022-10-31T23:42:33Z,110000,53.0,96.0,1,left,MISS D. Hunter 11' pullup Shot,[1629631],1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),8-16 Center,11.0,Missed,,,,,,,,,,,,,,,,,,
12,PT11M17.00S,2022-10-31T23:41:42.5Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,0,0,2022-10-31T23:41:46Z,120000,,,0,,C. Capela REBOUND (Off:1 Def:0),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),8-16 Center,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,
13,PT11M16.00S,2022-10-31T23:41:44.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628381,31.750985545335087,65.93137254901961,1610612737,0,0,2022-10-31T23:41:49Z,130000,-80.0,246.0,1,left,MISS J. Collins 25' 3PT,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Center,25.86,Missed,,,,,,,,,,,,,,,,,,
14,PT11M13.00S,2022-10-31T23:41:47.6Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,0,0,2022-10-31T23:41:49Z,140000,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT11M06.00S,2022-10-31T23:41:54.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631132,93.51182654402102,49.26470588235294,1610612761,2,0,2022-10-31T23:41:59Z,150000,-4.0,8.0,1,right,C. Koloko cutting DUNK (2 PTS) (O. Anunoby 1 AST),"[1631132, 1628384]",1610612761.0,TOR,cutting,,,Koloko,C. Koloko,,,,,Restricted Area,0-8 Center,0.93,Made,,,,,2.0,O. Anunoby,1628384.0,1.0,,,,,,,,,,
17,PT10M55.00S,2022-10-31T23:42:07.1Z,1,REGULAR,foul,personal,['2freethrow'],1631132,,,1610612737,2,0,2022-10-31T23:42:15Z,170000,,,0,,C. Koloko shooting personal FOUL (1 PF) (Capela 2 FT),"[1631132, 203991]",1610612761.0,TOR,shooting,,,Koloko,C. Koloko,,,,,Restricted Area,0-8 Center,,,,,,,,,,,2003.0,1.0,0.0,Capela,203991.0,,,,,
19,PT10M55.00S,2022-10-31T23:42:28.9Z,1,REGULAR,freethrow,1 of 2,[],203991,,,1610612737,2,1,2022-10-31T23:42:45Z,190000,,,0,,C. Capela Free Throw 1 of 2 (1 PTS),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
20,PT10M55.00S,2022-10-31T23:42:28.9Z,1,REGULAR,freethrow,2 of 2,[],203991,,,1610612737,2,1,2022-10-31T23:42:45Z,200000,,,0,,MISS C. Capela Free Throw 2 of 2,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
