actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
36,PT08M14.00S,2023-03-18T23:16:18.0Z,1,REGULAR,turnover,bad pass,[],1630567,,,1610612761,6,7,2023-03-18T23:16:22Z,340000,False,,,0,,S. Barnes bad pass TURNOVER (1 TO),"[1630567, 201144]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Center,,,,,,,,1.0,,,,,,,,,Conley,201144.0,,
37,PT08M14.00S,2023-03-18T23:16:18.0Z,1,REGULAR,steal,,[],201144,,,1610612750,6,7,2023-03-18T23:16:20Z,350000,False,,,0,,M. Conley STEAL (1 STL),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
38,PT08M08.00S,2023-03-18T23:16:23.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203937,10.726018396846255,50.245098039215684,1610612750,6,9,2023-03-18T23:18:30Z,360000,False,-1.0,48.0,1,left,K. Anderson running Layup (2 PTS) (R. Gobert 1 AST),"[203937, 203497]",1610612750.0,MIN,running,,,Anderson,K. Anderson,,,,,In The Paint (Non-RA),0-8 Center,4.83,Made,,,,,,,2.0,,,,,R. Gobert,203497.0,1.0,,,,
40,PT08M00.00S,2023-03-18T23:16:32.0Z,1,REGULAR,3pt,Jump Shot,[],1627832,70.38436268068331,72.54901960784314,1610612761,9,9,2023-03-18T23:16:40Z,380000,False,113.0,226.0,1,right,F. VanVleet 25' 3PT pullup (5 PTS) (J. Poeltl 1 AST),"[1627832, 1627751]",1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Right Center,25.25,Made,,,,,,,5.0,,,,,J. Poeltl,1627751.0,1.0,,,,
41,PT07M43.00S,2023-03-18T23:16:48.5Z,1,REGULAR,2pt,Jump Shot,[],1630183,15.062417871222076,74.75490196078431,1610612750,9,9,2023-03-18T23:16:53Z,390000,False,-124.0,89.0,1,left,MISS J. McDaniels 15' pullup Shot,[1630183],1610612750.0,MIN,pullup,,,McDaniels,J. McDaniels,,,,,Mid-Range,8-16 Left,15.25,Missed,,,,,,,,,,,,,,,,,,
42,PT07M41.00S,2023-03-18T23:16:50.5Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612761,9,9,2023-03-18T23:16:53Z,400000,False,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Mid-Range,8-16 Left,,,41.0,1.0,1.0,0.0,,,,,,,,,,,,,,
44,PT07M27.00S,2023-03-18T23:17:21.3Z,1,REGULAR,foul,personal,['2freethrow'],203937,,,1610612761,9,9,2023-03-18T23:17:32Z,420000,False,,,0,,K. Anderson shooting personal FOUL (1 PF) (Siakam 2 FT),"[203937, 1627783]",1610612750.0,MIN,shooting,,,Anderson,K. Anderson,,,,,Restricted Area,0-8 Center,,,,,,,1155.0,,,1.0,0.0,Siakam,1627783.0,,,,,,,
46,PT07M27.00S,2023-03-18T23:17:49.1Z,1,REGULAR,freethrow,1 of 2,[],1627783,,,1610612761,10,9,2023-03-18T23:18:11Z,440000,False,,,0,,P. Siakam Free Throw 1 of 2 (3 PTS),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
47,PT07M27.00S,2023-03-18T23:17:49.1Z,1,REGULAR,freethrow,2 of 2,[],1627783,,,1610612761,10,9,2023-03-18T23:18:11Z,450000,False,,,0,,MISS P. Siakam Free Throw 2 of 2,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
48,PT07M24.00S,2023-03-18T23:17:52.1Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,10,9,2023-03-18T23:18:11Z,460000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,47.0,1.0,1.0,0.0,,,,,,,,,,,,,,
