actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-11T00:40:35.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-11T00:40:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-01-11T00:40:38.3Z,1,REGULAR,jumpball,recovered,[],1627783,,,1610612761,0,0,2023-01-11T00:40:38Z,40000,False,,,0,,Jump Ball S. Barnes vs. M. Plumlee: Tip to P. Siakam,"[1627783, 1630567, 203486]",1610612761.0,TOR,startperiod,P. Siakam,1627783.0,Siakam,P. Siakam,Barnes,1630567.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2023-01-11T00:40:49.8Z,1,REGULAR,2pt,Jump Shot,[],1629018,87.86136662286465,70.34313725490196,1610612761,0,0,2023-01-11T00:40:57Z,70000,False,102.0,62.0,1,right,MISS G. Trent Jr. 11' floating Shot,[1629018],1610612761.0,TOR,floating,,,Trent Jr.,G. Trent Jr.,,,,,Mid-Range,8-16 Right,11.89,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2023-01-11T00:40:51.8Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,0,0,2023-01-11T00:40:57Z,80000,False,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Mid-Range,8-16 Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M22.00S,2023-01-11T00:41:13.6Z,1,REGULAR,2pt,Jump Shot,[],1629667,15.456636005256241,74.75490196078431,1610612766,0,0,2023-01-11T00:41:21Z,90000,False,-124.0,93.0,1,left,MISS J. McDaniels 15' turnaround Shot,[1629667],1610612766.0,CHA,turnaround,,,McDaniels,J. McDaniels,,,,,Mid-Range,8-16 Left,15.47,Missed,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2023-01-11T00:41:14.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,0,0,2023-01-11T00:41:40Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Mid-Range,8-16 Left,,,9.0,,,,,,,,,,,,,,,,,
11,PT11M21.00S,2023-01-11T00:41:19.8Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612766,0,0,2023-01-11T00:41:29Z,110000,False,,,0,,CHA shot clock Team TURNOVER,[],1610612766.0,CHA,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,2003.0,,,,,,,,,,,,,
12,PT11M11.00S,2023-01-11T00:41:33.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628384,66.83639947437582,57.107843137254896,1610612761,0,0,2023-01-11T00:41:44Z,120000,False,36.0,259.0,1,right,MISS O. Anunoby 26' pullup 3PT,[1628384],1610612761.0,TOR,pullup,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Center,26.16,Missed,,,,,,,,,,,,,,,,,,
13,PT11M08.00S,2023-01-11T00:41:36.7Z,1,REGULAR,rebound,offensive,[],1627783,,,1610612761,0,0,2023-01-11T00:41:36Z,130000,False,,,0,,P. Siakam REBOUND (Off:1 Def:0),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Center,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,,
14,PT11M06.00S,2023-01-11T00:41:38.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627783,88.12417871222075,48.28431372549019,1610612761,2,0,2023-01-11T00:41:47Z,140000,False,-9.0,59.0,1,right,P. Siakam turnaround Jump Shot (2 PTS),[1627783],1610612761.0,TOR,turnaround,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,5.97,Made,,,,,,2.0,,,,,,,,,,,,
15,PT10M54.00S,2023-01-11T00:41:50.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630163,7.046649145860711,49.26470588235294,1610612766,2,2,2023-01-11T00:41:54Z,150000,False,4.0,14.0,1,left,L. Ball driving DUNK (2 PTS),[1630163],1610612766.0,CHA,driving,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,1.42,Made,,,,,,2.0,,,,,,,,,,,,
16,PT10M37.00S,2023-01-11T00:42:06.5Z,1,REGULAR,2pt,Jump Shot,[],1627783,74.32654402102497,41.911764705882355,1610612761,4,2,2023-01-11T00:42:10Z,160000,False,-40.0,189.0,1,right,P. Siakam 19' pullup Jump Shot (4 PTS) (O. Anunoby 1 AST),"[1627783, 1628384]",1610612761.0,TOR,pullup,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Center,19.31,Made,,,,,,4.0,O. Anunoby,1628384.0,1.0,,,,,,,,,
18,PT10M20.00S,2023-01-11T00:42:44.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,5.469776609724048,49.754901960784316,1610612766,4,4,2023-01-11T00:44:18Z,180000,False,1.0,-1.0,1,left,T. Rozier driving finger roll Layup (2 PTS),[1626179],1610612766.0,CHA,driving finger roll,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,0.16,Made,,,,,,2.0,,,,,,,,,,,,
19,PT10M13.00S,2023-01-11T00:42:50.7Z,1,REGULAR,foul,offensive,[],1628384,,,1610612761,4,4,2023-01-11T00:43:08Z,190000,False,,,0,,O. Anunoby offensive FOUL (1 PF),"[1628384, 1630163]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Mid-Range,8-16 Right,,,,,,,1628482.0,,,,,1.0,0.0,Ball,1630163.0,,,,,
21,PT10M13.00S,2023-01-11T00:42:50.7Z,1,REGULAR,turnover,offensive foul,[],1628384,,,1610612761,4,4,2023-01-11T00:42:50Z,210000,False,,,0,,O. Anunoby offensive foul TURNOVER (1 TO),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Mid-Range,8-16 Right,,,,,,,1628482.0,,,,,,,,,1.0,,,,
22,PT09M59.00S,2023-01-11T00:43:18.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203486,6.915243101182654,49.754901960784316,1610612766,4,6,2023-01-11T00:43:23Z,220000,False,1.0,13.0,1,left,M. Plumlee cutting DUNK (2 PTS) (T. Rozier 1 AST),"[203486, 1626179]",1610612766.0,CHA,cutting,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,1.26,Made,,,,,,2.0,T. Rozier,1626179.0,1.0,,,,,,,,,
24,PT09M46.00S,2023-01-11T00:43:31.0Z,1,REGULAR,2pt,Jump Shot,[],1629018,80.6340341655716,23.52941176470588,1610612761,4,6,2023-01-11T00:43:35Z,240000,False,-132.0,130.0,1,right,MISS G. Trent Jr. 18' pullup Shot,[1629018],1610612761.0,TOR,pullup,,,Trent Jr.,G. Trent Jr.,,,,,Mid-Range,16-24 Left Center,18.52,Missed,,,,,,,,,,,,,,,,,,
25,PT09M44.00S,2023-01-11T00:43:33.7Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,4,6,2023-01-11T00:43:33Z,250000,False,,,0,,S. Barnes REBOUND (Off:1 Def:0),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Left Center,,,24.0,1.0,0.0,1.0,,,,,,,,,,,,,,
26,PT09M42.00S,2023-01-11T00:43:35.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629018,68.54467805519053,21.07843137254902,1610612761,7,6,2023-01-11T00:43:40Z,260000,False,-145.0,243.0,1,right,G. Trent Jr. 28' 3PT  (3 PTS) (S. Barnes 1 AST),"[1629018, 1630567]",1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Left Center,28.29,Made,,,,,,3.0,S. Barnes,1630567.0,1.0,,,,,,,,,
29,PT09M29.00S,2023-01-11T00:43:49.9Z,1,REGULAR,turnover,lost ball,[],1629667,,,1610612766,7,6,2023-01-11T00:44:15Z,280000,False,,,0,,J. McDaniels lost ball TURNOVER (1 TO),"[1629667, 1629018]",1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,1.0,Trent Jr.,1629018.0,,
30,PT09M29.00S,2023-01-11T00:43:49.9Z,1,REGULAR,steal,,[],1629018,,,1610612761,7,6,2023-01-11T00:43:58Z,290000,False,,,0,,G. Trent Jr. STEAL (1 STL),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
31,PT09M29.00S,2023-01-11T00:43:59.8Z,1,REGULAR,foul,personal,['1freethrow'],1629667,,,1610612761,7,6,2023-01-11T00:44:11Z,300000,False,,,0,,J. McDaniels transition take personal FOUL (1 PF) (Trent Jr. 1 FT),"[1629667, 1629018]",1610612766.0,CHA,transition take,,,McDaniels,J. McDaniels,,,,,Mid-Range,16-24 Left Center,,,,,,,1628482.0,,,,,1.0,0.0,Trent Jr.,1629018.0,,,,,
33,PT09M29.00S,2023-01-11T00:44:22.1Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1627832,,,1610612761,8,6,2023-01-11T00:44:22Z,320000,False,,,0,,F. VanVleet transition take Free Throw 1 of 1 (1 PTS),[1627832],1610612761.0,TOR,transition take,,,VanVleet,F. VanVleet,,,,,,,,Made,,,,,,1.0,,,,,,,,,,,,
34,PT09M15.00S,2023-01-11T00:44:51.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628384,74.98357424441524,84.31372549019608,1610612761,11,6,2023-01-11T00:44:56Z,330000,False,172.0,183.0,1,right,O. Anunoby 25' 3PT  (3 PTS) (F. VanVleet 1 AST),"[1628384, 1627832]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Right Center,25.07,Made,,,,,,3.0,F. VanVleet,1627832.0,1.0,,,,,,,,,
36,PT09M00.00S,2023-01-11T00:45:05.6Z,1,REGULAR,3pt,Jump Shot,[],1626179,26.231931668856767,86.76470588235294,1610612766,11,9,2023-01-11T00:45:09Z,350000,False,-184.0,194.0,1,left,T. Rozier 26' 3PT  (5 PTS) (L. Ball 1 AST),"[1626179, 1630163]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Left Center,26.73,Made,,,,,,5.0,L. Ball,1630163.0,1.0,,,,,,,,,
38,PT08M52.00S,2023-01-11T00:45:13.7Z,1,REGULAR,3pt,Jump Shot,[],1630567,67.88764783180025,38.23529411764706,1610612761,11,9,2023-01-11T00:45:18Z,370000,False,-59.0,249.0,1,right,MISS S. Barnes 25' 3PT,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Center,25.62,Missed,,,,,,,,,,,,,,,,,,
39,PT08M49.00S,2023-01-11T00:45:16.7Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,11,9,2023-01-11T00:45:18Z,380000,False,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Center,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,,
