actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-28T23:41:03.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-28T23:41:03Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-10-28T23:41:06.4Z,1,REGULAR,jumpball,recovered,[],1629018,,,1610612761,0,0,2022-10-28T23:41:06Z,40000,,,0,,Jump Ball S. Barnes vs. T. Harris: Tip to G. Trent Jr.,"[1629018, 1630567, 202699]",1610612761.0,TOR,startperiod,G. Trent Jr.,1629018.0,Trent Jr.,G. Trent Jr.,Barnes,1630567.0,Harris,202699.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-10-28T23:41:21.3Z,1,REGULAR,turnover,bad pass,[],1627783,,,1610612761,0,0,2022-10-28T23:41:26Z,70000,,,0,,P. Siakam bad pass TURNOVER (1 TO),"[1627783, 200782]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Left Center,1.0,Tucker,200782.0,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2022-10-28T23:41:21.3Z,1,REGULAR,steal,,[],200782,,,1610612755,0,0,2022-10-28T23:41:23Z,80000,,,0,,P. Tucker STEAL (1 STL),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
9,PT11M19.00S,2022-10-28T23:41:43.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630178,5.206964520367937,2.450980392156863,1610612755,0,3,2022-10-28T23:41:47Z,90000,238.0,-4.0,1,left,T. Maxey 3PT  (3 PTS) (D. Melton 1 AST),"[1630178, 1629001]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Right Corner 3,24+ Right,,,,23.77,Made,3.0,D. Melton,1629001.0,1.0,,,,,,,,,,,
11,PT11M04.00S,2022-10-28T23:41:57.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629018,86.5473061760841,43.38235294117647,1610612761,0,3,2022-10-28T23:44:30Z,110000,-33.0,74.0,1,right,MISS G. Trent Jr. 8' Hook,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,8.11,Missed,,,,,,,,,,,,,,,
12,PT11M00.00S,2022-10-28T23:42:01.9Z,1,REGULAR,rebound,defensive,[],201935,,,1610612755,0,3,2022-10-28T23:42:06Z,120000,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,
13,PT10M47.00S,2022-10-28T23:42:14.8Z,1,REGULAR,3pt,Jump Shot,[],202699,29.517082785808146,15.686274509803921,1610612755,0,3,2022-10-28T23:42:19Z,130000,172.0,225.0,1,left,MISS T. Harris 28' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Right Center,,,,28.3,Missed,,,,,,,,,,,,,,,
14,PT10M45.00S,2022-10-28T23:42:16.8Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,0,3,2022-10-28T23:42:19Z,140000,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,
15,PT10M39.00S,2022-10-28T23:42:24.4Z,1,REGULAR,foul,personal,['2freethrow'],200782,,,1610612761,0,3,2022-10-28T23:42:31Z,150000,,,0,,P. Tucker shooting personal FOUL (1 PF) (Siakam 2 FT),"[200782, 1627783]",1610612755.0,PHI,shooting,,,Tucker,P. Tucker,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,201245.0,1.0,0.0,Siakam,1627783.0,,
