actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2023-01-15T00:40:25.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-15T00:40:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-01-15T00:40:27.4Z,1,REGULAR,jumpball,recovered,[],1627832,,,1610612761,0,0,2023-01-15T00:40:27Z,40000,False,,,0,,Jump Ball S. Barnes vs. O. Okongwu: Tip to F. VanVleet,"[1627832, 1630567, 1630168]",1610612761.0,TOR,startperiod,F. VanVleet,1627832.0,VanVleet,F. VanVleet,Barnes,1630567.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-01-15T00:40:43.4Z,1,REGULAR,2pt,Jump Shot,[],1628384,91.80354796320631,21.07843137254902,1610612761,0,0,2023-01-15T00:40:47Z,70000,False,-145.0,25.0,1,right,MISS O. Anunoby 14' turnaround fadeaway Shot,[1628384],1610612761.0,TOR,turnaround fadeaway,,,Anunoby,O. Anunoby,,,,,Mid-Range,8-16 Left,14.67,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2023-01-15T00:40:45.4Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,0,0,2023-01-15T00:40:47Z,80000,False,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Mid-Range,8-16 Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M26.00S,2023-01-15T00:40:58.5Z,1,REGULAR,turnover,bad pass,[],1627749,,,1610612737,0,0,2023-01-15T00:41:02Z,90000,False,,,0,,D. Murray bad pass TURNOVER (1 TO),"[1627749, 1629018]",1610612737.0,ATL,,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,,,,,,,1.0,Trent Jr.,1629018.0,,,,,,,,,,,
10,PT11M26.00S,2023-01-15T00:40:58.5Z,1,REGULAR,steal,,[],1629018,,,1610612761,0,0,2023-01-15T00:41:00Z,100000,False,,,0,,G. Trent Jr. STEAL (1 STL),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M21.00S,2023-01-15T00:41:03.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1627783,89.70105124835742,4.166666666666666,1610612761,0,0,2023-01-15T00:41:10Z,110000,False,-229.0,44.0,1,right,MISS P. Siakam running 3PT,[1627783],1610612761.0,TOR,running,,,Siakam,P. Siakam,,,,,Left Corner 3,24+ Left,23.34,Missed,,,,,,,,,,,,,,,,,,
12,PT11M18.00S,2023-01-15T00:41:07.1Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,0,0,2023-01-15T00:41:07Z,120000,False,,,0,,S. Barnes REBOUND (Off:1 Def:0),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Left Corner 3,24+ Left,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,
13,PT11M15.00S,2023-01-15T00:41:40.9Z,1,REGULAR,jumpball,recovered,[],1628384,,,1610612761,0,0,2023-01-15T00:41:40Z,130000,False,,,0,,Jump Ball S. Barnes vs. D. Hunter: Tip to O. Anunoby,"[1628384, 1630567, 1629631]",1610612761.0,TOR,heldball,O. Anunoby,1628384.0,Anunoby,O. Anunoby,Barnes,1630567.0,Hunter,1629631.0,,,,,,,,,,,,,,,,,,,,,,
16,PT11M13.00S,2023-01-15T00:41:44.5Z,1,REGULAR,turnover,out-of-bounds,[],1628384,,,1610612761,0,0,2023-01-15T00:41:49Z,160000,False,,,0,,O. Anunoby bad pass out-of-bounds TURNOVER (1 TO),[1628384],1610612761.0,TOR,bad pass,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1.0,,,2882.0,,,,,,,,,,
