actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-10-26T23:41:01.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-26T23:41:01Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-26T23:41:04.4Z,1,REGULAR,jumpball,recovered,[],1627783,,,1610612761,0,0,2022-10-26T23:41:04Z,40000,,,0,,Jump Ball S. Barnes vs. J. Embiid: Tip to P. Siakam,"[1627783, 1630567, 203954]",1610612761.0,TOR,startperiod,P. Siakam,1627783.0,Siakam,P. Siakam,Barnes,1630567.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-10-26T23:41:22.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628384,93.77463863337714,50.49019607843137,1610612761,0,0,2022-10-26T23:41:31Z,70000,2.0,6.0,1,right,MISS O. Anunoby reverse Layup,[1628384],1610612761.0,TOR,reverse,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,0.65,Missed,,,,,,,,,,,,,,,,,,
9,PT11M36.00S,2022-10-26T23:41:25.1Z,1,REGULAR,rebound,defensive,[],200782,,,1610612755,0,0,2022-10-26T23:41:31Z,90000,,,0,,P. Tucker REBOUND (Off:0 Def:1),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
62,PT11M32.00S,2022-10-26T23:41:27.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,8.853482260183966,44.85294117647059,1610612755,0,0,2022-10-26T23:52:40Z,95000,26.0,31.0,1,left,MISS J. Harden driving Layup - blocked,"[201935, 1627832]",1610612755.0,PHI,driving,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,4.0,Missed,,,,,VanVleet,1627832.0,,,,,,,,,,,,
63,PT11M32.00S,2022-10-26T23:41:27.1Z,1,REGULAR,block,,[],1627832,,,1610612755,0,0,2022-10-26T23:52:09Z,97500,,,0,,F. VanVleet BLOCK (1 BLK),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
64,PT11M32.00S,2022-10-26T23:41:27.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,0,0,2022-10-26T23:52:40Z,98750,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Restricted Area,0-8 Center,,,62.0,,,,,,,,,,,,,,,,,
11,PT11M18.00S,2022-10-26T23:41:52.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627832,84.05059132720105,57.84313725490197,1610612761,0,0,2022-10-26T23:52:31Z,110000,39.0,97.0,1,right,MISS F. VanVleet 10' pullup Shot - blocked,"[1627832, 1630178]",1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),8-16 Center,10.5,Missed,,,,,Maxey,1630178.0,,,,,,,,,,,,
12,PT11M18.00S,2022-10-26T23:41:52.7Z,1,REGULAR,block,,[],1630178,,,1610612761,0,0,2022-10-26T23:41:55Z,120000,,,0,,T. Maxey BLOCK (1 BLK),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M14.00S,2022-10-26T23:41:56.7Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,0,0,2022-10-26T23:41:58Z,130000,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),8-16 Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M09.00S,2022-10-26T23:42:01.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630178,7.703679369250986,52.20588235294118,1610612755,0,2,2022-10-26T23:46:33Z,140000,-11.0,20.0,1,left,T. Maxey driving Layup (2 PTS),[1630178],1610612755.0,PHI,driving,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,2.27,Made,,,,,,,2.0,,,,,,,,,,,
15,PT10M55.00S,2022-10-26T23:42:14.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,91.80354796320631,55.14705882352941,1610612761,0,2,2022-10-26T23:42:20Z,150000,26.0,25.0,1,right,MISS P. Siakam driving finger roll Layup,[1627783],1610612761.0,TOR,driving finger roll,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,3.55,Missed,,,,,,,,,,,,,,,,,,
16,PT10M53.00S,2022-10-26T23:42:16.8Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,0,2,2022-10-26T23:42:16Z,160000,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M42.00S,2022-10-26T23:42:27.3Z,1,REGULAR,2pt,Jump Shot,[],203954,6.258212877792378,24.754901960784316,1610612755,0,4,2022-10-26T23:42:32Z,170000,126.0,6.0,1,left,J. Embiid 12' turnaround Jump Shot (2 PTS) (J. Harden 1 AST),"[203954, 201935]",1610612755.0,PHI,turnaround,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Right,12.64,Made,,,,,,,2.0,J. Harden,201935.0,1.0,,,,,,,,
19,PT10M27.00S,2022-10-26T23:42:42.6Z,1,REGULAR,3pt,Jump Shot,[],1630567,81.94809461235218,94.11764705882352,1610612761,3,4,2022-10-26T23:42:47Z,190000,221.0,117.0,1,right,S. Barnes 24' 3PT  (3 PTS) (P. Siakam 1 AST),"[1630567, 1627783]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Right Center,24.98,Made,,,,,,,3.0,P. Siakam,1627783.0,1.0,,,,,,,,
21,PT10M01.00S,2022-10-26T23:43:11.3Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612755,3,4,2022-10-26T23:43:21Z,210000,,,0,,PHI shot clock Team TURNOVER,[],1610612755.0,PHI,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
22,PT09M44.00S,2022-10-26T23:43:37.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627783,74.58935611038108,12.254901960784313,1610612761,6,4,2022-10-26T23:43:42Z,220000,-189.0,186.0,1,right,P. Siakam 26' 3PT  (3 PTS) (F. VanVleet 1 AST),"[1627783, 1627832]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Left Center,26.52,Made,,,,,,,3.0,F. VanVleet,1627832.0,1.0,,,,,,,,
24,PT09M24.00S,2022-10-26T23:43:58.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,7.046649145860711,50.0,1610612755,6,6,2022-10-26T23:44:03Z,240000,0.0,14.0,1,left,J. Embiid driving finger roll Layup (4 PTS),[203954],1610612755.0,PHI,driving finger roll,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,1.37,Made,,,,,,,4.0,,,,,,,,,,,
25,PT09M14.00S,2022-10-26T23:44:07.8Z,1,REGULAR,3pt,Jump Shot,[],1627783,67.62483574244416,61.51960784313726,1610612761,9,6,2022-10-26T23:44:12Z,250000,58.0,252.0,1,right,P. Siakam 25' 3PT pullup (6 PTS),[1627783],1610612761.0,TOR,pullup,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Center,25.83,Made,,,,,,,6.0,,,,,,,,,,,
26,PT08M50.00S,2022-10-26T23:44:35.0Z,1,REGULAR,foul,personal,['2freethrow'],1628384,,,1610612755,9,6,2022-10-26T23:44:42Z,260000,,,0,,O. Anunoby shooting personal FOUL (1 PF) (Harden 2 FT),"[1628384, 201935]",1610612761.0,TOR,shooting,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,202035.0,1.0,0.0,Harden,201935.0,,,
28,PT08M50.00S,2022-10-26T23:45:03.1Z,1,REGULAR,freethrow,1 of 2,[],201935,,,1610612755,9,7,2022-10-26T23:45:03Z,280000,,,0,,J. Harden Free Throw 1 of 2 (1 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
29,PT08M50.00S,2022-10-26T23:45:20.4Z,1,REGULAR,freethrow,2 of 2,[],201935,,,1610612755,9,8,2022-10-26T23:45:20Z,290000,,,0,,J. Harden Free Throw 2 of 2 (2 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
