actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-02-11T00:40:50.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-11T00:40:50Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-02-11T00:40:52.2Z,1,REGULAR,jumpball,recovered,[],1628374,,,1610612762,0,0,2023-02-11T00:40:52Z,40000,False,,,0,,Jump Ball W. Kessler vs. S. Barnes: Tip to L. Markkanen,"[1628374, 1631117, 1630567]",1610612762.0,UTA,startperiod,L. Markkanen,1628374.0,Markkanen,L. Markkanen,Kessler,1631117.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2023-02-11T00:41:04.0Z,1,REGULAR,foul,offensive,[],1628374,,,1610612762,0,0,2023-02-11T00:41:17Z,70000,False,,,0,,L. Markkanen offensive FOUL (1 PF),"[1628374, 1630173]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Mid-Range,8-16 Left,1627964.0,1.0,0.0,Achiuwa,1630173.0,,,,,,,,,,,,,,,
9,PT11M47.00S,2023-02-11T00:41:04.0Z,1,REGULAR,turnover,offensive foul,[],1628374,,,1610612762,0,0,2023-02-11T00:41:04Z,90000,False,,,0,,L. Markkanen offensive foul TURNOVER (1 TO),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Mid-Range,8-16 Left,1627964.0,,,,,1.0,,,,,,,,,,,,,,
10,PT11M29.00S,2023-02-11T00:41:36.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630173,32.670827858081466,50.0,1610612761,3,0,2023-02-11T00:41:42Z,100000,False,0.0,255.0,1,left,P. Achiuwa 25' 3PT  (3 PTS) (S. Barnes 1 AST),"[1630173, 1630567]",1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,Above the Break 3,24+ Center,,,,,,,25.46,Made,3.0,S. Barnes,1630567.0,1.0,,,,,,,,
12,PT11M03.00S,2023-02-11T00:42:02.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203482,92.72339027595268,54.65686274509803,1610612762,3,2,2023-02-11T00:51:49Z,120000,False,23.0,16.0,1,right,K. Olynyk cutting Layup (2 PTS) (C. Sexton 1 AST),"[203482, 1629012]",1610612762.0,UTA,cutting,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,,,,,,,2.82,Made,2.0,C. Sexton,1629012.0,1.0,,,,,,,,
14,PT10M48.00S,2023-02-11T00:42:17.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,18.74178712220762,39.21568627450981,1610612761,3,2,2023-02-11T00:42:22Z,140000,False,54.0,124.0,1,left,MISS P. Siakam 13' Jump Shot,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,13.49,Missed,,,,,,,,,,,,
15,PT10M46.00S,2023-02-11T00:42:19.4Z,1,REGULAR,rebound,defensive,[],203482,,,1610612762,3,2,2023-02-11T00:42:22Z,150000,False,,,0,,K. Olynyk REBOUND (Off:0 Def:1),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,
16,PT10M36.00S,2023-02-11T00:42:30.1Z,1,REGULAR,3pt,Jump Shot,[],1630534,66.44218134034165,56.372549019607845,1610612762,3,2,2023-02-11T00:42:35Z,160000,False,32.0,263.0,1,right,MISS O. Agbaji 26' pullup 3PT,[1630534],1610612762.0,UTA,pullup,,,Agbaji,O. Agbaji,,,,,Above the Break 3,24+ Center,,,,,,,26.48,Missed,,,,,,,,,,,,
17,PT10M32.00S,2023-02-11T00:42:34.1Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612761,3,2,2023-02-11T00:42:35Z,170000,False,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,
