actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-19T23:44:39.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-19T23:44:39Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-10-19T23:44:43.3Z,1,REGULAR,jumpball,recovered,[],1630596,,,1610612739,0,0,2022-10-19T23:44:43Z,40000,,,0,,Jump Ball J. Allen vs. S. Barnes: Tip to E. Mobley,"[1630596, 1628386, 1630567]",1610612739.0,CLE,startperiod,E. Mobley,1630596.0,Mobley,E. Mobley,Allen,1628386.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-10-19T23:45:00.8Z,1,REGULAR,2pt,Jump Shot,[],1628378,15.850854139290407,11.27450980392157,1610612739,0,0,2022-10-19T23:45:04Z,70000,194.0,96.0,1,left,MISS D. Mitchell 21' pullup Shot,[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Right,21.63,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2022-10-19T23:45:03.8Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,0,0,2022-10-19T23:45:04Z,80000,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Mid-Range,16-24 Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M23.00S,2022-10-19T23:45:15.2Z,1,REGULAR,3pt,Jump Shot,[],1628384,71.30420499342969,20.098039215686274,1610612761,0,0,2022-10-19T23:45:20Z,90000,-150.0,217.0,1,right,MISS O. Anunoby 26' 3PT,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Left Center,26.37,Missed,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2022-10-19T23:45:18.2Z,1,REGULAR,rebound,offensive,[],1627783,,,1610612761,0,0,2022-10-19T23:45:20Z,100000,,,0,,P. Siakam REBOUND (Off:1 Def:0),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M19.00S,2022-10-19T23:45:19.6Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1627783,86.94152431011827,48.77450980392157,1610612761,2,0,2022-10-19T23:45:26Z,110000,-6.0,70.0,1,right,P. Siakam 7' turnaround Hook (2 PTS),[1627783],1610612761.0,TOR,turnaround,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,7.05,Made,,,,,2.0,,,,,,,,,,,,,
12,PT11M04.00S,2022-10-19T23:45:35.1Z,1,REGULAR,3pt,Jump Shot,[],1630596,7.703679369250986,3.1862745098039214,1610612739,2,0,2022-10-19T23:45:39Z,120000,234.0,20.0,1,left,MISS E. Mobley 3PT,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Right Corner 3,24+ Right,23.49,Missed,,,,,,,,,,,,,,,,,,
13,PT11M00.00S,2022-10-19T23:45:39.1Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,2,0,2022-10-19T23:45:39Z,130000,,,0,,O. Anunoby REBOUND (Off:0 Def:2),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Right Corner 3,24+ Right,,,12.0,2.0,2.0,0.0,,,,,,,,,,,,,,
14,PT10M56.00S,2022-10-19T23:45:45.5Z,1,REGULAR,turnover,out-of-bounds,[],1629018,,,1610612761,2,0,2022-10-19T23:45:51Z,140000,,,0,,G. Trent Jr. bad pass out-of-bounds TURNOVER (1 TO),[1629018],1610612761.0,TOR,bad pass,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,202026.0,1.0,,,,,,,,,,,
