actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-12-24T03:20:35.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-24T03:20:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-12-24T03:20:39.7Z,1,REGULAR,jumpball,recovered,[],1628415,,,1610612763,0,0,2022-12-24T03:20:39Z,40000,False,,,0,,Jump Ball S. Adams vs. D. Ayton: Tip to D. Brooks,"[1628415, 203500, 1629028]",1610612763.0,MEM,startperiod,D. Brooks,1628415.0,Brooks,D. Brooks,Adams,203500.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-12-24T03:20:49.8Z,1,REGULAR,3pt,Jump Shot,[],1630217,84.70762155059133,96.32352941176471,1610612763,0,0,2022-12-24T03:20:56Z,70000,False,232.0,91.0,1,right,MISS D. Bane 24' 3PT,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Right,24.89,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2022-12-24T03:20:52.8Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,0,0,2022-12-24T03:20:56Z,80000,False,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M24.00S,2022-12-24T03:21:10.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629028,6.389618922470433,51.71568627450981,1610612756,0,0,2022-12-24T03:21:14Z,90000,False,-9.0,8.0,1,left,MISS D. Ayton DUNK - blocked,"[1629028, 1628991]",1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,1.15,Missed,,,,,Jackson Jr.,1628991.0,,,,,,,,,,,,
10,PT11M24.00S,2022-12-24T03:21:10.0Z,1,REGULAR,block,,[],1628991,,,1610612756,0,0,2022-12-24T03:21:12Z,100000,False,,,0,,J. Jackson Jr. BLOCK (1 BLK),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M22.00S,2022-12-24T03:21:12.0Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,0,0,2022-12-24T03:21:14Z,110000,False,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M18.00S,2022-12-24T03:21:16.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628991,69.07030223390277,23.03921568627451,1610612763,0,0,2022-12-24T03:22:17Z,120000,False,-135.0,238.0,1,right,MISS J. Jackson Jr. 27' running 3PT,[1628991],1610612763.0,MEM,running,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Left Center,27.37,Missed,,,,,,,,,,,,,,,,,,
13,PT11M15.00S,2022-12-24T03:21:19.1Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,0,0,2022-12-24T03:21:22Z,130000,False,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,Above the Break 3,24+ Left Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M09.00S,2022-12-24T03:21:25.1Z,1,REGULAR,3pt,Jump Shot,[],1628969,8.229303547963205,3.9215686274509802,1610612756,0,0,2022-12-24T03:21:30Z,140000,False,230.0,25.0,1,left,MISS M. Bridges 3PT,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,Right Corner 3,24+ Right,23.17,Missed,,,,,,,,,,,,,,,,,,
15,PT11M06.00S,2022-12-24T03:21:28.1Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,0,0,2022-12-24T03:21:30Z,150000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Right Corner 3,24+ Right,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT11M00.00S,2022-12-24T03:21:34.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,92.9862023653088,51.470588235294116,1610612763,0,2,2022-12-24T03:21:42Z,160000,False,7.0,13.0,1,right,J. Morant driving Layup (2 PTS),[1629630],1610612763.0,MEM,driving,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,1.53,Made,,,,,,,2.0,,,,,,,,,,,
17,PT10M46.00S,2022-12-24T03:21:48.2Z,1,REGULAR,3pt,Jump Shot,[],1628470,30.042706964520367,25.49019607843137,1610612756,0,2,2022-12-24T03:21:53Z,170000,False,123.0,230.0,1,left,MISS T. Craig 26' 3PT,[1628470],1610612756.0,PHX,,,,Craig,T. Craig,,,,,Above the Break 3,24+ Right Center,26.05,Missed,,,,,,,,,,,,,,,,,,
18,PT10M42.00S,2022-12-24T03:21:52.2Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,0,2,2022-12-24T03:21:53Z,180000,False,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Right Center,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
