actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2022-11-02T02:07:36.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-02T02:07:36Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-11-02T02:07:39.4Z,1,REGULAR,jumpball,recovered,[],1626156,,,1610612750,0,0,2022-11-02T02:07:39Z,40000,,,0,,Jump Ball R. Gobert vs. B. Biyombo: Tip to D. Russell,"[1626156, 203497, 202687]",1610612750.0,MIN,startperiod,D. Russell,1626156.0,Russell,D. Russell,Gobert,203497.0,Biyombo,202687.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-11-02T02:07:55.2Z,1,REGULAR,3pt,Jump Shot,[],1626156,4.5499342969776615,3.6764705882352944,1610612750,0,0,2022-11-02T02:08:00Z,70000,232.0,-10.0,1,left,MISS D. Russell 3PT,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,Right Corner 3,24+ Right,23.18,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-11-02T02:07:57.2Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,0,0,2022-11-02T02:08:00Z,80000,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Right Corner 3,24+ Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M32.00S,2022-11-02T02:08:03.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628969,77.7431011826544,9.313725490196079,1610612756,0,0,2022-11-02T02:08:08Z,90000,-203.0,157.0,1,right,MISS M. Bridges 25' running 3PT,[1628969],1610612756.0,PHX,running,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,25.68,Missed,,,,,,,,,,,,,,,,,,
10,PT11M31.00S,2022-11-02T02:08:04.6Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,0,0,2022-11-02T02:08:08Z,100000,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M25.00S,2022-11-02T02:08:13.4Z,1,REGULAR,foul,personal,['2freethrow'],1628969,,,1610612750,0,0,2022-11-02T02:08:48Z,110000,,,0,,M. Bridges personal FOUL (1 PF) (Edwards 2 FT),"[1628969, 1630162]",1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Right,,,,,,,2882.0,1.0,0.0,Edwards,1630162.0,,,,,,,,,
13,PT11M25.00S,2022-11-02T02:08:37.6Z,1,REGULAR,freethrow,1 of 2,[],1630162,,,1610612750,0,0,2022-11-02T02:08:37Z,130000,,,0,,MISS A. Edwards Free Throw 1 of 2,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
14,PT11M25.00S,2022-11-02T02:08:37.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612750,0,0,2022-11-02T02:08:37Z,140000,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,
15,PT11M25.00S,2022-11-02T02:08:52.3Z,1,REGULAR,freethrow,2 of 2,[],1630162,,,1610612750,0,1,2022-11-02T02:08:52Z,150000,,,0,,A. Edwards Free Throw 2 of 2 (1 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
