actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-20T20:40:29.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-20T20:40:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-11-20T20:40:31.7Z,1,REGULAR,jumpball,recovered,[],1626166,,,1610612756,0,0,2022-11-20T20:40:31Z,40000,False,,,0,,Jump Ball D. Ayton vs. I. Hartenstein: Tip to C. Payne,"[1626166, 1629028, 1628392]",1610612756.0,PHX,startperiod,C. Payne,1626166.0,Payne,C. Payne,Ayton,1629028.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-11-20T20:40:41.7Z,1,REGULAR,turnover,bad pass,[],1626166,,,1610612756,0,0,2022-11-20T20:40:45Z,70000,False,,,0,,C. Payne bad pass TURNOVER (1 TO),"[1626166, 1628392]",1610612756.0,PHX,,,,Payne,C. Payne,,,,,Mid-Range,8-16 Left,1.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2022-11-20T20:40:41.7Z,1,REGULAR,steal,,[],1628392,,,1610612752,0,0,2022-11-20T20:40:44Z,80000,False,,,0,,I. Hartenstein STEAL (1 STL),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
9,PT11M42.00S,2022-11-20T20:40:47.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203944,6.389618922470433,51.9607843137255,1610612752,0,2,2022-11-20T20:40:50Z,90000,False,-10.0,8.0,1,left,J. Randle running Layup (2 PTS) (Q. Grimes 1 AST),"[203944, 1629656]",1610612752.0,NYK,running,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,,,,1.24,Made,2.0,Q. Grimes,1629656.0,1.0,,,,,,,,,,,
11,PT11M29.00S,2022-11-20T20:40:58.8Z,1,REGULAR,turnover,lost ball,[],1628969,,,1610612756,0,2,2022-11-20T20:41:02Z,110000,False,,,0,,M. Bridges lost ball TURNOVER (1 TO),"[1628969, 203944]",1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Right,1.0,Randle,203944.0,,,,,,,,,,,,,,,,,
12,PT11M29.00S,2022-11-20T20:40:58.8Z,1,REGULAR,steal,,[],203944,,,1610612752,0,2,2022-11-20T20:41:00Z,120000,False,,,0,,J. Randle STEAL (1 STL),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
13,PT11M21.00S,2022-11-20T20:41:07.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203944,17.821944809461236,50.49019607843137,1610612752,0,2,2022-11-20T20:42:28Z,130000,False,-2.0,115.0,1,left,MISS J. Randle 11' pullup Shot,[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Center,,,,11.5,Missed,,,,,,,,,,,,,,,
14,PT11M18.00S,2022-11-20T20:41:10.1Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,0,2,2022-11-20T20:41:11Z,140000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,
15,PT11M15.00S,2022-11-20T20:41:14.7Z,1,REGULAR,foul,personal,['2freethrow'],1628973,,,1610612756,0,2,2022-11-20T20:41:26Z,150000,False,,,0,,J. Brunson shooting personal FOUL (1 PF) (Payne 2 FT),"[1628973, 1626166]",1610612752.0,NYK,shooting,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1627524.0,1.0,0.0,Payne,1626166.0,,
