actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-11-23T03:04:45.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-23T03:04:45Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-11-23T03:04:48.3Z,1,REGULAR,jumpball,recovered,[],1626166,,,1610612756,0,0,2022-11-23T03:04:48Z,40000,False,,,0,,Jump Ball D. Ayton vs. A. Davis: Tip to C. Payne,"[1626166, 1629028, 203076]",1610612756.0,PHX,startperiod,C. Payne,1626166.0,Payne,C. Payne,Ayton,1629028.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-11-23T03:04:57.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626166,5.338370565045992,52.94117647058824,1610612756,0,0,2022-11-23T03:05:07Z,70000,False,-15.0,-2.0,1,left,MISS C. Payne driving Layup,[1626166],1610612756.0,PHX,driving,,,Payne,C. Payne,,,,,Restricted Area,0-8 Center,1.49,Missed,,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2022-11-23T03:04:57.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612747,0,0,2022-11-23T04:10:39Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,Restricted Area,0-8 Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2022-11-23T03:05:27.6Z,1,REGULAR,3pt,Jump Shot,[],1629022,69.07030223390277,68.38235294117648,1610612747,0,0,2022-11-23T04:10:45Z,100000,False,92.0,238.0,1,right,MISS L. Walker IV 25' 3PT,[1629022],1610612747.0,LAL,,,,Walker IV,L. Walker IV,,,,,Above the Break 3,24+ Right Center,25.53,Missed,,,,,,,,,,,,,,,,,,
11,PT11M21.00S,2022-11-23T03:05:29.6Z,1,REGULAR,rebound,defensive,[],1628470,,,1610612756,0,0,2022-11-23T03:05:32Z,110000,False,,,0,,T. Craig REBOUND (Off:0 Def:1),[1628470],1610612756.0,PHX,,,,Craig,T. Craig,,,,,Above the Break 3,24+ Right Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M14.00S,2022-11-23T03:05:37.6Z,1,REGULAR,2pt,Jump Shot,[],1626164,23.340998685939553,36.76470588235294,1610612756,0,0,2022-11-23T03:05:44Z,120000,False,66.0,167.0,1,left,MISS D. Booker 17' pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Mid-Range,16-24 Right Center,17.95,Missed,,,,,,,,,,,,,,,,,,
13,PT11M11.00S,2022-11-23T03:05:40.6Z,1,REGULAR,rebound,defensive,[],1628972,,,1610612747,0,0,2022-11-23T03:05:44Z,130000,False,,,0,,T. Brown Jr. REBOUND (Off:0 Def:1),[1628972],1610612747.0,LAL,,,,Brown Jr.,T. Brown Jr.,,,,,Mid-Range,16-24 Right Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M05.00S,2022-11-23T03:05:47.5Z,1,REGULAR,turnover,out-of-bounds,[],203076,,,1610612747,0,0,2022-11-23T03:05:52Z,140000,False,,,0,,A. Davis bad pass out-of-bounds TURNOVER (1 TO),[203076],1610612747.0,LAL,bad pass,,,Davis,A. Davis,,,,,Above the Break 3,24+ Right Center,,,,,,,1179.0,1.0,,,,,,,,,,,,
15,PT10M55.00S,2022-11-23T03:06:04.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1626164,16.507884362680684,29.166666666666668,1610612756,0,0,2022-11-23T03:06:09Z,150000,False,104.0,103.0,1,left,MISS D. Booker 14' pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Mid-Range,8-16 Right,14.63,Missed,,,,,,,,,,,,,,,,,,
16,PT10M52.00S,2022-11-23T03:06:07.3Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,0,0,2022-11-23T03:06:09Z,160000,False,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Mid-Range,8-16 Right,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M46.00S,2022-11-23T03:06:13.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1629022,93.11760840998686,50.0,1610612747,0,2,2022-11-23T03:06:25Z,170000,False,0.0,12.0,1,right,L. Walker IV running DUNK (2 PTS) (A. Davis 1 AST),"[1629022, 203076]",1610612747.0,LAL,running,,,Walker IV,L. Walker IV,,,,,Restricted Area,0-8 Center,1.22,Made,,,,,,,2.0,A. Davis,203076.0,1.0,,,,,,,,
19,PT10M31.00S,2022-11-23T03:06:28.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629028,5.732588699080158,48.28431372549019,1610612756,2,2,2022-11-23T03:06:33Z,190000,False,9.0,1.0,1,left,D. Ayton cutting DUNK (2 PTS) (D. Booker 1 AST),"[1629028, 1626164]",1610612756.0,PHX,cutting,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,0.87,Made,,,,,,,2.0,D. Booker,1626164.0,1.0,,,,,,,,
