actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-12-01T02:10:10.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-01T02:10:10Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-12-01T02:10:12.3Z,1,REGULAR,jumpball,recovered,[],1626166,,,1610612756,0,0,2022-12-01T02:10:12Z,40000,False,,,0,,Jump Ball D. Ayton vs. N. Vucevic: Tip to C. Payne,"[1626166, 1629028, 202696]",1610612756.0,PHX,startperiod,C. Payne,1626166.0,Payne,C. Payne,Ayton,1629028.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-12-01T02:10:22.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626166,7.5722733245729295,61.76470588235294,1610612756,0,0,2022-12-01T02:10:52Z,70000,False,-59.0,19.0,1,left,MISS C. Payne 6' driving floating bank Shot,[1626166],1610612756.0,PHX,driving floating bank,,,Payne,C. Payne,,,,,In The Paint (Non-RA),0-8 Center,6.17,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2022-12-01T02:10:25.4Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,0,0,2022-12-01T02:10:27Z,80000,False,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M28.00S,2022-12-01T02:10:44.0Z,1,REGULAR,turnover,traveling,[],201942,,,1610612741,0,0,2022-12-01T02:10:50Z,90000,False,,,0,,D. DeRozan traveling TURNOVER (1 TO),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Right Center,,,,,,,203591.0,1.0,,,,,,,,,,,,
10,PT11M12.00S,2022-12-01T02:11:11.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1629028,8.492115637319317,45.34313725490196,1610612756,2,0,2022-12-01T02:11:18Z,100000,False,23.0,27.0,1,left,D. Ayton turnaround Hook (2 PTS) (C. Payne 1 AST),"[1629028, 1626166]",1610612756.0,PHX,turnaround,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,3.59,Made,,,,,,,2.0,C. Payne,1626166.0,1.0,,,,,,,,
12,PT10M59.00S,2022-12-01T02:11:25.7Z,1,REGULAR,turnover,bad pass,[],1630245,,,1610612741,2,0,2022-12-01T02:11:29Z,120000,False,,,0,,A. Dosunmu bad pass TURNOVER (1 TO),"[1630245, 1626166]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,1.0,,,,,Payne,1626166.0,,,,,,
13,PT10M59.00S,2022-12-01T02:11:25.7Z,1,REGULAR,steal,,[],1626166,,,1610612756,2,0,2022-12-01T02:11:27Z,130000,False,,,0,,C. Payne STEAL (1 STL),[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
14,PT10M53.00S,2022-12-01T02:11:30.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628969,6.783837056504599,51.225490196078425,1610612756,2,0,2022-12-01T02:12:15Z,140000,False,-6.0,11.0,1,left,MISS M. Bridges running reverse Layup,[1628969],1610612756.0,PHX,running reverse,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,1.28,Missed,,,,,,,,,,,,,,,,,,
15,PT10M51.00S,2022-12-01T02:11:32.7Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612756,2,0,2022-12-01T02:11:32Z,150000,False,,,0,,D. Ayton REBOUND (Off:1 Def:0),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,14.0,1.0,0.0,1.0,,,,,,,,,,,,,,
