actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-01-25T02:10:34.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-25T02:10:34Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-01-25T02:10:37.1Z,1,REGULAR,jumpball,recovered,[],1631121,,,1610612766,0,0,2023-01-25T02:10:37Z,40000,False,,,0,,Jump Ball M. Plumlee vs. B. Biyombo: Tip to B. McGowens,"[1631121, 203486, 202687]",1610612766.0,CHA,startperiod,B. McGowens,1631121.0,McGowens,B. McGowens,Plumlee,203486.0,Biyombo,202687.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-01-25T02:10:52.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203486,92.32917214191852,49.50980392156863,1610612766,0,0,2023-01-25T02:10:58Z,70000,False,-2.0,20.0,1,right,MISS M. Plumlee DUNK - blocked,"[203486, 202687]",1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,1.98,Missed,Biyombo,202687.0,,,,,,,,,,,,,,,,
8,PT11M40.00S,2023-01-25T02:10:52.8Z,1,REGULAR,block,,[],202687,,,1610612766,0,0,2023-01-25T02:10:55Z,80000,False,,,0,,B. Biyombo BLOCK (1 BLK),[202687],1610612756.0,PHX,,,,Biyombo,B. Biyombo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2023-01-25T02:10:55.8Z,1,REGULAR,rebound,defensive,[],202687,,,1610612756,0,0,2023-01-25T02:10:58Z,90000,False,,,0,,B. Biyombo REBOUND (Off:0 Def:1),[202687],1610612756.0,PHX,,,,Biyombo,B. Biyombo,,,,,Restricted Area,0-8 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M32.00S,2023-01-25T02:11:00.9Z,1,REGULAR,3pt,Jump Shot,[],1628470,26.62614980289093,80.88235294117648,1610612756,0,0,2023-01-25T02:11:08Z,100000,False,-154.0,198.0,1,left,MISS T. Craig 25' 3PT,[1628470],1610612756.0,PHX,,,,Craig,T. Craig,,,,,Above the Break 3,24+ Left Center,25.09,Missed,,,,,,,,,,,,,,,,,,
11,PT11M30.00S,2023-01-25T02:11:03.8Z,1,REGULAR,rebound,offensive,[],1629661,,,1610612756,0,0,2023-01-25T02:11:03Z,110000,False,,,0,,C. Johnson REBOUND (Off:1 Def:0),[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Left Center,,,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,
12,PT11M25.00S,2023-01-25T02:11:08.9Z,1,REGULAR,turnover,bad pass,[],1628969,,,1610612756,0,0,2023-01-25T02:11:13Z,120000,False,,,0,,M. Bridges bad pass TURNOVER (1 TO),"[1628969, 1629023]",1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1.0,Washington,1629023.0,,,,,,,,,
13,PT11M25.00S,2023-01-25T02:11:08.9Z,1,REGULAR,steal,,[],1629023,,,1610612766,0,0,2023-01-25T02:13:41Z,130000,False,,,0,,P. Washington STEAL (1 STL),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT11M20.00S,2023-01-25T02:11:13.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626179,78.40013140604468,9.558823529411764,1610612766,0,0,2023-01-25T02:11:24Z,140000,False,-202.0,151.0,1,right,MISS T. Rozier 25' 3PT,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Left Center,25.21,Missed,,,,,,,,,,,,,,,,,,
