actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-03-26T02:10:20.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-26T02:10:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2023-03-26T02:10:25.5Z,1,REGULAR,jumpball,recovered,[],1629006,,,1610612756,0,0,2023-03-26T02:10:25Z,40000,False,,,0,,Jump Ball B. Biyombo vs. J. Embiid: Tip to J. Okogie,"[1629006, 202687, 203954]",1610612756.0,PHX,startperiod,J. Okogie,1629006.0,Okogie,J. Okogie,Biyombo,202687.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M33.00S,2023-03-26T02:10:46.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629006,92.59198423127464,61.274509803921575,1610612756,0,0,2023-03-26T02:10:52Z,70000,False,56.0,17.0,1,right,MISS J. Okogie driving Layup - blocked,"[1629006, 200782]",1610612756.0,PHX,driving,,,Okogie,J. Okogie,,,,,In The Paint (Non-RA),0-8 Center,5.89,Missed,Tucker,200782.0,,,,,,,,,,,,,,,,
8,PT11M33.00S,2023-03-26T02:10:46.8Z,1,REGULAR,block,,[],200782,,,1610612756,0,0,2023-03-26T02:10:49Z,80000,False,,,0,,P. Tucker BLOCK (1 BLK),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M28.00S,2023-03-26T02:10:51.8Z,1,REGULAR,rebound,offensive,[],202687,,,1610612756,0,0,2023-03-26T02:10:52Z,90000,False,,,0,,B. Biyombo REBOUND (Off:1 Def:0),[202687],1610612756.0,PHX,,,,Biyombo,B. Biyombo,,,,,In The Paint (Non-RA),0-8 Center,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,
10,PT11M28.00S,2023-03-26T02:10:51.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202687,89.30683311432325,51.225490196078425,1610612756,0,0,2023-03-26T02:10:55Z,100000,False,6.0,48.0,1,right,MISS B. Biyombo putback Layup,[202687],1610612756.0,PHX,putback,,,Biyombo,B. Biyombo,,,,,In The Paint (Non-RA),0-8 Center,4.84,Missed,,,,,,,,,,,,,,,,,,
11,PT11M28.00S,2023-03-26T02:10:51.3Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,0,0,2023-03-26T02:10:55Z,110000,False,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,
12,PT11M17.00S,2023-03-26T02:11:04.1Z,1,REGULAR,turnover,out-of-bounds,[],1630178,,,1610612755,0,0,2023-03-26T02:11:14Z,120000,False,,,0,,T. Maxey bad pass out-of-bounds TURNOVER (1 TO),[1630178],1610612755.0,PHI,bad pass,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,,,,,,,,,202049.0,1.0,,,,,,,,,,
13,PT11M04.00S,2023-03-26T02:11:24.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1626164,74.58935611038108,53.18627450980392,1610612756,2,0,2023-03-26T02:11:29Z,130000,False,16.0,186.0,1,right,D. Booker 18' pullup Jump Shot (2 PTS) (B. Biyombo 1 AST),"[1626164, 202687]",1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Mid-Range,16-24 Center,18.71,Made,,,,,,,,,2.0,B. Biyombo,202687.0,1.0,,,,,,
15,PT10M39.00S,2023-03-26T02:11:48.7Z,1,REGULAR,2pt,Jump Shot,[],202699,9.411957950065702,67.40196078431373,1610612755,2,0,2023-03-26T02:12:00Z,150000,False,-87.0,36.0,1,left,MISS T. Harris 9' pullup Shot,[202699],1610612755.0,PHI,pullup,,,Harris,T. Harris,,,,,Mid-Range,8-16 Left,9.42,Missed,,,,,,,,,,,,,,,,,,
