actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-04-05T02:10:37.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-05T02:10:37Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-04-05T02:10:40.0Z,1,REGULAR,jumpball,recovered,[],1626164,,,1610612756,0,0,2023-04-05T02:10:40Z,40000,False,,,0,,Jump Ball D. Ayton vs. S. Mamukelashvili: Tip to D. Booker,"[1626164, 1629028, 1630572]",1610612756.0,PHX,startperiod,D. Booker,1626164.0,Booker,D. Booker,Ayton,1629028.0,Mamukelashvili,1630572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-04-05T02:10:58.5Z,1,REGULAR,foul,personal,['2freethrow'],1628984,,,1610612756,0,0,2023-04-05T02:11:05Z,70000,False,,,0,,D. Graham shooting personal FOUL (1 PF) (Ayton 2 FT),"[1628984, 1629028]",1610612759.0,SAS,shooting,,,Graham,D. Graham,,,,,Restricted Area,0-8 Center,1626302.0,1.0,0.0,Ayton,1629028.0,,,,,,,,,,,,,,,
9,PT11M40.00S,2023-04-05T02:11:19.8Z,1,REGULAR,freethrow,1 of 2,[],1629028,,,1610612756,1,0,2023-04-05T02:11:19Z,90000,False,,,0,,D. Ayton Free Throw 1 of 2 (1 PTS),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M40.00S,2023-04-05T02:11:34.4Z,1,REGULAR,freethrow,2 of 2,[],1629028,,,1610612756,2,0,2023-04-05T02:11:34Z,100000,False,,,0,,D. Ayton Free Throw 2 of 2 (2 PTS),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M23.00S,2023-04-05T02:11:53.0Z,1,REGULAR,2pt,Jump Shot,[],1631103,21.23850197109067,66.42156862745098,1610612759,2,2,2023-04-05T02:11:59Z,110000,False,-82.0,147.0,1,left,M. Branham 16' pullup Jump Shot (2 PTS) (S. Mamukelashvili 1 AST),"[1631103, 1630572]",1610612759.0,SAS,pullup,,,Branham,M. Branham,,,,,Mid-Range,16-24 Left Center,,,,,,Made,2.0,16.85,S. Mamukelashvili,1630572.0,1.0,,,,,,,,,
13,PT11M02.00S,2023-04-05T02:12:12.9Z,1,REGULAR,3pt,Jump Shot,[],201142,75.3777923784494,14.460784313725492,1610612756,5,2,2023-04-05T02:12:17Z,130000,False,-178.0,179.0,1,right,K. Durant 25' 3PT  (3 PTS) (D. Booker 1 AST),"[201142, 1626164]",1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,25.22,D. Booker,1626164.0,1.0,,,,,,,,,
15,PT10M46.00S,2023-04-05T02:12:28.9Z,1,REGULAR,3pt,Jump Shot,[],1631103,20.71287779237845,91.42156862745098,1610612759,5,2,2023-04-05T02:12:35Z,150000,False,-207.0,142.0,1,left,MISS M. Branham 25' 3PT,[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,25.12,,,,,,,,,,,,
16,PT10M43.00S,2023-04-05T02:12:31.9Z,1,REGULAR,rebound,offensive,[],1630572,,,1610612759,5,2,2023-04-05T02:12:35Z,160000,False,,,0,,S. Mamukelashvili REBOUND (Off:1 Def:0),[1630572],1610612759.0,SAS,,,,Mamukelashvili,S. Mamukelashvili,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,15.0,1.0,0.0,1.0,,,,,
17,PT10M43.00S,2023-04-05T02:12:33.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630572,7.5722733245729295,48.03921568627451,1610612759,5,4,2023-04-05T02:12:38Z,170000,False,10.0,19.0,1,left,S. Mamukelashvili putback Layup (2 PTS),[1630572],1610612759.0,SAS,putback,,,Mamukelashvili,S. Mamukelashvili,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,2.11,,,,,,,,,,,,
