actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-09T01:10:36.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-09T01:10:36Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-01-09T01:10:39.3Z,1,REGULAR,jumpball,recovered,[],203967,,,1610612756,0,0,2023-01-09T01:10:39Z,40000,False,,,0,,Jump Ball D. Ayton vs. J. Allen: Tip to D. Saric,"[203967, 1629028, 1628386]",1610612756.0,PHX,startperiod,D. Saric,203967.0,Saric,D. Saric,Ayton,1629028.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-01-09T01:10:55.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629028,86.02168199737189,48.03921568627451,1610612756,2,0,2023-01-09T01:11:02Z,70000,False,-10.0,79.0,1,right,D. Ayton 7' turnaround Hook (2 PTS),[1629028],1610612756.0,PHX,turnaround,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,7.95,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M19.00S,2023-01-09T01:11:16.9Z,1,REGULAR,turnover,lost ball,[],1630596,,,1610612739,2,0,2023-01-09T01:15:03Z,90000,False,,,0,,E. Mobley lost ball TURNOVER (1 TO),"[1630596, 1628969]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Mid-Range,16-24 Left Center,,,,1.0,Bridges,1628969.0,,,,,,,,,,,,,,
10,PT11M19.00S,2023-01-09T01:11:16.9Z,1,REGULAR,steal,,[],1628969,,,1610612756,2,0,2023-01-09T01:11:18Z,100000,False,,,0,,M. Bridges STEAL (1 STL),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
11,PT11M14.00S,2023-01-09T01:11:21.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628969,92.46057818659659,49.754901960784316,1610612756,4,0,2023-01-09T01:11:27Z,110000,False,-1.0,18.0,1,right,M. Bridges running Layup (2 PTS),[1628969],1610612756.0,PHX,running,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,1.84,Made,2.0,,,,,,,,,,,,,,,,,
12,PT11M03.00S,2023-01-09T01:11:31.7Z,1,REGULAR,3pt,Jump Shot,[],1628378,26.10052562417871,79.41176470588235,1610612739,4,0,2023-01-09T01:11:37Z,120000,False,-147.0,193.0,1,left,MISS D. Mitchell 24' pullup 3PT,[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,24.25,Missed,,,,,,,,,,,,,,,,,,
13,PT11M00.00S,2023-01-09T01:11:34.7Z,1,REGULAR,rebound,defensive,[],1629013,,,1610612756,4,0,2023-01-09T01:11:37Z,130000,False,,,0,,L. Shamet REBOUND (Off:0 Def:1),[1629013],1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,Above the Break 3,24+ Left Center,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT10M45.00S,2023-01-09T01:11:50.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628470,92.85479632063075,52.450980392156865,1610612756,6,0,2023-01-09T01:12:03Z,140000,False,12.0,15.0,1,right,T. Craig Layup (2 PTS) (D. Ayton 1 AST),"[1628470, 1629028]",1610612756.0,PHX,,,,Craig,T. Craig,,,,,Restricted Area,0-8 Center,1.92,Made,2.0,,,,,,,,D. Ayton,1629028.0,1.0,,,,,,,
16,PT10M23.00S,2023-01-09T01:12:12.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629636,12.302890932982917,57.59803921568627,1610612739,6,2,2023-01-09T01:12:16Z,160000,False,-38.0,63.0,1,left,D. Garland 7' fadeaway Jump Shot (2 PTS),[1629636],1610612739.0,CLE,fadeaway,,,Garland,D. Garland,,,,,In The Paint (Non-RA),0-8 Center,7.37,Made,2.0,,,,,,,,,,,,,,,,,
17,PT10M08.00S,2023-01-09T01:12:27.0Z,1,REGULAR,3pt,Jump Shot,[],203967,91.27792378449409,2.941176470588235,1610612756,9,2,2023-01-09T01:12:31Z,170000,False,-235.0,29.0,1,right,D. Saric 3PT  (3 PTS) (M. Bridges 1 AST),"[203967, 1628969]",1610612756.0,PHX,,,,Saric,D. Saric,,,,,Left Corner 3,24+ Left,23.71,Made,3.0,,,,,,,,M. Bridges,1628969.0,1.0,,,,,,,
19,PT09M52.00S,2023-01-09T01:12:43.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,13.87976346911958,51.71568627450981,1610612739,9,4,2023-01-09T01:16:34Z,190000,False,-9.0,78.0,1,left,D. Garland 7' driving finger roll Layup (4 PTS),[1629636],1610612739.0,CLE,driving finger roll,,,Garland,D. Garland,,,,,In The Paint (Non-RA),0-8 Center,7.85,Made,4.0,,,,,,,,,,,,,,,,,
20,PT09M34.00S,2023-01-09T01:13:01.6Z,1,REGULAR,2pt,Jump Shot,[],1629028,86.81011826544021,26.225490196078432,1610612756,9,4,2023-01-09T01:17:10Z,200000,False,-119.0,71.0,1,right,MISS D. Ayton 13' turnaround fadeaway Shot,[1629028],1610612756.0,PHX,turnaround fadeaway,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Left,13.87,Missed,,,,,,,,,,,,,,,,,,
21,PT09M31.00S,2023-01-09T01:13:04.6Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612739,9,4,2023-01-09T01:13:06Z,210000,False,,,0,,I. Okoro REBOUND (Off:0 Def:1),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Mid-Range,8-16 Left,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,
22,PT09M22.00S,2023-01-09T01:13:14.0Z,1,REGULAR,2pt,Jump Shot,[],1628386,22.421156373193167,50.0,1610612739,9,6,2023-01-09T01:13:27Z,220000,False,0.0,158.0,1,left,J. Allen 15' Jump Shot (2 PTS) (E. Mobley 1 AST),"[1628386, 1630596]",1610612739.0,CLE,,,,Allen,J. Allen,,,,,Mid-Range,8-16 Center,15.83,Made,2.0,,,,,,,,E. Mobley,1630596.0,1.0,,,,,,,
