actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-27T02:10:21.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-27T02:10:21Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-27T02:10:23.6Z,1,REGULAR,jumpball,recovered,[],1626166,,,1610612756,0,0,2022-11-27T02:10:23Z,40000,False,,,0,,Jump Ball D. Ayton vs. K. Olynyk: Tip to C. Payne,"[1626166, 1629028, 203482]",1610612756.0,PHX,startperiod,C. Payne,1626166.0,Payne,C. Payne,Ayton,1629028.0,Olynyk,203482.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M33.00S,2022-11-27T02:10:47.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,12.434296977660972,36.27450980392157,1610612756,0,0,2022-11-27T02:11:11Z,70000,False,69.0,64.0,1,left,MISS D. Ayton 9' turnaround bank Shot,[1629028],1610612756.0,PHX,turnaround bank,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Right,9.41,Missed,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2022-11-27T02:10:50.7Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612762,0,0,2022-11-27T02:11:11Z,80000,False,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,In The Paint (Non-RA),8-16 Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M19.00S,2022-11-27T02:11:01.2Z,1,REGULAR,3pt,Jump Shot,[],203482,66.5735873850197,47.794117647058826,1610612762,0,3,2022-11-27T02:11:05Z,100000,False,-11.0,262.0,1,right,K. Olynyk 26' 3PT  (3 PTS) (C. Sexton 1 AST),"[203482, 1629012]",1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Above the Break 3,24+ Center,26.19,Made,,,,,3.0,C. Sexton,1629012.0,1.0,,,,,,,,,,
12,PT11M00.00S,2022-11-27T02:11:19.7Z,1,REGULAR,3pt,Jump Shot,[],1626166,32.013797634691194,33.82352941176471,1610612756,0,3,2022-11-27T02:11:23Z,120000,False,81.0,248.0,1,left,MISS C. Payne 26' 3PT,[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,Above the Break 3,24+ Center,26.12,Missed,,,,,,,,,,,,,,,,,,
13,PT10M59.00S,2022-11-27T02:11:20.7Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612762,0,3,2022-11-27T02:11:23Z,130000,False,,,0,,J. Vanderbilt REBOUND (Off:0 Def:2),[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Above the Break 3,24+ Center,,,12.0,2.0,2.0,0.0,,,,,,,,,,,,,,
14,PT10M51.00S,2022-11-27T02:11:29.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629012,91.5407358738502,54.166666666666664,1610612762,0,5,2022-11-27T02:11:32Z,140000,False,21.0,27.0,1,right,C. Sexton driving reverse Layup (2 PTS),[1629012],1610612762.0,UTA,driving reverse,,,Sexton,C. Sexton,,,,,Restricted Area,0-8 Center,3.41,Made,,,,,2.0,,,,,,,,,,,,,
15,PT10M36.00S,2022-11-27T02:11:44.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,13.485545335085414,59.068627450980394,1610612756,2,5,2022-11-27T02:11:47Z,150000,False,-45.0,74.0,1,left,D. Ayton 8' turnaround Jump Shot (2 PTS) (T. Craig 1 AST),"[1629028, 1628470]",1610612756.0,PHX,turnaround,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Center,8.7,Made,,,,,2.0,T. Craig,1628470.0,1.0,,,,,,,,,,
17,PT10M21.00S,2022-11-27T02:11:59.5Z,1,REGULAR,3pt,Jump Shot,[],1628374,69.33311432325887,79.16666666666666,1610612762,2,5,2022-11-27T02:12:04Z,170000,False,146.0,236.0,1,right,MISS L. Markkanen 27' 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Right Center,27.72,Missed,,,,,,,,,,,,,,,,,,
