actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-02-15T02:10:29.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-15T02:10:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-02-15T02:10:33.0Z,1,REGULAR,jumpball,recovered,[],1626164,,,1610612756,0,0,2023-02-15T02:10:33Z,40000,False,,,0,,Jump Ball D. Ayton vs. D. Sabonis: Tip to D. Booker,"[1626164, 1629028, 1627734]",1610612756.0,PHX,startperiod,D. Booker,1626164.0,Booker,D. Booker,Ayton,1629028.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2023-02-15T02:10:41.7Z,1,REGULAR,2pt,Jump Shot,[],1629028,79.31997371879106,50.245098039215684,1610612756,2,0,2023-02-15T02:10:47Z,70000,False,1.0,142.0,1,right,D. Ayton 14' Jump Shot (2 PTS) (C. Paul 1 AST),"[1629028, 101108]",1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Center,14.19,Made,2.0,C. Paul,101108.0,1.0,,,,,,,,,,,,,,
9,PT11M27.00S,2023-02-15T02:11:02.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,6.915243101182654,50.0,1610612758,2,2,2023-02-15T02:11:06Z,90000,False,0.0,13.0,1,left,D. Sabonis cutting Layup (2 PTS) (K. Murray 1 AST),"[1627734, 1631099]",1610612758.0,SAC,cutting,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,1.25,Made,2.0,K. Murray,1631099.0,1.0,,,,,,,,,,,,,,
11,PT11M02.00S,2023-02-15T02:11:26.6Z,1,REGULAR,3pt,Jump Shot,[],101108,62.36859395532195,47.794117647058826,1610612756,2,2,2023-02-15T02:11:32Z,110000,False,-11.0,301.0,1,right,MISS C. Paul 30' 3PT,[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,Above the Break 3,24+ Center,30.14,Missed,,,,,,,,,,,,,,,,,,
12,PT10M59.00S,2023-02-15T02:11:29.6Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,2,2,2023-02-15T02:11:32Z,120000,False,,,0,,K. Murray REBOUND (Off:0 Def:1),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT10M54.00S,2023-02-15T02:11:36.5Z,1,REGULAR,turnover,out-of-bounds,[],1627734,,,1610612758,2,2,2023-02-15T02:11:51Z,130000,False,,,0,,D. Sabonis lost ball out-of-bounds TURNOVER (1 TO),[1627734],1610612758.0,SAC,lost ball,,,Sabonis,D. Sabonis,,,,,Mid-Range,16-24 Right,,,,,,,,,,,1626301.0,1.0,,,,,,,,
14,PT10M44.00S,2023-02-15T02:11:53.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1626164,82.52299605781866,36.29748774509804,1610612756,4,2,2023-02-15T02:12:20Z,140000,False,-69.0,112.0,1,right,D. Booker 13' fadeaway Jump Shot (2 PTS) (C. Paul 2 AST),"[1626164, 101108]",1610612756.0,PHX,fadeaway,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Left,13.11,Made,2.0,C. Paul,101108.0,2.0,,,,,,,,,,,,,,
16,PT10M33.00S,2023-02-15T02:12:06.8Z,1,REGULAR,foul,personal,['2freethrow'],1628470,,,1610612758,4,2,2023-02-15T02:12:14Z,160000,False,,,0,,T. Craig shooting personal FOUL (1 PF) (Fox 2 FT),"[1628470, 1628368]",1610612756.0,PHX,shooting,,,Craig,T. Craig,,,,,Restricted Area,0-8 Center,,,,,,,,,,,200832.0,,1.0,0.0,Fox,1628368.0,,,,
18,PT10M33.00S,2023-02-15T02:12:32.4Z,1,REGULAR,freethrow,1 of 2,[],1628368,,,1610612758,4,3,2023-02-15T02:12:32Z,180000,False,,,0,,D. Fox Free Throw 1 of 2 (1 PTS),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
