actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-26T02:10:49.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-26T02:10:49Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-11-26T02:10:51.9Z,1,REGULAR,jumpball,recovered,[],1626166,,,1610612756,0,0,2022-11-26T02:10:52Z,40000,False,,,0,,Jump Ball D. Ayton vs. M. Bagley III: Tip to C. Payne,"[1626166, 1629028, 1628963]",1610612756.0,PHX,startperiod,C. Payne,1626166.0,Payne,C. Payne,Ayton,1629028.0,Bagley III,1628963.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-11-26T02:11:03.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626166,81.42247043363994,65.19607843137256,1610612756,2,0,2022-11-26T02:11:06Z,70000,False,76.0,122.0,1,right,C. Payne 14' pullup Jump Shot (2 PTS) (D. Ayton 1 AST),"[1626166, 1629028]",1610612756.0,PHX,pullup,,,Payne,C. Payne,,,,,In The Paint (Non-RA),8-16 Right,14.38,Made,2.0,D. Ayton,1629028.0,1.0,,,,,,,,,,,,,,
9,PT11M28.00S,2022-11-26T02:11:20.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630165,19.136005256241788,65.19607843137256,1610612765,2,2,2022-11-26T02:11:23Z,90000,False,-76.0,127.0,1,left,K. Hayes 14' pullup Jump Shot (2 PTS),[1630165],1610612765.0,DET,pullup,,,Hayes,K. Hayes,,,,,In The Paint (Non-RA),8-16 Left,14.83,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M14.00S,2022-11-26T02:11:34.5Z,1,REGULAR,turnover,bad pass,[],1626164,,,1610612756,2,2,2022-11-26T02:11:37Z,100000,False,,,0,,D. Booker bad pass TURNOVER (1 TO),"[1626164, 1630587]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,Mid-Range,16-24 Center,,,,,,,1.0,Livers,1630587.0,,,,,,,,,,,
11,PT11M14.00S,2022-11-26T02:11:34.5Z,1,REGULAR,steal,,[],1630587,,,1610612765,2,2,2022-11-26T02:11:36Z,110000,False,,,0,,I. Livers STEAL (1 STL),[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M03.00S,2022-11-26T02:11:45.5Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1628963,10.33180026281209,50.245098039215684,1610612765,2,2,2022-11-26T02:11:48Z,120000,False,-1.0,45.0,1,left,MISS M. Bagley III driving Hook,[1628963],1610612765.0,DET,driving,,,Bagley III,M. Bagley III,,,,,In The Paint (Non-RA),0-8 Center,4.46,Missed,,,,,,,,,,,,,,,,,,
13,PT11M01.00S,2022-11-26T02:11:47.3Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,2,2,2022-11-26T02:11:47Z,130000,False,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,
14,PT10M52.00S,2022-11-26T02:11:56.3Z,1,REGULAR,3pt,Jump Shot,[],1628969,75.64060446780552,10.294117647058822,1610612756,2,2,2022-11-26T02:12:00Z,140000,False,-199.0,176.0,1,right,MISS M. Bridges 26' 3PT,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,26.56,Missed,,,,,,,,,,,,,,,,,,
15,PT10M49.00S,2022-11-26T02:11:59.3Z,1,REGULAR,rebound,defensive,[],1630587,,,1610612765,2,2,2022-11-26T02:12:00Z,150000,False,,,0,,I. Livers REBOUND (Off:0 Def:1),[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,
