actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-12-03T02:10:41.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-03T02:10:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-12-03T02:10:43.7Z,1,REGULAR,jumpball,recovered,[],1629645,,,1610612745,0,0,2022-12-03T02:10:43Z,40000,False,,,0,,Jump Ball A. Sengun vs. D. Ayton: Tip to K. Porter Jr.,"[1629645, 1630578, 1629028]",1610612745.0,HOU,startperiod,K. Porter Jr.,1629645.0,Porter Jr.,K. Porter Jr.,Sengun,1630578.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2022-12-03T02:11:03.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201569,9.280551905387648,48.03921568627451,1610612745,0,2,2022-12-03T02:11:11Z,70000,False,10.0,35.0,1,left,E. Gordon Hook (2 PTS),[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,Restricted Area,0-8 Center,3.61,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M19.00S,2022-12-03T02:11:20.8Z,1,REGULAR,3pt,Jump Shot,[],1628969,65.91655716162943,46.32352941176471,1610612756,3,2,2022-12-03T02:11:28Z,90000,False,-18.0,268.0,1,right,M. Bridges 26' 3PT  (3 PTS) (C. Payne 1 AST),"[1628969, 1626166]",1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Center,26.85,Made,3.0,C. Payne,1626166.0,1.0,,,,,,,,,,,,,,
11,PT11M09.00S,2022-12-03T02:11:32.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,9.017739816031538,48.77450980392157,1610612745,3,2,2022-12-03T02:11:38Z,110000,False,6.0,32.0,1,left,MISS A. Sengun cutting Layup,[1630578],1610612745.0,HOU,cutting,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,3.29,Missed,,,,,,,,,,,,,,,,,,
12,PT11M06.00S,2022-12-03T02:11:35.3Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,3,2,2022-12-03T02:11:38Z,120000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M01.00S,2022-12-03T02:11:39.9Z,1,REGULAR,turnover,bad pass,[],1628969,,,1610612756,3,2,2022-12-03T02:11:43Z,130000,False,,,0,,M. Bridges bad pass TURNOVER (1 TO),"[1628969, 1630578]",1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,1.0,Sengun,1630578.0,,,,,,,
14,PT11M01.00S,2022-12-03T02:11:39.9Z,1,REGULAR,steal,,[],1630578,,,1610612745,3,2,2022-12-03T02:15:48Z,140000,False,,,0,,A. Sengun STEAL (1 STL),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
15,PT10M55.00S,2022-12-03T02:11:46.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630224,4.681340341655716,19.11764705882353,1610612745,3,2,2022-12-03T02:11:54Z,150000,False,154.0,-8.0,1,left,MISS J. Green 15' turnaround fadeaway Shot,[1630224],1610612745.0,HOU,turnaround fadeaway,,,Green,J. Green,,,,,Mid-Range,8-16 Right,15.46,Missed,,,,,,,,,,,,,,,,,,
16,PT10M52.00S,2022-12-03T02:11:49.0Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,3,2,2022-12-03T02:11:54Z,160000,False,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Right,,,,,,,15.0,2.0,2.0,0.0,,,,,,,,,,
