actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-04-07T02:02:42.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-07T02:02:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-04-07T02:02:45.1Z,1,REGULAR,jumpball,recovered,[],1631212,,,1610612743,0,0,2023-04-07T02:02:45Z,40000,False,,,0,,Jump Ball D. Jordan vs. D. Ayton: Tip to P. Watson,"[1631212, 201599, 1629028]",1610612743.0,DEN,startperiod,P. Watson,1631212.0,Watson,P. Watson,Jordan,201599.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2023-04-07T02:03:03.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631212,5.995400788436268,50.98039215686274,1610612743,0,0,2023-04-07T02:04:44Z,70000,False,-5.0,4.0,1,left,MISS P. Watson DUNK,[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,Restricted Area,0-8 Center,0.63,Missed,,,,,,,,,,,,,,,,,,
13,PT11M39.00S,2023-04-07T02:03:03.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,0,0,2023-04-07T02:05:58Z,85000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Restricted Area,0-8 Center,,,7.0,,,,,,,,,,,,,,,,,
22,PT11M39.00S,2023-04-07T02:03:08.3Z,1,REGULAR,turnover,offensive goaltending,[],1631212,,,1610612743,0,0,2023-04-07T02:05:36Z,92500,False,,,0,,P. Watson offensive goaltending TURNOVER (1 TO),[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,Restricted Area,0-8 Center,,,,202041.0,1.0,,,,,,,,,,,,,,,
11,PT11M20.00S,2023-04-07T02:03:32.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",101108,82.60512483574244,64.4607843137255,1610612756,0,0,2023-04-07T02:07:20Z,110000,False,72.0,111.0,1,right,MISS C. Paul 13' pullup Shot,[101108],1610612756.0,PHX,pullup,,,Paul,C. Paul,,,,,In The Paint (Non-RA),8-16 Right,13.25,Missed,,,,,,,,,,,,,,,,,,
12,PT11M18.00S,2023-04-07T02:03:34.1Z,1,REGULAR,rebound,defensive,[],201599,,,1610612743,0,0,2023-04-07T02:03:34Z,120000,False,,,0,,D. Jordan REBOUND (Off:0 Def:1),[201599],1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,In The Paint (Non-RA),8-16 Right,,,11.0,,,1.0,1.0,0.0,,,,,,,,,,,,
14,PT11M13.00S,2023-04-07T02:03:38.9Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],202704,17.16491458607096,28.186274509803923,1610612743,0,0,2023-04-07T02:07:48Z,130000,False,109.0,109.0,1,left,MISS R. Jackson 15' running pullup Shot,[202704],1610612743.0,DEN,running pullup,,,Jackson,R. Jackson,,,,,Mid-Range,8-16 Right,15.41,Missed,,,,,,,,,,,,,,,,,,
15,PT11M11.00S,2023-04-07T02:03:40.9Z,1,REGULAR,rebound,offensive,[],1631128,,,1610612743,0,0,2023-04-07T02:07:48Z,140000,False,,,0,,C. Braun REBOUND (Off:1 Def:0),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Mid-Range,8-16 Right,,,14.0,,,1.0,0.0,1.0,,,,,,,,,,,,
17,PT11M00.00S,2023-04-07T02:04:11.2Z,1,REGULAR,foul,personal,['2freethrow'],1629006,,,1610612743,0,0,2023-04-07T02:04:29Z,160000,False,,,0,,J. Okogie shooting personal FOUL (1 PF) (Jackson 2 FT),"[1629006, 202704]",1610612756.0,PHX,shooting,,,Okogie,J. Okogie,,,,,Mid-Range,8-16 Right,,,,203591.0,,,,,1.0,0.0,Jackson,202704.0,,,,,,,,
