actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-06T02:11:00.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-06T02:11:00Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-11-06T02:11:02.3Z,1,REGULAR,jumpball,recovered,[],1626159,,,1610612757,0,0,2022-11-06T02:11:02Z,40000,,,0,,Jump Ball J. Nurkic vs. D. Ayton: Tip to J. Winslow,"[1626159, 203994, 1629028]",1610612757.0,POR,startperiod,J. Winslow,1626159.0,Winslow,J. Winslow,Nurkic,203994.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-11-06T02:11:12.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626159,9.543363994743759,58.333333333333336,1610612757,0,0,2022-11-06T02:11:17Z,70000,-42.0,37.0,1,left,MISS J. Winslow driving Layup,[1626159],1610612757.0,POR,driving,,,Winslow,J. Winslow,,,,,In The Paint (Non-RA),0-8 Center,5.59,Missed,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2022-11-06T02:11:14.6Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,0,0,2022-11-06T02:11:17Z,80000,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M40.00S,2022-11-06T02:11:20.6Z,1,REGULAR,2pt,Jump Shot,[],101108,77.87450722733246,71.07843137254902,1610612756,2,0,2022-11-06T02:11:56Z,90000,105.0,155.0,1,right,C. Paul 18' Jump Shot (2 PTS),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,Mid-Range,16-24 Right Center,18.79,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M22.00S,2022-11-06T02:11:38.8Z,1,REGULAR,foul,personal,['2freethrow'],1629028,,,1610612757,2,0,2022-11-06T02:11:46Z,100000,,,0,,D. Ayton shooting personal FOUL (1 PF) (Grant 2 FT),"[1629028, 203924]",1610612756.0,PHX,shooting,,,Ayton,D. Ayton,,,,,Mid-Range,16-24 Center,,,,,,,,1627541.0,1.0,0.0,Grant,203924.0,,,,,,,,
12,PT11M22.00S,2022-11-06T02:12:09.3Z,1,REGULAR,freethrow,1 of 2,[],203924,,,1610612757,2,1,2022-11-06T02:12:09Z,120000,,,0,,J. Grant Free Throw 1 of 2 (1 PTS),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
13,PT11M22.00S,2022-11-06T02:12:22.3Z,1,REGULAR,freethrow,2 of 2,[],203924,,,1610612757,2,2,2022-11-06T02:12:22Z,130000,,,0,,J. Grant Free Throw 2 of 2 (2 PTS),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
14,PT11M06.00S,2022-11-06T02:12:42.1Z,1,REGULAR,turnover,bad pass,[],101108,,,1610612756,2,2,2022-11-06T02:12:45Z,140000,,,0,,C. Paul bad pass TURNOVER (1 TO),"[101108, 1628404]",1610612756.0,PHX,,,,Paul,C. Paul,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,1.0,Hart,1628404.0,,,,,
15,PT11M06.00S,2022-11-06T02:12:42.1Z,1,REGULAR,steal,,[],1628404,,,1610612757,2,2,2022-11-06T02:12:43Z,150000,,,0,,J. Hart STEAL (1 STL),[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
16,PT11M01.00S,2022-11-06T02:12:46.8Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'fromturnover']",1631101,8.229303547963205,18.872549019607842,1610612757,2,4,2022-11-06T02:13:22Z,160000,156.0,25.0,1,left,S. Sharpe 15' running pullup Jump Shot (2 PTS) (J. Grant 1 AST),"[1631101, 203924]",1610612757.0,POR,running pullup,,,Sharpe,S. Sharpe,,,,,Mid-Range,8-16 Right,15.76,Made,,,,,2.0,,,,,,,,,J. Grant,203924.0,1.0,,
18,PT10M43.00S,2022-11-06T02:13:04.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629028,85.89027595269383,45.09803921568628,1610612756,4,4,2022-11-06T02:13:09Z,180000,-25.0,80.0,1,right,D. Ayton 8' Hook (2 PTS),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Center,8.38,Made,,,,,2.0,,,,,,,,,,,,,
19,PT10M25.00S,2022-11-06T02:13:21.9Z,1,REGULAR,2pt,Hook,[],203994,6.964520367936927,26.93780637254902,1610612757,4,6,2022-11-06T02:13:48Z,190000,115.0,13.0,1,left,J. Nurkic 11' turnaround Hook (2 PTS),[203994],1610612757.0,POR,turnaround,,,Nurkic,J. Nurkic,,,,,Mid-Range,8-16 Right,11.6,Made,,,,,2.0,,,,,,,,,,,,,
20,PT10M13.00S,2022-11-06T02:13:35.2Z,1,REGULAR,turnover,bad pass,[],1626164,,,1610612756,4,6,2022-11-06T02:13:38Z,200000,,,0,,D. Booker bad pass TURNOVER (1 TO),"[1626164, 1626159]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,1.0,Winslow,1626159.0,,,,,
21,PT10M13.00S,2022-11-06T02:13:35.2Z,1,REGULAR,steal,,[],1626159,,,1610612757,4,6,2022-11-06T02:13:36Z,210000,,,0,,J. Winslow STEAL (1 STL),[1626159],1610612757.0,POR,,,,Winslow,J. Winslow,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
22,PT10M06.00S,2022-11-06T02:13:41.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1631101,6.307490144546648,48.20006127450981,1610612757,4,8,2022-11-06T02:14:30Z,220000,9.0,7.0,1,left,S. Sharpe running reverse Layup (4 PTS) (J. Hart 1 AST),"[1631101, 1628404]",1610612757.0,POR,running reverse,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,1.13,Made,,,,,4.0,,,,,,,,,J. Hart,1628404.0,1.0,,
24,PT09M45.00S,2022-11-06T02:14:02.1Z,1,REGULAR,3pt,Jump Shot,[],1628470,95.6143232588699,2.696078431372549,1610612756,7,8,2022-11-06T02:14:07Z,240000,-237.0,-11.0,1,right,T. Craig 3PT  (3 PTS) (M. Bridges 1 AST),"[1628470, 1628969]",1610612756.0,PHX,,,,Craig,T. Craig,,,,,Left Corner 3,24+ Left,23.68,Made,,,,,3.0,,,,,,,,,M. Bridges,1628969.0,1.0,,
26,PT09M28.00S,2022-11-06T02:14:18.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203924,6.1268068331143235,43.627450980392155,1610612757,7,8,2022-11-06T02:15:05Z,260000,32.0,5.0,1,left,MISS J. Grant driving Layup - blocked,"[203924, 1628470]",1610612757.0,POR,driving,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,3.23,Missed,,,,,,,,,,,,,,,,,Craig,1628470.0
