actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-05T02:10:29.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-05T02:10:29Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-11-05T02:10:33.3Z,1,REGULAR,jumpball,recovered,[],1626159,,,1610612757,0,0,2022-11-05T02:10:33Z,40000,,,0,,Jump Ball J. Nurkic vs. D. Ayton: Tip to J. Winslow,"[1626159, 203994, 1629028]",1610612757.0,POR,startperiod,J. Winslow,1626159.0,Winslow,J. Winslow,Nurkic,203994.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-11-05T02:10:47.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626159,7.703679369250986,38.23529411764706,1610612757,0,0,2022-11-05T02:10:55Z,70000,59.0,20.0,1,left,MISS J. Winslow 6' driving Layup,[1626159],1610612757.0,POR,driving,,,Winslow,J. Winslow,,,,,In The Paint (Non-RA),0-8 Center,6.21,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-11-05T02:10:50.6Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,0,0,2022-11-05T02:10:55Z,80000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M28.00S,2022-11-05T02:11:01.4Z,1,REGULAR,2pt,Jump Shot,[],1629028,92.9862023653088,28.431372549019606,1610612756,0,0,2022-11-05T02:11:08Z,90000,-108.0,13.0,1,right,MISS D. Ayton 10' fadeaway Shot,[1629028],1610612756.0,PHX,fadeaway,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Left,10.86,Missed,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2022-11-05T02:11:05.4Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,0,0,2022-11-05T02:11:08Z,100000,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Mid-Range,8-16 Left,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M12.00S,2022-11-05T02:11:16.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626159,5.601182654402102,50.73529411764706,1610612757,0,2,2022-11-05T02:11:22Z,110000,-4.0,0.0,1,left,J. Winslow cutting Layup (2 PTS) (J. Grant 1 AST),"[1626159, 203924]",1610612757.0,POR,cutting,,,Winslow,J. Winslow,,,,,Restricted Area,0-8 Center,0.37,Made,,,,,2.0,J. Grant,203924.0,1.0,,,,,,,,,,
13,PT10M52.00S,2022-11-05T02:11:36.2Z,1,REGULAR,3pt,Jump Shot,[],101108,75.50919842312747,12.5,1610612756,3,2,2022-11-05T02:11:40Z,130000,-188.0,178.0,1,right,C. Paul 25' 3PT  (3 PTS) (C. Johnson 1 AST),"[101108, 1629661]",1610612756.0,PHX,,,,Paul,C. Paul,,,,,Above the Break 3,24+ Left Center,25.83,Made,,,,,3.0,C. Johnson,1629661.0,1.0,,,,,,,,,,
15,PT10M32.00S,2022-11-05T02:11:56.1Z,1,REGULAR,3pt,Jump Shot,[],1631101,20.318659658344284,6.372549019607843,1610612757,3,5,2022-11-05T02:12:02Z,150000,218.0,138.0,1,left,S. Sharpe 25' 3PT  (3 PTS) (J. Nurkic 1 AST),"[1631101, 203994]",1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Right Center,25.84,Made,,,,,3.0,J. Nurkic,203994.0,1.0,,,,,,,,,,
17,PT10M12.00S,2022-11-05T02:12:16.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,86.15308804204993,48.28431372549019,1610612756,5,5,2022-11-05T02:12:24Z,170000,-9.0,78.0,1,right,D. Ayton 7' turnaround fadeaway Jump Shot (2 PTS) (C. Paul 1 AST),"[1629028, 101108]",1610612756.0,PHX,turnaround fadeaway,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,7.82,Made,,,,,2.0,C. Paul,101108.0,1.0,,,,,,,,,,
19,PT09M48.00S,2022-11-05T02:12:41.2Z,1,REGULAR,3pt,Jump Shot,[],203924,31.35676741130092,33.82352941176471,1610612757,5,5,2022-11-05T02:12:45Z,190000,81.0,242.0,1,left,MISS J. Grant 25' 3PT,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Right Center,25.54,Missed,,,,,,,,,,,,,,,,,,
20,PT09M44.00S,2022-11-05T02:12:45.2Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,5,5,2022-11-05T02:12:45Z,200000,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,,,19.0,2.0,2.0,0.0,,,,,,,,,,,,,,
21,PT09M39.00S,2022-11-05T02:12:59.2Z,1,REGULAR,foul,personal,[],1626159,,,1610612756,5,5,2022-11-05T02:13:12Z,210000,,,0,,J. Winslow personal FOUL (1 PF),"[1626159, 1629661]",1610612757.0,POR,,,,Winslow,J. Winslow,,,,,Restricted Area,0-8 Center,,,,,,,,,,,202041.0,1.0,0.0,Johnson,1629661.0,,,,,
23,PT09M31.00S,2022-11-05T02:13:22.5Z,1,REGULAR,3pt,Jump Shot,[],1629661,95.0886990801577,96.56862745098039,1610612756,5,5,2022-11-05T02:13:27Z,230000,233.0,-6.0,1,right,MISS C. Johnson 3PT,[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,Right Corner 3,24+ Right,23.29,Missed,,,,,,,,,,,,,,,,,,
24,PT09M28.00S,2022-11-05T02:13:25.5Z,1,REGULAR,rebound,defensive,[],1626159,,,1610612757,5,5,2022-11-05T02:13:27Z,240000,,,0,,J. Winslow REBOUND (Off:0 Def:1),[1626159],1610612757.0,POR,,,,Winslow,J. Winslow,,,,,Right Corner 3,24+ Right,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT09M24.00S,2022-11-05T02:13:31.3Z,1,REGULAR,foul,offensive,[],203924,,,1610612757,5,5,2022-11-05T02:14:19Z,250000,,,0,,J. Grant charge offensive FOUL (1 PF),"[203924, 101108]",1610612757.0,POR,charge,,,Grant,J. Grant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,202041.0,1.0,0.0,Paul,101108.0,,,,,
27,PT09M24.00S,2022-11-05T02:13:31.3Z,1,REGULAR,turnover,offensive foul,[],203924,,,1610612757,5,5,2022-11-05T02:13:31Z,270000,,,0,,J. Grant offensive foul TURNOVER (1 TO),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,202041.0,,,,,1.0,,,,
28,PT09M13.00S,2022-11-05T02:14:01.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626164,81.15965834428384,95.09803921568627,1610612756,8,5,2022-11-05T02:14:05Z,280000,225.0,125.0,1,right,D. Booker 25' 3PT  (3 PTS) (C. Paul 2 AST),"[1626164, 101108]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Right Center,25.76,Made,,,,,3.0,C. Paul,101108.0,2.0,,,,,,,,,,
30,PT09M00.00S,2022-11-05T02:14:13.5Z,1,REGULAR,3pt,Jump Shot,[],1626159,22.815374507227332,9.313725490196079,1610612757,8,5,2022-11-05T02:14:18Z,300000,203.0,162.0,1,left,MISS J. Winslow 26' 3PT,[1626159],1610612757.0,POR,,,,Winslow,J. Winslow,,,,,Above the Break 3,24+ Right Center,26.0,Missed,,,,,,,,,,,,,,,,,,
31,PT08M57.00S,2022-11-05T02:14:16.5Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,8,5,2022-11-05T02:14:18Z,310000,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Right Center,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,
32,PT08M42.00S,2022-11-05T02:14:31.7Z,1,REGULAR,3pt,Jump Shot,[],1626164,69.07030223390277,87.5,1610612756,11,5,2022-11-05T02:15:22Z,320000,188.0,238.0,1,right,D. Booker 30' 3PT pullup (6 PTS) (C. Paul 3 AST),"[1626164, 101108]",1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Above the Break 3,24+ Right Center,30.31,Made,,,,,6.0,C. Paul,101108.0,3.0,,,,,,,,,,
34,PT08M27.00S,2022-11-05T02:14:49.2Z,1,REGULAR,foul,personal,[],1629028,,,1610612757,11,5,2022-11-05T02:15:12Z,340000,,,0,,D. Ayton personal FOUL (1 PF),"[1629028, 203994]",1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1627526.0,1.0,0.0,Nurkic,203994.0,,,,,
36,PT08M17.00S,2022-11-05T02:15:20.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203994,11.645860709592641,56.86274509803921,1610612757,11,5,2022-11-05T02:15:27Z,360000,-34.0,57.0,1,left,MISS J. Nurkic 6' Hook,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,In The Paint (Non-RA),0-8 Center,6.65,Missed,,,,,,,,,,,,,,,,,,
37,PT08M16.00S,2022-11-05T02:15:21.8Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,11,5,2022-11-05T02:15:27Z,370000,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,In The Paint (Non-RA),0-8 Center,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,,,
38,PT08M11.00S,2022-11-05T02:15:29.5Z,1,REGULAR,foul,personal,[],1631101,,,1610612756,11,5,2022-11-05T02:15:37Z,380000,,,0,,S. Sharpe personal FOUL (1 PF),"[1631101, 1629028]",1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1627526.0,1.0,0.0,Ayton,1629028.0,,,,,
