actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-20T02:10:39.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-20T02:10:39Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-20T02:10:41.3Z,1,REGULAR,jumpball,recovered,[],101108,,,1610612756,0,0,2022-10-20T02:10:41Z,40000,,,0,,Jump Ball D. Ayton vs. J. McGee: Tip to C. Paul,"[101108, 1629028, 201580]",1610612756.0,PHX,startperiod,C. Paul,101108.0,Paul,C. Paul,Ayton,1629028.0,McGee,201580.0,,,,,,,,,,,,,,,,,,,,,,
10,PT11M49.00S,2022-10-20T02:10:46.3Z,1,REGULAR,violation,kicked ball,[],201580,,,1610612756,0,0,2022-10-20T02:11:52Z,65000,,,0,,J. McGee kicked ball VIOLATION,[201580],1610612742.0,DAL,,,,McGee,J. McGee,,,,,2715.0,,,,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2022-10-20T02:11:10.6Z,1,REGULAR,3pt,Jump Shot,[],1628969,75.64060446780552,8.57843137254902,1610612756,0,0,2022-10-20T02:11:33Z,80000,-207.0,176.0,1,right,MISS M. Bridges 27' 3PT,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,Above the Break 3,24+ Left Center,27.21,Missed,,,,,,,,,,,,,,,,,
9,PT11M39.00S,2022-10-20T02:11:13.9Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,0,0,2022-10-20T02:11:13Z,90000,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,Above the Break 3,24+ Left Center,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT11M23.00S,2022-10-20T02:11:30.4Z,1,REGULAR,3pt,Jump Shot,[],203493,6.389618922470433,4.411764705882353,1610612742,0,0,2022-10-20T02:11:34Z,100000,228.0,8.0,1,left,MISS R. Bullock 3PT,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,Right Corner 3,24+ Right,22.8,Missed,,,,,,,,,,,,,,,,,
12,PT11M23.00S,2022-10-20T02:11:30.4Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612756,0,0,2022-10-20T02:11:35Z,110000,,,0,,C. Johnson REBOUND (Off:0 Def:1),[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,Right Corner 3,24+ Right,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT11M11.00S,2022-10-20T02:11:43.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628969,89.30683311432325,56.86274509803921,1610612756,2,0,2022-10-20T02:11:47Z,120000,34.0,48.0,1,right,M. Bridges driving Layup (2 PTS),[1628969],1610612756.0,PHX,driving,,,Bridges,M. Bridges,,,,,,In The Paint (Non-RA),0-8 Center,5.9,Made,,,,,2.0,,,,,,,,,,,,
35,PT10M56.00S,2022-10-20T02:11:50.0Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612742,2,0,2022-10-20T02:14:22Z,125000,,,0,,L. Doncic bad pass TURNOVER (1 TO),"[1629029, 1629028]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,Restricted Area,0-8 Center,,,,,,,,1.0,Ayton,1629028.0,,,,,,,,,
36,PT10M56.00S,2022-10-20T02:11:50.0Z,1,REGULAR,steal,,[],1629028,,,1610612756,2,0,2022-10-20T02:14:22Z,127500,,,0,,D. Ayton STEAL (1 STL),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
