actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-29T02:15:39.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-29T02:15:39Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-29T02:15:42.0Z,1,REGULAR,jumpball,recovered,[],1626164,,,1610612756,0,0,2022-10-29T02:15:42Z,40000,,,0,,Jump Ball D. Ayton vs. J. Valanciunas: Tip to D. Booker,"[1626164, 1629028, 202685]",1610612756.0,PHX,startperiod,D. Booker,1626164.0,Booker,D. Booker,Ayton,1629028.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M54.00S,2022-10-29T02:15:44.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626164,6.783837056504599,50.245098039215684,1610612756,2,0,2022-10-29T02:15:56Z,70000,-1.0,11.0,1,left,D. Booker driving Layup (2 PTS),[1626164],1610612756.0,PHX,driving,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,1.14,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-10-29T02:16:00.8Z,1,REGULAR,3pt,Jump Shot,[],1630530,69.59592641261499,18.627450980392158,1610612740,2,0,2022-10-29T02:16:06Z,80000,-157.0,233.0,1,right,MISS T. Murphy III 28' 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Left Center,28.12,Missed,,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2022-10-29T02:16:04.8Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,2,0,2022-10-29T02:16:06Z,90000,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,Above the Break 3,24+ Left Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M23.00S,2022-10-29T02:16:18.4Z,1,REGULAR,foul,offensive,[],1626164,,,1610612756,2,0,2022-10-29T02:17:15Z,100000,,,0,,D. Booker charge offensive FOUL (1 PF),"[1626164, 1630631]",1610612756.0,PHX,charge,,,Booker,D. Booker,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,2534.0,1.0,0.0,Alvarado,1630631.0,,,,,,,,
12,PT11M23.00S,2022-10-29T02:16:18.4Z,1,REGULAR,turnover,offensive foul,[],1626164,,,1610612756,2,0,2022-10-29T02:16:18Z,120000,,,0,,D. Booker offensive foul TURNOVER (1 TO),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,2534.0,,,,,1.0,,,,,,,
13,PT11M00.00S,2022-10-29T02:17:01.7Z,1,REGULAR,turnover,bad pass,[],1630631,,,1610612740,2,0,2022-10-29T02:17:07Z,130000,,,0,,J. Alvarado bad pass TURNOVER (1 TO),"[1630631, 1629661]",1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,1.0,Johnson,1629661.0,,,,,
14,PT11M00.00S,2022-10-29T02:17:01.7Z,1,REGULAR,steal,,[],1629661,,,1610612756,2,0,2022-10-29T02:17:05Z,140000,,,0,,C. Johnson STEAL (1 STL),[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
15,PT10M55.00S,2022-10-29T02:17:06.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629028,6.258212877792378,51.9607843137255,1610612756,4,0,2022-10-29T02:17:13Z,150000,-10.0,6.0,1,left,D. Ayton running DUNK (2 PTS) (C. Johnson 1 AST),"[1629028, 1629661]",1610612756.0,PHX,running,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,1.17,Made,2.0,,,,,,,,,,,,,C. Johnson,1629661.0,1.0,,
17,PT10M38.00S,2022-10-29T02:17:23.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,83.52496714848883,53.92156862745098,1610612740,4,0,2022-10-29T02:17:32Z,170000,20.0,102.0,1,right,MISS J. Valanciunas 10' floating Shot,[202685],1610612740.0,NOP,floating,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),8-16 Center,10.43,Missed,,,,,,,,,,,,,,,,,,
18,PT10M36.00S,2022-10-29T02:17:25.1Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,4,0,2022-10-29T02:17:32Z,180000,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Center,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,
19,PT10M16.00S,2022-10-29T02:17:49.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],101108,8.886333771353483,50.0,1610612756,4,0,2022-10-29T02:18:25Z,190000,0.0,31.0,1,left,MISS C. Paul driving floating Shot,[101108],1610612756.0,PHX,driving floating,,,Paul,C. Paul,,,,,Restricted Area,0-8 Center,3.1,Missed,,,,,,,,,,,,,,,,,,
20,PT10M14.00S,2022-10-29T02:17:51.4Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612756,4,0,2022-10-29T02:18:25Z,200000,,,0,,D. Ayton REBOUND (Off:1 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,,19.0,2.0,1.0,1.0,,,,,,,,,,,,,
21,PT10M13.00S,2022-10-29T02:17:51.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629028,6.258212877792378,47.05882352941176,1610612756,6,0,2022-10-29T02:18:31Z,210000,15.0,6.0,1,left,D. Ayton tip Layup (4 PTS),[1629028],1610612756.0,PHX,tip,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,1.6,Made,4.0,,,,,,,,,,,,,,,,,
22,PT10M01.00S,2022-10-29T02:18:00.9Z,1,REGULAR,3pt,Jump Shot,[],1630631,71.17279894875165,82.35294117647058,1610612740,6,3,2022-10-29T02:18:14Z,220000,162.0,218.0,1,right,J. Alvarado 27' 3PT  (3 PTS) (C. McCollum 1 AST),"[1630631, 203468]",1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Right Center,27.19,Made,3.0,,,,,,,,,,,,,C. McCollum,203468.0,1.0,,
24,PT09M47.00S,2022-10-29T02:18:14.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628969,6.258212877792378,52.69607843137255,1610612756,8,3,2022-10-29T02:18:20Z,240000,-13.0,6.0,1,left,M. Bridges driving Layup (2 PTS),[1628969],1610612756.0,PHX,driving,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,1.49,Made,2.0,,,,,,,,,,,,,,,,,
26,PT09M37.00S,2022-10-29T02:18:25.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630631,89.43823915900131,45.09803921568628,1610612740,8,3,2022-10-29T02:18:28Z,260000,-25.0,47.0,1,right,MISS J. Alvarado driving Layup,[1630631],1610612740.0,NOP,driving,,,Alvarado,J. Alvarado,,,,,In The Paint (Non-RA),0-8 Center,5.28,Missed,,,,,,,,,,,,,,,,,,
27,PT09M35.00S,2022-10-29T02:18:27.2Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,8,3,2022-10-29T02:18:28Z,270000,,,0,,C. Paul REBOUND (Off:0 Def:2),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,In The Paint (Non-RA),0-8 Center,,,,26.0,2.0,2.0,0.0,,,,,,,,,,,,,
28,PT09M30.00S,2022-10-29T02:18:32.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628969,5.469776609724048,55.392156862745104,1610612756,10,3,2022-10-29T02:20:10Z,280000,-27.0,-1.0,1,left,M. Bridges running Layup (4 PTS) (C. Johnson 2 AST),"[1628969, 1629661]",1610612756.0,PHX,running,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,2.7,Made,4.0,,,,,,,,,,,,,C. Johnson,1629661.0,2.0,,
30,PT09M30.00S,2022-10-29T02:18:38.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,10,3,2022-10-29T02:18:38Z,300000,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
