actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-18T00:12:03.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-18T00:12:03Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-11-18T00:12:05.1Z,1,REGULAR,jumpball,recovered,[],1628404,,,1610612752,0,0,2024-11-18T00:12:05Z,40000,False,,,0,,Jump Ball K. Towns vs. B. Simmons: Tip to J. Hart,"[1628404, 1626157, 1627732]",1610612752.0,NYK,startperiod,J. Hart,1628404.0,Hart,J. Hart,Towns,1626157.0,Simmons,1627732.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M33.00S,2024-11-18T00:12:28.7Z,1,REGULAR,3pt,Jump Shot,[],1628384,71.56701708278581,82.35294117647058,1610612752,0,0,2024-11-18T00:12:34Z,70000,False,162.0,215.0,1,right,MISS O. Anunoby 26' 3PT,[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Right Center,26.89,Missed,,,,,,,,,,,,,,,,,,
8,PT11M31.00S,2024-11-18T00:12:30.7Z,1,REGULAR,rebound,defensive,[],1630560,,,1610612751,0,0,2024-11-18T00:12:34Z,80000,False,,,0,,C. Thomas REBOUND (Off:0 Def:1),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M24.00S,2024-11-18T00:12:37.9Z,1,REGULAR,turnover,bad pass,[],1627827,,,1610612751,0,0,2024-11-18T00:12:49Z,90000,False,,,0,,D. Finney-Smith bad pass TURNOVER (1 TO),"[1627827, 1628969]",1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Center,,,,,,,1.0,Bridges,1628969.0,,,,,,,,,,,
10,PT11M24.00S,2024-11-18T00:12:37.9Z,1,REGULAR,steal,,[],1628969,,,1610612752,0,0,2024-11-18T00:12:40Z,100000,False,,,0,,M. Bridges STEAL (1 STL),[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
11,PT11M21.00S,2024-11-18T00:12:41.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628969,94.95729303547962,50.49019607843137,1610612752,2,0,2024-11-18T00:12:45Z,110000,False,2.0,-5.0,1,right,M. Bridges running DUNK (2 PTS),[1628969],1610612752.0,NYK,running,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,0.57,Made,,,,,,,,2.0,,,,,,,,,,
12,PT10M54.00S,2024-11-18T00:13:08.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627732,6.521024967148489,51.9607843137255,1610612751,2,0,2024-11-18T00:13:12Z,120000,False,-10.0,9.0,1,left,MISS B. Simmons alley-oop Layup,[1627732],1610612751.0,BKN,alley-oop,,,Simmons,B. Simmons,,,,,Restricted Area,0-8 Center,1.32,Missed,,,,,,,,,,,,,,,,,,
13,PT10M52.00S,2024-11-18T00:13:10.3Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,2,0,2024-11-18T00:13:12Z,130000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M45.00S,2024-11-18T00:13:18.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628384,93.11760840998686,48.28431372549019,1610612752,2,0,2024-11-18T00:13:56Z,140000,False,-9.0,12.0,1,right,MISS O. Anunoby driving Layup,[1628384],1610612752.0,NYK,driving,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,1.49,Missed,,,,,,,,,,,,,,,,,,
15,PT10M42.00S,2024-11-18T00:13:21.1Z,1,REGULAR,rebound,defensive,[],1627732,,,1610612751,2,0,2024-11-18T00:13:24Z,150000,False,,,0,,B. Simmons REBOUND (Off:0 Def:1),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Restricted Area,0-8 Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M36.00S,2024-11-18T00:13:25.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1627732,9.149145860709593,45.09803921568628,1610612751,2,0,2024-11-18T00:14:42Z,160000,False,25.0,34.0,1,left,MISS B. Simmons running Layup,[1627732],1610612751.0,BKN,running,,,Simmons,B. Simmons,,,,,Restricted Area,0-8 Center,4.15,Missed,,,,,,,,,,,,,,,,,,
17,PT10M35.00S,2024-11-18T00:13:26.6Z,1,REGULAR,rebound,offensive,[],1627827,,,1610612751,2,0,2024-11-18T00:13:36Z,170000,False,,,0,,D. Finney-Smith REBOUND (Off:1 Def:0),[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,Restricted Area,0-8 Center,,,16.0,1.0,0.0,1.0,,,,,,,,,,,,,,
18,PT10M33.00S,2024-11-18T00:13:30.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint']",1627827,5.590000152587891,50.0,1610612751,2,0,2024-11-18T00:34:59Z,180000,False,0.0,0.0,1,left,MISS D. Finney-Smith tip Layup,[1627827],1610612751.0,BKN,tip,,,Finney-Smith,D. Finney-Smith,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
19,PT10M32.00S,2024-11-18T00:13:31.5Z,1,REGULAR,rebound,offensive,[],1627827,,,1610612751,2,0,2024-11-18T00:13:43Z,190000,False,,,0,,D. Finney-Smith REBOUND (Off:2 Def:0),[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,Restricted Area,0-8 Center,,,18.0,2.0,0.0,2.0,,,,,,,,,,,,,,
20,PT10M29.00S,2024-11-18T00:13:33.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630560,22.683968462549277,89.95098039215686,1610612751,2,0,2024-11-18T00:13:39Z,200000,False,-200.0,161.0,1,left,MISS C. Thomas 25' 3PT,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,Above the Break 3,24+ Left Center,25.64,Missed,,,,,,,,,,,,,,,,,,
21,PT10M27.00S,2024-11-18T00:13:34.8Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612752,2,0,2024-11-18T00:13:34Z,210000,False,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Left Center,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT10M21.00S,2024-11-18T00:13:40.8Z,1,REGULAR,3pt,Jump Shot,[],1626157,69.59592641261499,23.52941176470588,1610612752,2,0,2024-11-18T00:13:45Z,220000,False,-132.0,233.0,1,right,MISS K. Towns 26' 3PT,[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Left Center,26.83,Missed,,,,,,,,,,,,,,,,,,
23,PT10M19.00S,2024-11-18T00:13:42.8Z,1,REGULAR,rebound,defensive,[],1630560,,,1610612751,2,0,2024-11-18T00:13:45Z,230000,False,,,0,,C. Thomas REBOUND (Off:0 Def:2),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,Above the Break 3,24+ Left Center,,,22.0,2.0,2.0,0.0,,,,,,,,,,,,,,
