actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-02-09T01:41:12.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-09T01:41:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-02-09T01:41:15.5Z,1,REGULAR,jumpball,recovered,[],201143,,,1610612738,0,0,2025-02-09T01:41:15Z,40000,False,,,0,,Jump Ball L. Kornet vs. K. Towns: Tip to A. Horford,"[201143, 1628436, 1626157]",1610612738.0,BOS,startperiod,A. Horford,201143.0,Horford,A. Horford,Kornet,1628436.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2025-02-09T01:41:32.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,80.73258869908015,53.431372549019606,1610612738,0,0,2025-02-09T01:41:35Z,70000,False,17.0,129.0,1,right,MISS J. Brown 12' turnaround fadeaway Shot,[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,12.97,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2025-02-09T01:41:34.0Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,0,0,2025-02-09T01:41:35Z,80000,False,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M26.00S,2025-02-09T01:41:48.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628404,8.065045992115643,45.833333333333336,1610612752,0,0,2025-02-09T01:43:12Z,90000,False,21.0,23.0,1,left,MISS J. Hart driving Layup - blocked,"[1628404, 1627759]",1610612752.0,NYK,driving,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,3.12,Missed,,,,,Brown,1627759.0,,,,,,,,,,,,
16,PT11M26.00S,2025-02-09T01:41:48.8Z,1,REGULAR,block,,[],1627759,,,1610612752,0,0,2025-02-09T01:42:37Z,95000,False,,,0,,J. Brown BLOCK (1 BLK),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2025-02-09T01:41:50.8Z,1,REGULAR,rebound,defensive,[],1628436,,,1610612738,0,0,2025-02-09T01:43:12Z,100000,False,,,0,,L. Kornet REBOUND (Off:0 Def:1),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M12.00S,2025-02-09T01:42:00.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628369,93.74178712220763,50.0,1610612738,0,2,2025-02-09T01:42:04Z,110000,False,0.0,6.0,1,right,J. Tatum driving DUNK (2 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,0.63,Made,,,,,,,2.0,,,,,,,,,,,
12,PT10M57.00S,2025-02-09T01:42:14.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,14.766754270696453,49.50980392156863,1610612752,0,2,2025-02-09T01:43:41Z,120000,False,2.0,86.0,1,left,MISS M. Bridges 8' step back Shot,[1628969],1610612752.0,NYK,step back,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,8.63,Missed,,,,,,,,,,,,,,,,,,
13,PT10M55.00S,2025-02-09T01:42:16.5Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,0,2,2025-02-09T01:42:18Z,130000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
