actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-05T00:36:22.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-05T00:36:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-03-05T00:36:24.6Z,1,REGULAR,jumpball,recovered,[],1628404,,,1610612752,0,0,2025-03-05T00:36:24Z,40000,False,,,0,,Jump Ball M. Robinson vs. D. Green: Tip to J. Hart,"[1628404, 1629011, 203110]",1610612752.0,NYK,startperiod,J. Hart,1628404.0,Hart,J. Hart,Robinson,1629011.0,Green,203110.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2025-03-05T00:36:43.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,9.017739816031538,53.431372549019606,1610612752,2,0,2025-03-05T00:36:48Z,70000,False,-17.0,32.0,1,left,J. Brunson finger roll Layup (2 PTS),[1628973],1610612752.0,NYK,finger roll,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,3.66,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M18.00S,2025-03-05T00:37:03.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641764,93.11760840998686,45.588235294117645,1610612744,2,2,2025-03-05T00:37:08Z,80000,False,-22.0,12.0,1,right,B. Podziemski driving finger roll Layup (2 PTS) (D. Green 1 AST),"[1641764, 203110]",1610612744.0,GSW,driving finger roll,,,Podziemski,B. Podziemski,,,,,Restricted Area,0-8 Center,2.52,Made,2.0,D. Green,203110.0,1.0,,,,,,,,,,,,,,
10,PT10M53.00S,2025-03-05T00:37:30.4Z,1,REGULAR,3pt,Jump Shot,[],1628404,32.670827858081466,55.63725490196079,1610612752,2,2,2025-03-05T00:37:39Z,100000,False,-28.0,255.0,1,left,MISS J. Hart 25' step back 3PT,[1628404],1610612752.0,NYK,step back,,,Hart,J. Hart,,,,,Above the Break 3,24+ Center,25.62,Missed,,,,,,,,,,,,,,,,,,
12,PT10M52.00S,2025-03-05T00:37:31.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,2,2,2025-03-05T00:37:39Z,120000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,10.0,,,,,,,,,,,,,
13,PT10M52.00S,2025-03-05T00:37:35.9Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612752,2,2,2025-03-05T00:37:45Z,130000,False,,,0,,NYK shot clock Team TURNOVER,[],1610612752.0,NYK,,,,,,,,,,Mid-Range,16-24 Center,,,,,,,,202056.0,,,,,,,,,,,,
14,PT10M38.00S,2025-03-05T00:38:13.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641764,88.78120893561103,4.6568627450980395,1610612744,2,5,2025-03-05T00:38:16Z,140000,False,-227.0,53.0,1,right,B. Podziemski 3PT  (5 PTS) (M. Moody 1 AST),"[1641764, 1630541]",1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Left Corner 3,24+ Left,23.28,Made,5.0,M. Moody,1630541.0,1.0,,,,,,,,,,,,,,
16,PT10M19.00S,2025-03-05T00:38:32.2Z,1,REGULAR,turnover,bad pass,[],1628973,,,1610612752,2,5,2025-03-05T00:38:34Z,160000,False,,,0,,J. Brunson bad pass TURNOVER (1 TO),"[1628973, 1641764]",1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,,,,,,,,,1.0,Podziemski,1641764.0,,,,,,,,,
17,PT10M19.00S,2025-03-05T00:38:32.2Z,1,REGULAR,steal,,[],1641764,,,1610612744,2,5,2025-03-05T00:38:33Z,170000,False,,,0,,B. Podziemski STEAL (1 STL),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
18,PT10M11.00S,2025-03-05T00:38:40.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630541,88.78120893561103,2.941176470588235,1610612744,2,8,2025-03-05T00:38:44Z,180000,False,-235.0,53.0,1,right,M. Moody 24' 3PT  (3 PTS) (J. Butler III 1 AST),"[1630541, 202710]",1610612744.0,GSW,,,,Moody,M. Moody,,,,,Left Corner 3,24+ Left,24.12,Made,3.0,J. Butler III,202710.0,1.0,,,,,,,,,,,,,,
20,PT09M43.00S,2025-03-05T00:39:07.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628384,17.296320630749015,60.5392156862745,1610612752,4,8,2025-03-05T00:39:11Z,200000,False,-53.0,110.0,1,left,O. Anunoby 12' Jump Shot (2 PTS) (M. Bridges 1 AST),"[1628384, 1628969]",1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),8-16 Center,12.21,Made,2.0,M. Bridges,1628969.0,1.0,,,,,,,,,,,,,,
22,PT09M29.00S,2025-03-05T00:39:21.0Z,1,REGULAR,2pt,Jump Shot,[],202710,77.34888304862024,56.372549019607845,1610612744,4,8,2025-03-05T00:39:24Z,220000,False,32.0,160.0,1,right,MISS J. Butler III 16' pullup Shot,[202710],1610612744.0,GSW,pullup,,,Butler III,J. Butler III,,,,,Mid-Range,16-24 Center,16.35,Missed,,,,,,,,,,,,,,,,,,
23,PT09M27.00S,2025-03-05T00:39:23.0Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,4,8,2025-03-05T00:39:24Z,230000,False,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Mid-Range,16-24 Center,,,,,,,22.0,,,,,1.0,1.0,0.0,,,,,,
24,PT09M12.00S,2025-03-05T00:39:40.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629011,5.206964520367937,50.0,1610612752,6,8,2025-03-05T00:39:44Z,240000,False,0.0,-4.0,1,left,M. Robinson DUNK (2 PTS) (O. Anunoby 1 AST),"[1629011, 1628384]",1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,0.36,Made,2.0,O. Anunoby,1628384.0,1.0,,,,,,,,,,,,,,
