actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-14T00:42:27.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-14T00:42:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-01-14T00:42:30.9Z,1,REGULAR,jumpball,recovered,[],1628404,,,1610612752,0,0,2025-01-14T00:42:30Z,40000,False,,,0,,Jump Ball K. Towns vs. J. Duren: Tip to J. Hart,"[1628404, 1626157, 1631105]",1610612752.0,NYK,startperiod,J. Hart,1628404.0,Hart,J. Hart,Towns,1626157.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-01-14T00:42:41.6Z,1,REGULAR,turnover,bad pass,[],1626157,,,1610612752,0,0,2025-01-14T00:43:30Z,70000,False,,,0,,K. Towns bad pass TURNOVER (1 TO),"[1626157, 202699]",1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Right Center,1.0,Harris,202699.0,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2025-01-14T00:42:41.6Z,1,REGULAR,steal,,[],202699,,,1610612765,0,0,2025-01-14T00:42:43Z,80000,False,,,0,,T. Harris STEAL (1 STL),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
9,PT11M30.00S,2025-01-14T00:42:58.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202699,18.26544021024968,46.61075367647059,1610612765,0,0,2025-01-14T00:44:16Z,90000,False,17.0,119.0,1,left,MISS T. Harris 12' pullup Shot,[202699],1610612765.0,DET,pullup,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Center,,,,12.04,Missed,,,,,,,,,,,,,,,
10,PT11M28.00S,2025-01-14T00:43:00.3Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,0,0,2025-01-14T00:44:16Z,100000,False,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,In The Paint (Non-RA),8-16 Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M19.00S,2025-01-14T00:43:11.1Z,1,REGULAR,foul,personal,['2freethrow'],1631105,,,1610612752,0,0,2025-01-14T00:45:01Z,110000,False,,,0,,J. Duren shooting personal FOUL (1 PF) (Towns 2 FT),"[1631105, 1626157]",1610612765.0,DET,shooting,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1193.0,1.0,0.0,Towns,1626157.0,,,,,,
13,PT11M19.00S,2025-01-14T00:43:44.3Z,1,REGULAR,freethrow,1 of 2,[],1626157,,,1610612752,1,0,2025-01-14T00:43:44Z,130000,False,,,0,,K. Towns Free Throw 1 of 2 (1 PTS),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,,,,,,,Made,,,,,,,,,,1.0,,,,,
14,PT11M19.00S,2025-01-14T00:44:06.0Z,1,REGULAR,freethrow,2 of 2,[],1626157,,,1610612752,2,0,2025-01-14T00:44:06Z,140000,False,,,0,,K. Towns Free Throw 2 of 2 (2 PTS),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,,,,,,,Made,,,,,,,,,,2.0,,,,,
15,PT11M08.00S,2025-01-14T00:44:20.8Z,1,REGULAR,3pt,Jump Shot,[],203501,28.33442838370565,80.88235294117648,1610612765,2,3,2025-01-14T00:44:27Z,150000,False,-154.0,214.0,1,left,T. Hardaway Jr. 26' 3PT  (3 PTS) (T. Harris 1 AST),"[203501, 202699]",1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Left Center,,,,26.37,Made,,,,,,,,,,3.0,T. Harris,202699.0,1.0,,
