actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-16T00:41:43.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-16T00:41:43Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-11-16T00:41:45.1Z,1,REGULAR,jumpball,recovered,[],1628404,,,1610612752,0,0,2024-11-16T00:41:45Z,40000,False,,,0,,Jump Ball J. Sims vs. B. Simmons: Tip to J. Hart,"[1628404, 1630579, 1627732]",1610612752.0,NYK,startperiod,J. Hart,1628404.0,Hart,J. Hart,Sims,1630579.0,Simmons,1627732.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2024-11-16T00:42:05.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628384,93.64323258869908,49.01960784313725,1610612752,2,0,2024-11-16T00:42:08Z,70000,False,-5.0,7.0,1,right,O. Anunoby driving Layup (2 PTS),[1628384],1610612752.0,NYK,driving,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,0.88,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M17.00S,2024-11-16T00:42:25.2Z,1,REGULAR,2pt,Jump Shot,[],1630560,24.78646517739816,71.81372549019608,1610612751,2,2,2024-11-16T00:42:30Z,80000,False,-109.0,180.0,1,left,C. Thomas 21' step back Jump Shot (2 PTS) (B. Simmons 1 AST),"[1630560, 1627732]",1610612751.0,BKN,step back,,,Thomas,C. Thomas,,,,,Mid-Range,16-24 Left Center,21.09,Made,2.0,B. Simmons,1627732.0,1.0,,,,,,,,,,,,,,
10,PT10M59.00S,2024-11-16T00:42:46.3Z,1,REGULAR,foul,personal,['2freethrow'],1627827,,,1610612752,2,2,2024-11-16T00:42:54Z,100000,False,,,0,,D. Finney-Smith shooting personal FOUL (1 PF) (Anunoby 2 FT),"[1627827, 1628384]",1610612751.0,BKN,shooting,,,Finney-Smith,D. Finney-Smith,,,,,Restricted Area,0-8 Center,,,,,,,204058.0,1.0,0.0,Anunoby,1628384.0,,,,,,,,,
13,PT10M59.00S,2024-11-16T00:44:00.7Z,1,REGULAR,freethrow,1 of 2,[],1628384,,,1610612752,2,2,2024-11-16T00:44:00Z,130000,False,,,0,,MISS O. Anunoby Free Throw 1 of 2,[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
14,PT10M59.00S,2024-11-16T00:44:00.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612752,2,2,2024-11-16T00:44:00Z,140000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,
15,PT10M59.00S,2024-11-16T00:44:13.2Z,1,REGULAR,freethrow,2 of 2,[],1628384,,,1610612752,3,2,2024-11-16T00:44:13Z,150000,False,,,0,,O. Anunoby Free Throw 2 of 2 (3 PTS),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
16,PT10M39.00S,2024-11-16T00:44:38.7Z,1,REGULAR,turnover,out-of-bounds,[],1630560,,,1610612751,3,2,2024-11-16T00:44:45Z,160000,False,,,0,,C. Thomas bad pass out-of-bounds TURNOVER (1 TO),[1630560],1610612751.0,BKN,bad pass,,,Thomas,C. Thomas,,,,,Mid-Range,16-24 Right,,,,,,,2004.0,,,,,,1.0,,,,,,,
17,PT10M20.00S,2024-11-16T00:44:59.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628404,70.64717477003943,79.41176470588235,1610612752,6,2,2024-11-16T00:45:02Z,170000,False,147.0,223.0,1,right,J. Hart 26' 3PT  (3 PTS) (O. Anunoby 1 AST),"[1628404, 1628384]",1610612752.0,NYK,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Right Center,26.75,Made,3.0,O. Anunoby,1628384.0,1.0,,,,,,,,,,,,,,
