actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-10-28T23:41:24.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-10-28T23:41:24Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-10-28T23:41:27.4Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2024-10-28T23:41:27Z,40000,False,,,0,,Jump Ball J. Allen vs. K. Towns: Tip to D. Garland,"[1629636, 1628386, 1626157]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Allen,1628386.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-10-28T23:41:42.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629636,91.5407358738502,52.20588235294118,1610612739,0,2,2024-10-28T23:42:14Z,70000,False,11.0,27.0,1,right,D. Garland floating Jump Shot (2 PTS) (D. Wade 1 AST),"[1629636, 1629731]",1610612739.0,CLE,floating,,,Garland,D. Garland,,,,,Restricted Area,0-8 Center,2.92,Made,2.0,D. Wade,1629731.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2024-10-28T23:42:01.8Z,1,REGULAR,turnover,out-of-bounds,[],1626157,,,1610612752,0,2,2024-10-28T23:42:19Z,90000,False,,,0,,K. Towns bad pass out-of-bounds TURNOVER (1 TO),[1626157],1610612752.0,NYK,bad pass,,,Towns,K. Towns,,,,,Mid-Range,8-16 Right,,,,,,,1628480.0,1.0,,,,,,,,,,,,
10,PT11M13.00S,2024-10-28T23:42:21.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629636,77.87450722733246,63.725490196078425,1610612739,0,2,2024-10-28T23:42:28Z,100000,False,69.0,155.0,1,right,MISS D. Garland 17' pullup Shot,[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,Mid-Range,16-24 Right Center,17.0,Missed,,,,,,,,,,,,,,,,,,
11,PT11M08.00S,2024-10-28T23:42:26.9Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,0,2,2024-10-28T23:42:28Z,110000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Mid-Range,16-24 Right Center,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,
12,PT10M51.00S,2024-10-28T23:42:42.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628384,7.440867279894875,62.254901960784316,1610612752,2,2,2024-10-28T23:43:28Z,120000,False,-61.0,17.0,1,left,O. Anunoby 6' fadeaway Jump Shot (2 PTS),[1628384],1610612752.0,NYK,fadeaway,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),0-8 Center,6.37,Made,2.0,,,,,,,,,,,,,,,,,
13,PT10M39.00S,2024-10-28T23:42:55.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,93.64323258869908,51.225490196078425,1610612739,2,2,2024-10-28T23:42:58Z,130000,False,6.0,7.0,1,right,MISS D. Mitchell driving Layup - blocked,"[1628378, 1628384]",1610612739.0,CLE,driving,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,0.95,Missed,,,,,,,,,,,Anunoby,1628384.0,,,,,,
14,PT10M39.00S,2024-10-28T23:42:55.0Z,1,REGULAR,block,,[],1628384,,,1610612739,2,2,2024-10-28T23:42:57Z,140000,False,,,0,,O. Anunoby BLOCK (1 BLK),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT10M36.00S,2024-10-28T23:42:58.0Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,2,2,2024-10-28T23:42:58Z,150000,False,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
16,PT10M31.00S,2024-10-28T23:43:02.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628404,6.652431011826544,44.36274509803921,1610612752,2,2,2024-10-28T23:43:15Z,160000,False,28.0,10.0,1,left,MISS J. Hart running finger roll Layup - blocked,"[1628404, 1630596]",1610612752.0,NYK,running finger roll,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,2.99,Missed,,,,,,,,,,,Mobley,1630596.0,,,,,,
17,PT10M31.00S,2024-10-28T23:43:02.6Z,1,REGULAR,block,,[],1630596,,,1610612752,2,2,2024-10-28T23:43:04Z,170000,False,,,0,,E. Mobley BLOCK (1 BLK),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
18,PT10M28.00S,2024-10-28T23:43:05.6Z,1,REGULAR,rebound,offensive,[],1628969,,,1610612752,2,2,2024-10-28T23:43:15Z,180000,False,,,0,,M. Bridges REBOUND (Off:1 Def:0),[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,,,,,,16.0,1.0,0.0,1.0,,,,,,,,
