actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-04-08T23:36:30.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-08T23:36:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-04-08T23:36:33.1Z,1,REGULAR,jumpball,recovered,[],1628384,,,1610612752,0,0,2025-04-08T23:36:33Z,40000,False,,,0,,Jump Ball K. Towns vs. K. Porziņģis: Tip to O. Anunoby,"[1628384, 1626157, 204001]",1610612752.0,NYK,startperiod,O. Anunoby,1628384.0,Anunoby,O. Anunoby,Towns,1626157.0,Porziņģis,204001.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M48.00S,2025-04-08T23:36:58.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,82.60512483574244,46.568627450980394,1610612752,0,0,2025-04-08T23:37:02Z,80000,False,-17.0,111.0,1,right,MISS M. Bridges 11' step back Shot,[1628969],1610612752.0,NYK,step back,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,11.23,Missed,,,,,,,,,,,,,,,,,,
9,PT11M45.00S,2025-04-08T23:37:01.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,0,2025-04-08T23:37:02Z,90000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Center,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M33.00S,2025-04-08T23:37:12.2Z,1,REGULAR,2pt,Jump Shot,[],1627759,7.178055190538765,75.98039215686273,1610612738,0,0,2025-04-08T23:37:55Z,100000,False,-130.0,15.0,1,left,MISS J. Brown 13' step back Shot,[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,Mid-Range,8-16 Left,13.08,Missed,,,,,,,,,,,,,,,,,,
11,PT11M31.00S,2025-04-08T23:37:14.2Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612752,0,0,2025-04-08T23:37:16Z,110000,False,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Mid-Range,8-16 Left,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M10.00S,2025-04-08T23:37:50.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,85.3646517739816,49.26470588235294,1610612752,2,0,2025-04-08T23:37:53Z,130000,False,-4.0,85.0,1,right,J. Brunson 8' driving floating Jump Shot (2 PTS),[1628973],1610612752.0,NYK,driving floating,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Center,8.52,Made,,,,,2.0,,,,,,,,,,,,,
15,PT10M43.00S,2025-04-08T23:38:17.0Z,1,REGULAR,2pt,Jump Shot,[],204001,24.655059132720105,57.107843137254896,1610612738,2,2,2025-04-08T23:38:23Z,150000,False,-36.0,179.0,1,left,K. Porziņģis 18' fadeaway Jump Shot (2 PTS) (J. Tatum 1 AST),"[204001, 1628369]",1610612738.0,BOS,fadeaway,,,Porziņģis,K. Porziņģis,,,,,Mid-Range,16-24 Center,18.28,Made,,,,,2.0,J. Tatum,1628369.0,1.0,,,,,,,,,,
17,PT10M20.00S,2025-04-08T23:38:39.5Z,1,REGULAR,3pt,Jump Shot,[],1628973,95.3515111695138,96.07843137254902,1610612752,2,2,2025-04-08T23:39:36Z,170000,False,230.0,-9.0,1,right,MISS J. Brunson 3PT,[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Right Corner 3,24+ Right,23.06,Missed,,,,,,,,,,,,,,,,,,
18,PT10M18.00S,2025-04-08T23:38:41.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,2,2,2025-04-08T23:38:45Z,180000,False,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Right Corner 3,24+ Right,,,17.0,,,,,,,,,,,,,,,,,
