actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-20T20:13:34.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-20T20:13:34Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-01-20T20:13:36.3Z,1,REGULAR,jumpball,recovered,[],1630552,,,1610612737,0,0,2025-01-20T20:13:36Z,40000,False,,,0,,Jump Ball O. Okongwu vs. K. Towns: Tip to J. Johnson,"[1630552, 1630168, 1626157]",1610612737.0,ATL,startperiod,J. Johnson,1630552.0,Johnson,J. Johnson,Okongwu,1630168.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2025-01-20T20:13:47.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630552,6.1268068331143235,50.245098039215684,1610612737,0,2,2025-01-20T20:13:51Z,70000,False,-1.0,5.0,1,left,J. Johnson driving floating Jump Shot (2 PTS) (O. Okongwu 1 AST),"[1630552, 1630168]",1610612737.0,ATL,driving floating,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,0.52,Made,2.0,O. Okongwu,1630168.0,1.0,,,,,,,,,,,,,,
9,PT11M47.00S,2025-01-20T20:13:50.4Z,1,REGULAR,foul,personal,['1freethrow'],1628973,,,1610612737,0,2,2025-01-20T20:14:05Z,90000,False,,,0,,J. Brunson shooting personal FOUL (1 PF) (Johnson 1 FT),"[1628973, 1630552]",1610612752.0,NYK,shooting,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,,,,,,,202037.0,1.0,0.0,Johnson,1630552.0,,,,,,,,,
11,PT11M47.00S,2025-01-20T20:14:14.3Z,1,REGULAR,freethrow,1 of 1,[],1630552,,,1610612737,0,3,2025-01-20T20:14:14Z,110000,False,,,0,,J. Johnson Free Throw 1 of 1 (3 PTS),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
12,PT11M25.00S,2025-01-20T20:14:37.6Z,1,REGULAR,turnover,bad pass,[],1628404,,,1610612752,0,3,2025-01-20T20:14:40Z,120000,False,,,0,,J. Hart bad pass TURNOVER (1 TO),"[1628404, 1630168]",1610612752.0,NYK,,,,Hart,J. Hart,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,1.0,Okongwu,1630168.0,,,,,,
13,PT11M25.00S,2025-01-20T20:14:37.6Z,1,REGULAR,steal,,[],1630168,,,1610612737,0,3,2025-01-20T20:14:39Z,130000,False,,,0,,O. Okongwu STEAL (1 STL),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
14,PT11M13.00S,2025-01-20T20:14:49.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629027,26.757555847568987,80.3921568627451,1610612737,0,6,2025-01-20T20:14:53Z,140000,False,-152.0,199.0,1,left,T. Young 25' 3PT step back (3 PTS),[1629027],1610612737.0,ATL,step back,,,Young,T. Young,,,,,Above the Break 3,24+ Left Center,25.04,Made,3.0,,,,,,,,,,,,,,,,,
15,PT10M56.00S,2025-01-20T20:15:06.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,93.38042049934296,47.30392156862745,1610612752,2,6,2025-01-20T20:15:09Z,150000,False,-13.0,10.0,1,right,J. Brunson cutting Layup (2 PTS) (K. Towns 1 AST),"[1628973, 1626157]",1610612752.0,NYK,cutting,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,1.66,Made,2.0,K. Towns,1626157.0,1.0,,,,,,,,,,,,,,
17,PT10M42.00S,2025-01-20T20:15:20.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630552,14.536793692509855,50.98039215686274,1610612737,2,6,2025-01-20T20:15:40Z,170000,False,-5.0,84.0,1,left,MISS J. Johnson 8' driving floating Shot,[1630552],1610612737.0,ATL,driving floating,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),8-16 Center,8.42,Missed,,,,,,,,,,,,,,,,,,
18,PT10M40.00S,2025-01-20T20:15:22.6Z,1,REGULAR,rebound,offensive,[],1630168,,,1610612737,2,6,2025-01-20T20:15:27Z,180000,False,,,0,,O. Okongwu REBOUND (Off:1 Def:0),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,17.0,1.0,0.0,1.0,,
19,PT10M36.00S,2025-01-20T20:15:26.7Z,1,REGULAR,turnover,bad pass,[],1630552,,,1610612737,2,6,2025-01-20T20:15:29Z,190000,False,,,0,,J. Johnson bad pass TURNOVER (1 TO),"[1630552, 1628973]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,1.0,Brunson,1628973.0,,,,,,
20,PT10M36.00S,2025-01-20T20:15:26.7Z,1,REGULAR,steal,,[],1628973,,,1610612752,2,6,2025-01-20T20:15:27Z,200000,False,,,0,,J. Brunson STEAL (1 STL),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
21,PT10M23.00S,2025-01-20T20:15:40.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628969,90.62089356110381,65.44117647058823,1610612752,2,6,2025-01-20T20:15:49Z,210000,False,77.0,36.0,1,right,MISS M. Bridges 8' turnaround fadeaway bank Shot,[1628969],1610612752.0,NYK,turnaround fadeaway bank,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Right,8.51,Missed,,,,,,,,,,,,,,,,,,
22,PT10M21.00S,2025-01-20T20:15:42.0Z,1,REGULAR,rebound,offensive,[],1628384,,,1610612752,2,6,2025-01-20T20:15:49Z,220000,False,,,0,,O. Anunoby REBOUND (Off:1 Def:0),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,21.0,1.0,0.0,1.0,,
23,PT10M14.00S,2025-01-20T20:15:48.6Z,1,REGULAR,turnover,lost ball,[],1628384,,,1610612752,2,6,2025-01-20T20:15:51Z,230000,False,,,0,,O. Anunoby lost ball TURNOVER (1 TO),"[1628384, 1629027]",1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,1.0,Young,1629027.0,,,,,,
24,PT10M14.00S,2025-01-20T20:15:48.6Z,1,REGULAR,steal,,[],1629027,,,1610612737,2,6,2025-01-20T20:15:50Z,240000,False,,,0,,T. Young STEAL (1 STL),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
25,PT10M02.00S,2025-01-20T20:16:00.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629027,8.09789750328515,46.81372549019608,1610612737,2,6,2025-01-20T20:16:05Z,250000,False,16.0,24.0,1,left,MISS T. Young driving finger roll Layup,[1629027],1610612737.0,ATL,driving finger roll,,,Young,T. Young,,,,,Restricted Area,0-8 Center,2.85,Missed,,,,,,,,,,,,,,,,,,
26,PT10M00.00S,2025-01-20T20:16:02.7Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,2,6,2025-01-20T20:16:05Z,260000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,25.0,1.0,1.0,0.0,,
27,PT09M54.00S,2025-01-20T20:16:07.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628404,94.69448094612353,52.69607843137255,1610612752,2,6,2025-01-20T20:16:13Z,270000,False,13.0,-3.0,1,right,MISS J. Hart running Layup,[1628404],1610612752.0,NYK,running,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,1.37,Missed,,,,,,,,,,,,,,,,,,
29,PT09M52.00S,2025-01-20T20:16:09.9Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,2,6,2025-01-20T20:16:13Z,290000,False,,,0,,J. Johnson REBOUND (Off:0 Def:1),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,27.0,1.0,1.0,0.0,,
30,PT09M49.00S,2025-01-20T20:16:14.5Z,1,REGULAR,foul,personal,['2freethrow'],1626157,,,1610612737,2,6,2025-01-20T20:16:25Z,300000,False,,,0,,K. Towns shooting personal FOUL (1 PF) (Johnson 2 FT),"[1626157, 1630552]",1610612752.0,NYK,shooting,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,,,,,,,202037.0,1.0,0.0,Johnson,1630552.0,,,,,,,,,
32,PT09M49.00S,2025-01-20T20:16:47.5Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630552,,,1610612737,2,7,2025-01-20T20:16:47Z,320000,False,,,0,,J. Johnson Free Throw 1 of 2 (4 PTS),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
33,PT09M49.00S,2025-01-20T20:16:47.5Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630552,,,1610612737,2,8,2025-01-20T20:18:25Z,330000,False,,,0,,J. Johnson Free Throw 2 of 2 (5 PTS),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
34,PT09M32.00S,2025-01-20T20:17:23.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,93.11760840998686,48.28431372549019,1610612752,4,8,2025-01-20T20:17:27Z,340000,False,-9.0,12.0,1,right,K. Towns driving finger roll Layup (2 PTS) (J. Hart 1 AST),"[1626157, 1628404]",1610612752.0,NYK,driving finger roll,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,1.49,Made,2.0,J. Hart,1628404.0,1.0,,,,,,,,,,,,,,
36,PT09M21.00S,2025-01-20T20:17:34.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630168,6.258212877792378,50.73529411764706,1610612737,4,10,2025-01-20T20:17:38Z,360000,False,-4.0,6.0,1,left,O. Okongwu cutting DUNK (2 PTS) (T. Young 1 AST),"[1630168, 1629027]",1610612737.0,ATL,cutting,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,0.73,Made,2.0,T. Young,1629027.0,1.0,,,,,,,,,,,,,,
38,PT09M06.00S,2025-01-20T20:17:52.1Z,1,REGULAR,foul,personal,['2freethrow'],1630700,,,1610612752,4,10,2025-01-20T20:17:57Z,380000,False,,,0,,D. Daniels shooting personal FOUL (1 PF) (Brunson 2 FT),"[1630700, 1628973]",1610612737.0,ATL,shooting,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1628487.0,1.0,0.0,Brunson,1628973.0,,,,,,,,,
40,PT09M06.00S,2025-01-20T20:18:23.6Z,1,REGULAR,freethrow,1 of 2,[],1628973,,,1610612752,4,10,2025-01-20T20:18:47Z,400000,False,,,0,,MISS J. Brunson Free Throw 1 of 2,[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
41,PT09M06.00S,2025-01-20T20:18:23.6Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612752,4,10,2025-01-20T20:18:47Z,410000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,
42,PT09M06.00S,2025-01-20T20:18:23.6Z,1,REGULAR,freethrow,2 of 2,[],1628973,,,1610612752,4,10,2025-01-20T20:18:47Z,420000,False,,,0,,MISS J. Brunson Free Throw 2 of 2,[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
43,PT09M03.00S,2025-01-20T20:18:26.6Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,4,10,2025-01-20T20:18:47Z,430000,False,,,0,,O. Okongwu REBOUND (Off:1 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,42.0,2.0,1.0,1.0,,
44,PT08M51.00S,2025-01-20T20:18:58.0Z,1,REGULAR,turnover,traveling,[],1630168,,,1610612737,4,10,2025-01-20T20:19:06Z,440000,False,,,0,,O. Okongwu traveling TURNOVER (1 TO),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,,,202037.0,,,,,1.0,,,,,,,,
45,PT08M37.00S,2025-01-20T20:19:23.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628969,83.13074901445466,70.09803921568627,1610612752,4,10,2025-01-20T20:19:29Z,450000,False,100.0,106.0,1,right,MISS M. Bridges 14' fadeaway Shot,[1628969],1610612752.0,NYK,fadeaway,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Right,14.61,Missed,,,,,,,,,,,,,,,,,,
46,PT08M35.00S,2025-01-20T20:19:25.1Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,4,10,2025-01-20T20:19:29Z,460000,False,,,0,,J. Johnson REBOUND (Off:0 Def:2),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,45.0,2.0,2.0,0.0,,
47,PT08M17.00S,2025-01-20T20:19:43.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630168,12.959921156373195,48.03921568627451,1610612737,4,12,2025-01-20T20:19:47Z,470000,False,10.0,69.0,1,left,O. Okongwu 7' Hook (4 PTS) (J. Johnson 1 AST),"[1630168, 1630552]",1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,7.0,Made,4.0,J. Johnson,1630552.0,1.0,,,,,,,,,,,,,,
49,PT07M53.00S,2025-01-20T20:20:06.6Z,1,REGULAR,2pt,Jump Shot,[],1626157,73.9323258869908,49.50980392156863,1610612752,6,12,2025-01-20T20:20:38Z,490000,False,-2.0,193.0,1,right,K. Towns 19' Jump Shot (4 PTS) (M. Bridges 1 AST),"[1626157, 1628969]",1610612752.0,NYK,,,,Towns,K. Towns,,,,,Mid-Range,16-24 Center,19.25,Made,4.0,M. Bridges,1628969.0,1.0,,,,,,,,,,,,,,
51,PT07M34.00S,2025-01-20T20:20:25.3Z,1,REGULAR,3pt,Jump Shot,[],1629027,28.33442838370565,82.35294117647058,1610612737,6,15,2025-01-20T20:20:29Z,510000,False,-162.0,214.0,1,left,T. Young 26' 3PT  (6 PTS) (V. Krejčí 1 AST),"[1629027, 1630249]",1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Left Center,26.81,Made,6.0,V. Krejčí,1630249.0,1.0,,,,,,,,,,,,,,
53,PT07M15.00S,2025-01-20T20:20:44.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626157,90.09526938239159,52.450980392156865,1610612752,8,15,2025-01-20T20:21:28Z,530000,False,12.0,41.0,1,right,K. Towns floating Jump Shot (6 PTS) (M. Bridges 2 AST),"[1626157, 1628969]",1610612752.0,NYK,floating,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,4.24,Made,6.0,M. Bridges,1628969.0,2.0,,,,,,,,,,,,,,
55,PT06M56.00S,2025-01-20T20:21:03.5Z,1,REGULAR,3pt,Jump Shot,[],1630249,32.013797634691194,29.65686274509804,1610612737,8,18,2025-01-20T20:21:07Z,550000,False,102.0,248.0,1,left,V. Krejčí 26' 3PT  (3 PTS) (J. Johnson 2 AST),"[1630249, 1630552]",1610612737.0,ATL,,,,Krejčí,V. Krejčí,,,,,Above the Break 3,24+ Right Center,26.84,Made,3.0,J. Johnson,1630552.0,2.0,,,,,,,,,,,,,,
58,PT06M39.00S,2025-01-20T20:21:28.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,8,18,2025-01-20T20:24:58Z,580000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M38.00S,2025-01-20T20:25:09.2Z,1,REGULAR,foul,personal,[],1630700,,,1610612752,8,18,2025-01-20T20:25:15Z,600000,False,,,0,,D. Daniels personal FOUL (2 PF),"[1630700, 1628973]",1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Left Center,,,,,,,1628487.0,2.0,0.0,Brunson,1628973.0,,,,,,,,,
62,PT06M38.00S,2025-01-20T20:25:09.3Z,1,REGULAR,substitution,out,[],1630700,,,1610612752,8,18,2025-01-20T20:25:30Z,620000,False,,,0,,SUB out: D. Daniels,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M38.00S,2025-01-20T20:25:09.3Z,1,REGULAR,substitution,in,[],1629631,,,1610612752,8,18,2025-01-20T20:25:30Z,630000,False,,,0,,SUB in: D. Hunter,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M31.00S,2025-01-20T20:25:44.6Z,1,REGULAR,foul,offensive,[],1628969,,,1610612752,8,18,2025-01-20T20:25:51Z,640000,False,,,0,,M. Bridges offensive FOUL (1 PF),"[1628969, 1629027]",1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,204059.0,1.0,0.0,Young,1629027.0,,,,,,,,,
67,PT06M31.00S,2025-01-20T20:25:44.6Z,1,REGULAR,turnover,offensive foul,[],1628969,,,1610612752,8,18,2025-01-20T20:25:44Z,660000,False,,,0,,M. Bridges offensive foul TURNOVER (1 TO),[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,204059.0,,,,,1.0,,,,,,,,
68,PT06M06.00S,2025-01-20T20:26:21.3Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612737,8,18,2025-01-20T20:26:27Z,670000,False,,,0,,ATL shot clock Team TURNOVER,[],1610612737.0,ATL,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,204059.0,,,,,,,,,,,,,
69,PT06M06.00S,2025-01-20T20:26:21.4Z,1,REGULAR,substitution,out,[],1629027,,,1610612752,8,18,2025-01-20T20:26:38Z,680000,False,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M06.00S,2025-01-20T20:26:21.4Z,1,REGULAR,substitution,out,[],1630168,,,1610612752,8,18,2025-01-20T20:26:38Z,690000,False,,,0,,SUB out: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M06.00S,2025-01-20T20:26:21.4Z,1,REGULAR,substitution,in,[],203991,,,1610612752,8,18,2025-01-20T20:26:38Z,700000,False,,,0,,SUB in: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M06.00S,2025-01-20T20:26:21.4Z,1,REGULAR,substitution,in,[],1629726,,,1610612752,8,18,2025-01-20T20:26:38Z,710000,False,,,0,,SUB in: G. Mathews,[1629726],1610612737.0,ATL,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M50.00S,2025-01-20T20:27:06.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628404,93.77463863337714,48.28431372549019,1610612752,10,18,2025-01-20T20:27:11Z,720000,False,-9.0,6.0,1,right,J. Hart driving Layup (2 PTS) (M. Bridges 3 AST),"[1628404, 1628969]",1610612752.0,NYK,driving,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,1.05,Made,2.0,M. Bridges,1628969.0,3.0,,,,,,,,,,,,,,
75,PT05M39.00S,2025-01-20T20:27:17.9Z,1,REGULAR,turnover,backcourt,[],1630249,,,1610612737,10,18,2025-01-20T20:27:45Z,790000,False,,,0,,V. Krejčí backcourt TURNOVER (1 TO),[1630249],1610612737.0,ATL,,,,Krejčí,V. Krejčí,,,,,Mid-Range,16-24 Right Center,,,,,,,204059.0,,,,,1.0,,,,,,,,
76,PT05M39.00S,2025-01-20T20:27:18.0Z,1,REGULAR,substitution,out,[],1628969,,,1610612752,10,18,2025-01-20T20:27:54Z,800000,False,,,0,,SUB out: M. Bridges,[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M39.00S,2025-01-20T20:27:18.0Z,1,REGULAR,substitution,out,[],1626157,,,1610612752,10,18,2025-01-20T20:27:54Z,810000,False,,,0,,SUB out: K. Towns,[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M39.00S,2025-01-20T20:27:18.0Z,1,REGULAR,substitution,in,[],1630540,,,1610612752,10,18,2025-01-20T20:27:54Z,820000,False,,,0,,SUB in: M. McBride,[1630540],1610612752.0,NYK,,,,McBride,M. McBride,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M39.00S,2025-01-20T20:27:18.0Z,1,REGULAR,substitution,in,[],1630173,,,1610612752,10,18,2025-01-20T20:27:54Z,830000,False,,,0,,SUB in: P. Achiuwa,[1630173],1610612752.0,NYK,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M21.00S,2025-01-20T20:28:00.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628404,93.9060446780552,48.77450980392157,1610612752,12,18,2025-01-20T20:28:05Z,840000,False,-6.0,5.0,1,right,J. Hart finger roll Layup (4 PTS),[1628404],1610612752.0,NYK,finger roll,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,0.78,Made,4.0,,,,,,,,,,,,,,,,,
81,PT05M01.00S,2025-01-20T20:28:21.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203991,4.944152431011826,51.225490196078425,1610612737,12,20,2025-01-20T20:28:26Z,850000,False,-6.0,-6.0,1,left,C. Capela DUNK (2 PTS) (G. Mathews 1 AST),"[203991, 1629726]",1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,0.86,Made,2.0,G. Mathews,1629726.0,1.0,,,,,,,,,,,,,,
83,PT04M46.00S,2025-01-20T20:28:36.7Z,1,REGULAR,turnover,lost ball,[],1628973,,,1610612752,12,20,2025-01-20T20:28:40Z,870000,False,,,0,,J. Brunson lost ball TURNOVER (1 TO),"[1628973, 1630249]",1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,1.0,Krejčí,1630249.0,,,,,,
84,PT04M46.00S,2025-01-20T20:28:36.7Z,1,REGULAR,steal,,[],1630249,,,1610612737,12,20,2025-01-20T20:35:12Z,880000,False,,,0,,V. Krejčí STEAL (1 STL),[1630249],1610612737.0,ATL,,,,Krejčí,V. Krejčí,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
85,PT04M40.00S,2025-01-20T20:28:41.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630552,7.440867279894875,50.0,1610612737,12,20,2025-01-20T20:28:45Z,890000,False,0.0,17.0,1,left,MISS J. Johnson running Layup,[1630552],1610612737.0,ATL,running,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,1.74,Missed,,,,,,,,,,,,,,,,,,
86,PT04M39.00S,2025-01-20T20:28:42.7Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,12,20,2025-01-20T20:28:45Z,900000,False,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,85.0,1.0,1.0,0.0,,
87,PT04M32.00S,2025-01-20T20:28:49.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,86.15308804204993,44.6078431372549,1610612752,12,20,2025-01-20T20:28:54Z,910000,False,-27.0,78.0,1,right,MISS J. Brunson 8' driving floating Shot,[1628973],1610612752.0,NYK,driving floating,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Center,8.23,Missed,,,,,,,,,,,,,,,,,,
88,PT04M30.00S,2025-01-20T20:28:52.0Z,1,REGULAR,rebound,offensive,[],1630173,,,1610612752,12,20,2025-01-20T20:28:52Z,920000,False,,,0,,P. Achiuwa REBOUND (Off:1 Def:0),[1630173],1610612752.0,NYK,,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,87.0,1.0,0.0,1.0,,
89,PT04M29.00S,2025-01-20T20:28:53.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630173,93.38042049934296,48.529411764705884,1610612752,12,20,2025-01-20T20:28:58Z,930000,False,-7.0,10.0,1,right,MISS P. Achiuwa putback Layup - blocked,"[1630173, 203991]",1610612752.0,NYK,putback,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,1.22,Missed,,,,,,,,,,,,,,,,,Capela,203991.0
90,PT04M29.00S,2025-01-20T20:28:53.4Z,1,REGULAR,block,,[],203991,,,1610612752,12,20,2025-01-20T20:28:55Z,940000,False,,,0,,C. Capela BLOCK (1 BLK),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
91,PT04M29.00S,2025-01-20T20:28:53.4Z,1,REGULAR,rebound,defensive,[],1630249,,,1610612737,12,20,2025-01-20T20:28:58Z,950000,False,,,0,,V. Krejčí REBOUND (Off:0 Def:1),[1630249],1610612737.0,ATL,,,,Krejčí,V. Krejčí,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,89.0,1.0,1.0,0.0,,
