actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-12-01T23:11:59.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-01T23:11:59Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-12-01T23:12:02.3Z,1,REGULAR,jumpball,recovered,[],1628973,,,1610612752,0,0,2024-12-01T23:12:02Z,40000,False,,,0,,Jump Ball K. Towns vs. Y. Missi: Tip to J. Brunson,"[1628973, 1626157, 1642274]",1610612752.0,NYK,startperiod,J. Brunson,1628973.0,Brunson,J. Brunson,Towns,1626157.0,Missi,1642274.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-12-01T23:12:16.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,8.623521681997373,47.549019607843135,1610612752,0,0,2024-12-01T23:12:26Z,70000,False,12.0,29.0,1,left,MISS K. Towns driving Layup - blocked,"[1626157, 1629750]",1610612752.0,NYK,driving,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,3.11,Missed,Green,1629750.0,,,,,,,,,,,,,,,,
8,PT11M44.00S,2024-12-01T23:12:16.9Z,1,REGULAR,block,,[],1629750,,,1610612752,0,0,2024-12-01T23:12:19Z,80000,False,,,0,,J. Green BLOCK (1 BLK),[1629750],1610612740.0,NOP,,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M43.00S,2024-12-01T23:12:17.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,0,0,2024-12-01T23:12:26Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Restricted Area,0-8 Center,,,,,7.0,,,,,,,,,,,,,,,
11,PT11M40.00S,2024-12-01T23:12:34.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626157,26.231931668856767,16.176470588235293,1610612752,0,0,2024-12-01T23:12:53Z,110000,False,169.0,194.0,1,left,MISS K. Towns 25' 3PT,[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Right Center,25.74,Missed,,,,,,,,,,,,,,,,,,
12,PT11M37.00S,2024-12-01T23:12:37.3Z,1,REGULAR,rebound,offensive,[],1628973,,,1610612752,0,0,2024-12-01T23:22:22Z,120000,False,,,0,,J. Brunson REBOUND (Off:1 Def:0),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,
62,PT11M36.00S,2024-12-01T23:12:41.6Z,1,REGULAR,turnover,bad pass,[],1628973,,,1610612752,0,0,2024-12-01T23:26:36Z,125000,False,,,0,,J. Brunson bad pass TURNOVER (1 TO),"[1628973, 1630530]",1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Right,,,,,,,,,1.0,Murphy III,1630530.0,,,,,,,,,
63,PT11M36.00S,2024-12-01T23:12:41.6Z,1,REGULAR,steal,,[],1630530,,,1610612740,0,0,2024-12-01T23:22:52Z,127500,False,,,0,,T. Murphy III STEAL (1 STL),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
13,PT11M25.00S,2024-12-01T23:12:48.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203468,72.48685939553219,79.90196078431373,1610612740,0,0,2024-12-01T23:22:52Z,130000,False,150.0,206.0,1,right,MISS C. McCollum 25' step back 3PT,[203468],1610612740.0,NOP,step back,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,25.46,Missed,,,,,,,,,,,,,,,,,,
