actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-02-21T00:41:39.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-21T00:41:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-02-21T00:41:41.2Z,1,REGULAR,jumpball,recovered,[],1630173,,,1610612752,0,0,2025-02-21T00:41:41Z,40000,False,,,0,,Jump Ball K. Towns vs. N. Vučević: Tip to P. Achiuwa,"[1630173, 1626157, 202696]",1610612752.0,NYK,startperiod,P. Achiuwa,1630173.0,Achiuwa,P. Achiuwa,Towns,1626157.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-02-21T00:41:56.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,7.5722733245729295,49.01960784313725,1610612752,0,0,2025-02-21T00:42:02Z,70000,False,5.0,19.0,1,left,MISS J. Brunson driving Layup - blocked,"[1628973, 1630581]",1610612752.0,NYK,driving,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,1.93,Missed,Giddey,1630581.0,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-02-21T00:41:56.8Z,1,REGULAR,block,,[],1630581,,,1610612752,0,0,2025-02-21T00:44:00Z,80000,False,,,0,,J. Giddey BLOCK (1 BLK),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2025-02-21T00:41:59.8Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,0,2025-02-21T00:42:02Z,90000,False,,,0,,N. Vučević REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M30.00S,2025-02-21T00:42:07.9Z,1,REGULAR,3pt,Jump Shot,[],1628366,68.15045992115637,35.294117647058826,1610612741,0,3,2025-02-21T00:42:15Z,100000,False,-74.0,247.0,1,right,L. Ball 25' 3PT  (3 PTS) (M. Buzelis 1 AST),"[1628366, 1641824]",1610612741.0,CHI,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Center,25.76,Made,,,,,,,3.0,M. Buzelis,1641824.0,1.0,,,,,,,,
12,PT11M12.00S,2025-02-21T00:42:26.2Z,1,REGULAR,2pt,Jump Shot,[],1626157,25.706307490144546,71.81372549019608,1610612752,0,3,2025-02-21T00:42:30Z,120000,False,-109.0,189.0,1,left,MISS K. Towns 21' Jump Shot,[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Mid-Range,16-24 Left Center,21.83,Missed,,,,,,,,,,,,,,,,,,
13,PT11M10.00S,2025-02-21T00:42:28.2Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612741,0,3,2025-02-21T00:42:30Z,130000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Mid-Range,16-24 Left Center,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,
14,PT10M56.00S,2025-02-21T00:42:42.6Z,1,REGULAR,turnover,lost ball,[],1630581,,,1610612741,0,3,2025-02-21T00:42:46Z,140000,False,,,0,,J. Giddey lost ball TURNOVER (1 TO),"[1630581, 1630540]",1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,1.0,McBride,1630540.0,,,,,
15,PT10M56.00S,2025-02-21T00:42:42.6Z,1,REGULAR,steal,,[],1630540,,,1610612752,0,3,2025-02-21T00:42:44Z,150000,False,,,0,,M. McBride STEAL (1 STL),[1630540],1610612752.0,NYK,,,,McBride,M. McBride,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
16,PT10M50.00S,2025-02-21T00:42:48.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630173,7.178055190538765,49.26470588235294,1610612752,0,3,2025-02-21T00:43:30Z,160000,False,4.0,15.0,1,left,MISS P. Achiuwa running finger roll Layup,[1630173],1610612752.0,NYK,running finger roll,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,1.54,Missed,,,,,,,,,,,,,,,,,,
17,PT10M48.00S,2025-02-21T00:42:50.3Z,1,REGULAR,rebound,defensive,[],1641824,,,1610612741,0,3,2025-02-21T00:42:53Z,170000,False,,,0,,M. Buzelis REBOUND (Off:0 Def:1),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,
18,PT10M41.00S,2025-02-21T00:42:56.7Z,1,REGULAR,3pt,Jump Shot,[],202696,67.23061760840999,63.725490196078425,1610612741,0,6,2025-02-21T00:43:00Z,180000,False,69.0,256.0,1,right,N. Vučević 26' 3PT  (3 PTS) (L. Ball 1 AST),"[202696, 1628366]",1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Above the Break 3,24+ Center,26.45,Made,,,,,,,3.0,L. Ball,1628366.0,1.0,,,,,,,,
20,PT10M32.00S,2025-02-21T00:43:10.2Z,1,REGULAR,timeout,full,['team'],0,,,1610612752,0,6,2025-02-21T00:43:10Z,200000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
