actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-04-06T23:11:30.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-06T23:11:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-04-06T23:11:33.6Z,1,REGULAR,jumpball,recovered,[],1628384,,,1610612752,0,0,2025-04-06T23:11:33Z,40000,False,,,0,,Jump Ball K. Towns vs. N. Richards: Tip to O. Anunoby,"[1628384, 1626157, 1630208]",1610612752.0,NYK,startperiod,O. Anunoby,1628384.0,Anunoby,O. Anunoby,Towns,1626157.0,Richards,1630208.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2025-04-06T23:11:55.1Z,1,REGULAR,foul,personal,[],1642346,,,1610612752,0,0,2025-04-06T23:12:05Z,70000,False,,,0,,R. Dunn personal FOUL (1 PF),"[1642346, 1628973]",1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Mid-Range,16-24 Left,1151.0,1.0,0.0,Brunson,1628973.0,,,,,,,,,,,,,,,
9,PT11M25.00S,2025-04-06T23:12:24.9Z,1,REGULAR,2pt,Jump Shot,[],1628973,23.73521681997372,62.5,1610612752,0,0,2025-04-06T23:12:29Z,90000,False,-62.0,171.0,1,left,MISS J. Brunson 18' step back Shot,[1628973],1610612752.0,NYK,step back,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Left Center,,,,,,18.17,Missed,,,,,,,,,,,,,
10,PT11M22.00S,2025-04-06T23:12:27.9Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612756,0,0,2025-04-06T23:12:29Z,100000,False,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Mid-Range,16-24 Left Center,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,
11,PT10M59.00S,2025-04-06T23:12:50.1Z,1,REGULAR,3pt,Jump Shot,[],1642346,92.85479632063075,3.9215686274509802,1610612756,0,0,2025-04-06T23:12:56Z,110000,False,-230.0,15.0,1,right,MISS R. Dunn 3PT,[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Left Corner 3,24+ Left,,,,,,23.09,Missed,,,,,,,,,,,,,
12,PT10M57.00S,2025-04-06T23:12:52.1Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612752,0,0,2025-04-06T23:31:13Z,120000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Left Corner 3,24+ Left,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,
13,PT10M43.00S,2025-04-06T23:13:06.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626157,7.835085413929041,52.450980392156865,1610612752,2,0,2025-04-06T23:13:14Z,130000,False,-12.0,21.0,1,left,K. Towns driving floating bank Jump Shot (2 PTS),[1626157],1610612752.0,NYK,driving floating bank,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,,,,,,2.44,Made,,,,,2.0,,,,,,,,
14,PT10M19.00S,2025-04-06T23:13:30.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642346,94.03745072273325,51.71568627450981,1610612756,2,2,2025-04-06T23:13:38Z,140000,False,9.0,4.0,1,right,R. Dunn cutting Layup (2 PTS) (B. Beal 1 AST),"[1642346, 203078]",1610612756.0,PHX,cutting,,,Dunn,R. Dunn,,,,,Restricted Area,0-8 Center,,,,,,0.93,Made,,,,,2.0,B. Beal,203078.0,1.0,,,,,
16,PT09M56.00S,2025-04-06T23:13:53.6Z,1,REGULAR,2pt,Jump Shot,[],1628969,7.966491458607096,30.392156862745097,1610612752,4,2,2025-04-06T23:13:57Z,160000,False,98.0,22.0,1,left,M. Bridges 10' fadeaway Jump Shot (2 PTS) (J. Brunson 1 AST),"[1628969, 1628973]",1610612752.0,NYK,fadeaway,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Right,,,,,,10.05,Made,,,,,2.0,J. Brunson,1628973.0,1.0,,,,,
18,PT09M42.00S,2025-04-06T23:14:07.0Z,1,REGULAR,3pt,Jump Shot,[],1626220,79.58278580814718,92.64705882352942,1610612756,4,2,2025-04-06T23:14:11Z,180000,False,213.0,139.0,1,right,MISS R. O'Neale 25' 3PT,[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Right Center,,,,,,25.47,Missed,,,,,,,,,,,,,
19,PT09M39.00S,2025-04-06T23:14:10.4Z,1,REGULAR,rebound,offensive,[],1642346,,,1610612756,4,2,2025-04-06T23:14:10Z,190000,False,,,0,,R. Dunn REBOUND (Off:1 Def:0),[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Above the Break 3,24+ Right Center,,,,,,,,18.0,1.0,0.0,1.0,,,,,,,,,
20,PT09M37.00S,2025-04-06T23:14:12.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630208,94.1688567674113,51.9607843137255,1610612756,4,4,2025-04-06T23:14:45Z,200000,False,10.0,2.0,1,right,N. Richards cutting Layup (2 PTS) (R. Dunn 1 AST),"[1630208, 1642346]",1610612756.0,PHX,cutting,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,1.01,Made,,,,,2.0,R. Dunn,1642346.0,1.0,,,,,
22,PT09M36.00S,2025-04-06T23:14:20.7Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612752,4,4,2025-04-06T23:14:26Z,220000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612756.0,PHX,,,,,,,,,,,,1151.0,,,,,,,,,,,,,,,,,,,
23,PT09M33.00S,2025-04-06T23:14:32.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628384,6.915243101182654,50.49019607843137,1610612752,4,4,2025-04-06T23:14:39Z,230000,False,-2.0,13.0,1,left,MISS O. Anunoby driving Layup - blocked,"[1628384, 203078]",1610612752.0,NYK,driving,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,,,,,,1.27,Missed,,,,,,,,,Beal,203078.0,,,
24,PT09M33.00S,2025-04-06T23:14:32.7Z,1,REGULAR,block,,[],203078,,,1610612752,4,4,2025-04-06T23:14:35Z,240000,False,,,0,,B. Beal BLOCK (1 BLK),[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
25,PT09M32.00S,2025-04-06T23:14:33.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,4,4,2025-04-06T23:14:39Z,250000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,23.0,,,,,,,,,,,,
