actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-04-01T23:41:45.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-01T23:41:45Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2025-04-01T23:41:50.1Z,1,REGULAR,jumpball,recovered,[],1626153,,,1610612752,0,0,2025-04-01T23:41:50Z,40000,False,,,0,,Jump Ball M. Robinson vs. A. Bona: Tip to D. Wright,"[1626153, 1629011, 1641737]",1610612752.0,NYK,startperiod,D. Wright,1626153.0,Wright,D. Wright,Robinson,1629011.0,Bona,1641737.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-04-01T23:42:04.1Z,1,REGULAR,turnover,bad pass,[],1628969,,,1610612752,0,0,2025-04-01T23:48:29Z,70000,False,,,0,,M. Bridges bad pass TURNOVER (1 TO),"[1628969, 1641737]",1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,1628487.0,1.0,Bona,1641737.0,,,,,,,,,,,,,,,,
47,PT11M41.00S,2025-04-01T23:42:04.1Z,1,REGULAR,steal,,[],1641737,,,1610612755,0,0,2025-04-01T23:48:29Z,75000,False,,,0,,A. Bona STEAL (1 STL),[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
8,PT11M20.00S,2025-04-01T23:42:31.4Z,1,REGULAR,turnover,bad pass,[],1629656,,,1610612755,0,0,2025-04-01T23:42:34Z,80000,False,,,0,,Q. Grimes bad pass TURNOVER (1 TO),"[1629656, 1626153]",1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Left Center,,1.0,Wright,1626153.0,,,,,,,,,,,,,,,,
9,PT11M20.00S,2025-04-01T23:42:31.4Z,1,REGULAR,steal,,[],1626153,,,1610612752,0,0,2025-04-01T23:42:32Z,90000,False,,,0,,D. Wright STEAL (1 STL),[1626153],1610612752.0,NYK,,,,Wright,D. Wright,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
10,PT11M15.00S,2025-04-01T23:42:36.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628969,81.2910643889619,5.637254901960785,1610612752,0,0,2025-04-01T23:42:43Z,100000,False,-222.0,123.0,1,right,MISS M. Bridges 25' running 3PT,[1628969],1610612752.0,NYK,running,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,,,25.38,Missed,,,,,,,,,,,,,,
11,PT11M12.00S,2025-04-01T23:42:39.2Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,0,0,2025-04-01T23:42:43Z,110000,False,,,0,,M. Robinson REBOUND (Off:1 Def:0),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Above the Break 3,24+ Left Center,,,,,,,10.0,1.0,0.0,1.0,,,,,,,,,,
12,PT11M12.00S,2025-04-01T23:42:39.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629011,93.64323258869908,47.30392156862745,1610612752,2,0,2025-04-01T23:42:51Z,120000,False,-13.0,7.0,1,right,M. Robinson putback DUNK (2 PTS),[1629011],1610612752.0,NYK,putback,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,,,,,1.53,Made,,,,,2.0,,,,,,,,,
13,PT10M56.00S,2025-04-01T23:42:55.7Z,1,REGULAR,turnover,lost ball,[],1641737,,,1610612755,2,0,2025-04-01T23:42:58Z,130000,False,,,0,,A. Bona lost ball TURNOVER (1 TO),"[1641737, 1628384]",1610612755.0,PHI,,,,Bona,A. Bona,,,,,Mid-Range,8-16 Right,,1.0,Anunoby,1628384.0,,,,,,,,,,,,,,,,
14,PT10M56.00S,2025-04-01T23:42:55.7Z,1,REGULAR,steal,,[],1628384,,,1610612752,2,0,2025-04-01T23:42:57Z,140000,False,,,0,,O. Anunoby STEAL (1 STL),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
15,PT10M44.00S,2025-04-01T23:43:08.6Z,1,REGULAR,foul,personal,['2freethrow'],1629022,,,1610612752,2,0,2025-04-01T23:43:24Z,150000,False,,,0,,L. Walker IV shooting personal FOUL (1 PF) (Anunoby 2 FT),"[1629022, 1628384]",1610612755.0,PHI,shooting,,,Walker IV,L. Walker IV,,,,,Mid-Range,8-16 Left,202007.0,,,,,,,,,,,1.0,0.0,Anunoby,1628384.0,,,,,
17,PT10M44.00S,2025-04-01T23:43:34.6Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628384,,,1610612752,3,0,2025-04-01T23:43:34Z,170000,False,,,0,,O. Anunoby Free Throw 1 of 2 (1 PTS),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,,,,,,,,Made,,,,,1.0,,,,,,,,,
18,PT10M44.00S,2025-04-01T23:43:50.3Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628384,,,1610612752,4,0,2025-04-01T23:43:50Z,180000,False,,,0,,O. Anunoby Free Throw 2 of 2 (2 PTS),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,,,,,,,,Made,,,,,2.0,,,,,,,,,
19,PT10M35.00S,2025-04-01T23:44:04.1Z,1,REGULAR,foul,personal,['2freethrow'],1629011,,,1610612755,4,0,2025-04-01T23:44:09Z,190000,False,,,0,,M. Robinson shooting personal FOUL (1 PF) (Bona 2 FT),"[1629011, 1641737]",1610612752.0,NYK,shooting,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,202007.0,,,,,,,,,,,1.0,0.0,Bona,1641737.0,,,,,
21,PT10M35.00S,2025-04-01T23:44:31.2Z,1,REGULAR,freethrow,1 of 2,[],1641737,,,1610612755,4,1,2025-04-01T23:44:57Z,210000,False,,,0,,A. Bona Free Throw 1 of 2 (1 PTS),[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,,,,,,,,Made,,,,,1.0,,,,,,,,,
22,PT10M35.00S,2025-04-01T23:44:31.2Z,1,REGULAR,freethrow,2 of 2,[],1641737,,,1610612755,4,1,2025-04-01T23:44:57Z,220000,False,,,0,,MISS A. Bona Free Throw 2 of 2,[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
23,PT10M33.00S,2025-04-01T23:44:33.2Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,4,1,2025-04-01T23:44:57Z,230000,False,,,0,,M. Robinson REBOUND (Off:1 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,22.0,2.0,1.0,1.0,,,,,,,,,,
24,PT10M11.00S,2025-04-01T23:45:16.1Z,1,REGULAR,3pt,Jump Shot,[],1628384,92.72339027595268,4.901960784313726,1610612752,4,1,2025-04-01T23:45:20Z,240000,False,-225.0,16.0,1,right,MISS O. Anunoby 3PT,[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Left Corner 3,24+ Left,,,,,22.61,Missed,,,,,,,,,,,,,,
25,PT10M08.00S,2025-04-01T23:45:19.1Z,1,REGULAR,rebound,defensive,[],1641741,,,1610612755,4,1,2025-04-01T23:45:20Z,250000,False,,,0,,R. Council IV REBOUND (Off:0 Def:1),[1641741],1610612755.0,PHI,,,,Council IV,R. Council IV,,,,,Left Corner 3,24+ Left,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,
26,PT09M59.00S,2025-04-01T23:45:28.2Z,1,REGULAR,3pt,Jump Shot,[],1642348,3.7614980289093296,95.58823529411765,1610612755,4,1,2025-04-01T23:45:38Z,260000,False,-228.0,-17.0,1,left,MISS J. Edwards 3PT,[1642348],1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,Left Corner 3,24+ Left,,,,,22.85,Missed,,,,,,,,,,,,,,
27,PT09M56.00S,2025-04-01T23:45:31.2Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,4,1,2025-04-01T23:45:38Z,270000,False,,,0,,M. Robinson REBOUND (Off:1 Def:2),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Left Corner 3,24+ Left,,,,,,,26.0,3.0,2.0,1.0,,,,,,,,,,
28,PT09M52.00S,2025-04-01T23:45:36.7Z,1,REGULAR,3pt,Jump Shot,[],1628969,92.85479632063075,3.9215686274509802,1610612752,4,1,2025-04-01T23:45:57Z,280000,False,-230.0,15.0,1,right,MISS M. Bridges 3PT,[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Left Corner 3,24+ Left,,,,,23.09,Missed,,,,,,,,,,,,,,
29,PT09M51.00S,2025-04-01T23:45:37.7Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,4,1,2025-04-01T23:45:57Z,290000,False,,,0,,M. Robinson REBOUND (Off:2 Def:2),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Left Corner 3,24+ Left,,,,,,,28.0,4.0,2.0,2.0,,,,,,,,,,
30,PT09M50.00S,2025-04-01T23:45:40.8Z,1,REGULAR,foul,personal,['2freethrow'],1641741,,,1610612752,4,1,2025-04-01T23:45:49Z,300000,False,,,0,,R. Council IV shooting personal FOUL (1 PF) (Robinson 2 FT),"[1641741, 1629011]",1610612755.0,PHI,shooting,,,Council IV,R. Council IV,,,,,Restricted Area,0-8 Center,202007.0,,,,,,,,,,,1.0,0.0,Robinson,1629011.0,,,,,
32,PT09M50.00S,2025-04-01T23:46:09.2Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629011,,,1610612752,5,1,2025-04-01T23:46:09Z,320000,False,,,0,,M. Robinson Free Throw 1 of 2 (3 PTS),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,Made,,,,,3.0,,,,,,,,,
33,PT09M50.00S,2025-04-01T23:46:25.7Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629011,,,1610612752,6,1,2025-04-01T23:46:25Z,330000,False,,,0,,M. Robinson Free Throw 2 of 2 (4 PTS),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,Made,,,,,4.0,,,,,,,,,
34,PT09M37.00S,2025-04-01T23:46:41.1Z,1,REGULAR,2pt,Jump Shot,[],1629656,6.652431011826544,73.77450980392157,1610612755,6,1,2025-04-01T23:46:50Z,340000,False,-119.0,10.0,1,left,MISS Q. Grimes 11' step back Shot,[1629656],1610612755.0,PHI,step back,,,Grimes,Q. Grimes,,,,,Mid-Range,8-16 Left,,,,,11.93,Missed,,,,,,,,,,,,,,
35,PT09M34.00S,2025-04-01T23:46:44.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612752,6,1,2025-04-01T23:46:50Z,350000,False,,,0,,TEAM defensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,34.0,,,,,,,,,,,,,
38,PT09M20.00S,2025-04-01T23:47:24.6Z,1,REGULAR,3pt,Jump Shot,[],1628384,79.188567674113,10.049019607843137,1610612752,9,1,2025-04-01T23:47:29Z,380000,False,-200.0,143.0,1,right,O. Anunoby 24' 3PT  (5 PTS) (D. Wright 1 AST),"[1628384, 1626153]",1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Left Center,,,,,24.58,Made,,,,,5.0,,,,,D. Wright,1626153.0,1.0,,
40,PT09M10.00S,2025-04-01T23:47:35.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641737,6.521024967148489,51.225490196078425,1610612755,9,1,2025-04-01T23:47:59Z,400000,False,-6.0,9.0,1,left,MISS A. Bona cutting Layup,[1641737],1610612755.0,PHI,cutting,,,Bona,A. Bona,,,,,Restricted Area,0-8 Center,,,,,1.07,Missed,,,,,,,,,,,,,,
41,PT09M09.00S,2025-04-01T23:47:36.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,9,1,2025-04-01T23:47:44Z,410000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,40.0,,,,,,,,,,,,,
42,PT09M09.00S,2025-04-01T23:47:41.3Z,1,REGULAR,foul,personal,[],1628404,,,1610612755,9,1,2025-04-01T23:47:50Z,420000,False,,,0,,J. Hart loose ball personal FOUL (1 PF),"[1628404, 1641737]",1610612752.0,NYK,loose ball,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,202007.0,,,,,,,,,,,1.0,0.0,Bona,1641737.0,,,,,
