actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,playerName,playerNameI,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-12-06T00:43:25.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-06T00:43:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2024-12-06T00:43:34.9Z,1,REGULAR,jumpball,recovered,[],0,,,1610612766,0,0,2024-12-06T00:43:34Z,40000,False,,,0,,Jump Ball N. Richards vs. K. Towns: Tip to Team (CHA),"[1630208, 1626157]",1610612766.0,CHA,startperiod,Team (CHA),Richards,1630208.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2024-12-06T00:44:14.5Z,1,REGULAR,turnover,out-of-bounds,[],1630208,,,1610612766,0,0,2024-12-06T00:44:30Z,80000,False,,,0,,N. Richards bad pass out-of-bounds TURNOVER (1 TO),[1630208],1610612766.0,CHA,bad pass,,,,,,Above the Break 3,24+ Right Center,1162.0,1.0,Richards,N. Richards,,,,,,,,,,,,,,,,,,
9,PT11M20.00S,2024-12-06T00:44:40.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628384,92.59198423127464,47.794117647058826,1610612752,0,0,2024-12-06T00:45:05Z,90000,False,-11.0,17.0,1,right,MISS O. Anunoby driving DUNK - blocked,"[1628384, 1630208]",1610612752.0,NYK,driving,,,,,,Restricted Area,0-8 Center,,,Anunoby,O. Anunoby,2.03,Missed,Richards,1630208.0,,,,,,,,,,,,,,
10,PT11M20.00S,2024-12-06T00:44:40.5Z,1,REGULAR,block,,[],1630208,,,1610612752,0,0,2024-12-06T00:44:42Z,100000,False,,,0,,N. Richards BLOCK (1 BLK),[1630208],1610612766.0,CHA,,,,,,,Restricted Area,0-8 Center,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,
11,PT11M18.00S,2024-12-06T00:44:42.5Z,1,REGULAR,rebound,defensive,[],1641706,,,1610612766,0,0,2024-12-06T00:45:05Z,110000,False,,,0,,B. Miller REBOUND (Off:0 Def:1),[1641706],1610612766.0,CHA,,,,,,,Restricted Area,0-8 Center,,,Miller,B. Miller,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M09.00S,2024-12-06T00:44:47.8Z,1,REGULAR,3pt,Jump Shot,[],1630182,2.578843626806833,96.32352941176471,1610612766,0,0,2024-12-06T00:44:53Z,120000,False,-232.0,-28.0,1,left,MISS J. Green 3PT,[1630182],1610612766.0,CHA,,,,,,,Left Corner 3,24+ Left,,,Green,J. Green,23.33,Missed,,,,,,,,,,,,,,,,
13,PT11M07.00S,2024-12-06T00:44:49.8Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,0,0,2024-12-06T00:45:33Z,130000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612752.0,NYK,,,,,,,Left Corner 3,24+ Left,,,Towns,K. Towns,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT11M00.00S,2024-12-06T00:44:56.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628404,94.56307490144546,51.225490196078425,1610612752,2,0,2024-12-06T00:44:59Z,140000,False,6.0,-1.0,1,right,J. Hart running Layup (2 PTS) (J. Brunson 1 AST),"[1628404, 1628973]",1610612752.0,NYK,running,,,,,,Restricted Area,0-8 Center,,,Hart,J. Hart,0.63,Made,,,,,,,2.0,J. Brunson,1628973.0,1.0,,,,,,
15,PT10M46.00S,2024-12-06T00:45:10.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642275,6.521024967148489,49.01960784313725,1610612766,2,2,2024-12-06T00:46:13Z,150000,False,5.0,9.0,1,left,T. Salaün cutting DUNK (2 PTS) (N. Richards 1 AST),"[1642275, 1630208]",1610612766.0,CHA,cutting,,,,,,Restricted Area,0-8 Center,,,Salaün,T. Salaün,1.01,Made,,,,,,,2.0,N. Richards,1630208.0,1.0,,,,,,
