actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,playerName,playerNameI,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
17,PT10M42.00S,2025-03-30T22:13:38.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628969,5.995400788436268,50.73529411764706,1610612752,2,4,2025-03-30T22:15:21Z,170000,False,-4.0,4.0,1,left,M. Bridges reverse Layup (2 PTS) (J. Hart 1 AST),"[1628969, 1628404]",1610612752.0,NYK,reverse,,,,,,,Bridges,M. Bridges,Restricted Area,0-8 Center,0.54,Made,,,,,2.0,J. Hart,1628404.0,1.0,,,,,,,,,,
19,PT10M17.00S,2025-03-30T22:14:02.8Z,1,REGULAR,3pt,Jump Shot,[],1631101,71.96123521681997,20.34313725490196,1610612757,2,4,2025-03-30T22:14:06Z,190000,False,-148.0,211.0,1,right,MISS S. Sharpe 25' 3PT,[1631101],1610612757.0,POR,,,,,,,,Sharpe,S. Sharpe,Above the Break 3,24+ Left Center,25.8,Missed,,,,,,,,,,,,,,,,,,
20,PT10M15.00S,2025-03-30T22:14:04.8Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612752,2,4,2025-03-30T22:14:06Z,200000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612752.0,NYK,,,,,,,,Bridges,M. Bridges,Above the Break 3,24+ Left Center,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT10M10.00S,2025-03-30T22:14:10.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628384,7.046649145860711,49.26470588235294,1610612752,4,4,2025-03-30T22:14:14Z,210000,False,4.0,14.0,1,left,O. Anunoby running Layup (2 PTS),[1628384],1610612752.0,NYK,running,,,,,,,Anunoby,O. Anunoby,Restricted Area,0-8 Center,1.42,Made,,,,,2.0,,,,,,,,,,,,,
22,PT09M54.00S,2025-03-30T22:14:25.6Z,1,REGULAR,3pt,Jump Shot,[],1629014,76.42904073587385,9.803921568627452,1610612757,4,4,2025-03-30T22:14:30Z,220000,False,-201.0,169.0,1,right,MISS A. Simons 26' step back 3PT,[1629014],1610612757.0,POR,step back,,,,,,,Simons,A. Simons,Above the Break 3,24+ Left Center,26.27,Missed,,,,,,,,,,,,,,,,,,
23,PT09M51.00S,2025-03-30T22:14:28.6Z,1,REGULAR,rebound,offensive,[],1641739,,,1610612757,4,4,2025-03-30T22:14:30Z,230000,False,,,0,,T. Camara REBOUND (Off:1 Def:0),[1641739],1610612757.0,POR,,,,,,,,Camara,T. Camara,Above the Break 3,24+ Left Center,,,22.0,1.0,0.0,1.0,,,,,,,,,,,,,,
24,PT09M51.00S,2025-03-30T22:14:30.1Z,1,REGULAR,turnover,bad pass,[],1641739,,,1610612757,4,4,2025-03-30T22:14:32Z,240000,False,,,0,,T. Camara bad pass TURNOVER (1 TO),"[1641739, 1628384]",1610612757.0,POR,,,,,,,,Camara,T. Camara,Mid-Range,8-16 Left,,,,,,,,,,,,,,,1.0,Anunoby,1628384.0,,,
25,PT09M51.00S,2025-03-30T22:14:30.1Z,1,REGULAR,steal,,[],1628384,,,1610612752,4,4,2025-03-30T22:14:31Z,250000,False,,,0,,O. Anunoby STEAL (1 STL),[1628384],1610612752.0,NYK,,,,,,,,Anunoby,O. Anunoby,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
26,PT09M46.00S,2025-03-30T22:14:34.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628384,8.360709592641262,46.07843137254902,1610612752,4,4,2025-03-30T22:14:38Z,260000,False,20.0,26.0,1,left,MISS O. Anunoby running Layup - blocked,"[1628384, 1631101]",1610612752.0,NYK,running,,,,,,,Anunoby,O. Anunoby,Restricted Area,0-8 Center,3.26,Missed,,,,,,,,,,,,,,,,Sharpe,1631101.0,
27,PT09M46.00S,2025-03-30T22:14:34.3Z,1,REGULAR,block,,[],1631101,,,1610612752,4,4,2025-03-30T22:14:36Z,270000,False,,,0,,S. Sharpe BLOCK (1 BLK),[1631101],1610612757.0,POR,,,,,,,,Sharpe,S. Sharpe,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
28,PT09M43.00S,2025-03-30T22:14:37.3Z,1,REGULAR,rebound,defensive,[],1641739,,,1610612757,4,4,2025-03-30T22:14:38Z,280000,False,,,0,,T. Camara REBOUND (Off:1 Def:1),[1641739],1610612757.0,POR,,,,,,,,Camara,T. Camara,Restricted Area,0-8 Center,,,26.0,2.0,1.0,1.0,,,,,,,,,,,,,,
29,PT09M27.00S,2025-03-30T22:14:52.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,93.64323258869908,51.225490196078425,1610612757,4,6,2025-03-30T22:14:55Z,290000,False,6.0,7.0,1,right,D. Avdija Layup (2 PTS),[1630166],1610612757.0,POR,,,,,,,,Avdija,D. Avdija,Restricted Area,0-8 Center,0.95,Made,,,,,2.0,,,,,,,,,,,,,
30,PT09M11.00S,2025-03-30T22:15:11.5Z,1,REGULAR,foul,personal,['2freethrow'],1630166,,,1610612752,4,6,2025-03-30T22:15:31Z,300000,False,,,0,,D. Avdija shooting personal FOUL (1 PF) (Anunoby 2 FT),"[1630166, 1628384]",1610612757.0,POR,shooting,,,,,,1630886.0,Avdija,D. Avdija,Restricted Area,0-8 Center,,,,,,,,,,,1.0,0.0,Anunoby,1628384.0,,,,,,
32,PT09M11.00S,2025-03-30T22:15:34.7Z,1,REGULAR,freethrow,1 of 2,[],1628384,,,1610612752,5,6,2025-03-30T22:15:34Z,320000,False,,,0,,O. Anunoby Free Throw 1 of 2 (3 PTS),[1628384],1610612752.0,NYK,,,,,,,,Anunoby,O. Anunoby,,,,Made,,,,,3.0,,,,,,,,,,,,,
33,PT09M11.00S,2025-03-30T22:15:52.5Z,1,REGULAR,freethrow,2 of 2,[],1628384,,,1610612752,6,6,2025-03-30T22:15:52Z,330000,False,,,0,,O. Anunoby Free Throw 2 of 2 (4 PTS),[1628384],1610612752.0,NYK,,,,,,,,Anunoby,O. Anunoby,,,,Made,,,,,4.0,,,,,,,,,,,,,
34,PT08M49.00S,2025-03-30T22:16:16.5Z,1,REGULAR,turnover,bad pass,[],1641739,,,1610612757,6,6,2025-03-30T22:16:19Z,340000,False,,,0,,T. Camara bad pass TURNOVER (2 TO),"[1641739, 1626153]",1610612757.0,POR,,,,,,,,Camara,T. Camara,Mid-Range,8-16 Left,,,,,,,,,,,,,,,2.0,Wright,1626153.0,,,
35,PT08M49.00S,2025-03-30T22:16:16.5Z,1,REGULAR,steal,,[],1626153,,,1610612752,6,6,2025-03-30T22:16:17Z,350000,False,,,0,,D. Wright STEAL (1 STL),[1626153],1610612752.0,NYK,,,,,,,,Wright,D. Wright,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
36,PT08M45.00S,2025-03-30T22:16:20.3Z,1,REGULAR,turnover,bad pass,[],1626153,,,1610612752,6,6,2025-03-30T22:16:22Z,360000,False,,,0,,D. Wright bad pass TURNOVER (1 TO),"[1626153, 1630166]",1610612752.0,NYK,,,,,,,,Wright,D. Wright,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,1.0,Avdija,1630166.0,,,
37,PT08M45.00S,2025-03-30T22:16:20.3Z,1,REGULAR,steal,,[],1630166,,,1610612757,6,6,2025-03-30T22:16:21Z,370000,False,,,0,,D. Avdija STEAL (1 STL),[1630166],1610612757.0,POR,,,,,,,,Avdija,D. Avdija,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
38,PT08M40.00S,2025-03-30T22:16:25.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629014,79.58278580814718,91.17647058823529,1610612757,6,6,2025-03-30T22:16:33Z,380000,False,206.0,139.0,1,right,MISS A. Simons 24' running 3PT,[1629014],1610612757.0,POR,running,,,,,,,Simons,A. Simons,Above the Break 3,24+ Right Center,24.87,Missed,,,,,,,,,,,,,,,,,,
39,PT08M37.00S,2025-03-30T22:16:28.9Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,6,6,2025-03-30T22:16:33Z,390000,False,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612752.0,NYK,,,,,,,,Hart,J. Hart,Above the Break 3,24+ Right Center,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,,
40,PT08M27.00S,2025-03-30T22:16:40.1Z,1,REGULAR,foul,personal,[],1642270,,,1610612752,6,6,2025-03-30T22:16:49Z,400000,False,,,0,,D. Clingan personal FOUL (1 PF),"[1642270, 1626157]",1610612757.0,POR,,,,,,,1630886.0,Clingan,D. Clingan,Mid-Range,8-16 Right,,,,,,,,,,,1.0,0.0,Towns,1626157.0,,,,,,
42,PT08M19.00S,2025-03-30T22:17:11.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,17.821944809461236,49.26470588235294,1610612752,6,6,2025-03-30T22:17:51Z,420000,False,4.0,115.0,1,left,MISS M. Bridges 11' step back Shot,[1628969],1610612752.0,NYK,step back,,,,,,,Bridges,M. Bridges,In The Paint (Non-RA),8-16 Center,11.51,Missed,,,,,,,,,,,,,,,,,,
43,PT08M17.00S,2025-03-30T22:17:13.9Z,1,REGULAR,rebound,defensive,[],1641739,,,1610612757,6,6,2025-03-30T22:17:16Z,430000,False,,,0,,T. Camara REBOUND (Off:1 Def:2),[1641739],1610612757.0,POR,,,,,,,,Camara,T. Camara,In The Paint (Non-RA),8-16 Center,,,42.0,3.0,2.0,1.0,,,,,,,,,,,,,,
44,PT08M01.00S,2025-03-30T22:17:30.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,94.03745072273325,47.05882352941176,1610612757,6,6,2025-03-30T22:17:34Z,440000,False,-15.0,4.0,1,right,MISS D. Avdija driving finger roll Layup,[1630166],1610612757.0,POR,driving finger roll,,,,,,,Avdija,D. Avdija,Restricted Area,0-8 Center,1.51,Missed,,,,,,,,,,,,,,,,,,
45,PT07M59.00S,2025-03-30T22:17:32.0Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,6,6,2025-03-30T22:17:34Z,450000,False,,,0,,J. Hart REBOUND (Off:0 Def:2),[1628404],1610612752.0,NYK,,,,,,,,Hart,J. Hart,Restricted Area,0-8 Center,,,44.0,2.0,2.0,0.0,,,,,,,,,,,,,,
46,PT07M47.00S,2025-03-30T22:17:44.4Z,1,REGULAR,3pt,Jump Shot,[],1628969,4.418528252299605,96.07843137254902,1610612752,6,6,2025-03-30T22:17:48Z,460000,False,-230.0,-11.0,1,left,MISS M. Bridges 3PT,[1628969],1610612752.0,NYK,,,,,,,,Bridges,M. Bridges,Left Corner 3,24+ Left,23.07,Missed,,,,,,,,,,,,,,,,,,
